timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az,palm_P,palm_R,palm_Y,palm_gx,palm_gy,palm_gz,palm_ax,palm_ay,palm_az
0,-18.9430,75.8200,-44.5640,0.4120,-0.2190,0.8190,4.3620,8.1020,3.9310,2.4480,-62.2520,16.7390,-0.2130,-0.0750,-0.0530,2.1980,-9.6440,1.0530,3.5930,-84.0940,-42.8490,-0.4840,0.3000,-0.0910,-2.7630,-9.2060,-1.5280,-26.7070,-84.5900,-49.5800,-0.4040,-0.2650,-0.4720,-0.6250,-9.4240,-2.1980,-3.7080,-48.9260,-38.2230,-0.1530,-0.8060,-0.6060,-0.4310,-8.8010,4.4390,-0.6290,65.6950,36.3620,-0.6000,0.3030,0.6070,-2.4010,9.3730,5.0640
20,-18.9440,75.8800,-44.5640,0.4400,-0.3550,0.3110,4.2830,8.2380,3.8120,2.4320,-62.2660,16.7390,-0.7930,0.0470,-0.2510,2.0970,-9.5980,1.0610,3.5520,-84.1410,-42.8490,-0.0690,0.1300,-0.5030,-2.5210,-9.0640,-1.5300,-26.7120,-84.6290,-49.5800,-0.0500,-0.2180,-0.8060,-0.6110,-9.1600,-2.2340,-3.7410,-48.9320,-38.2230,-0.0770,-0.4700,-0.6210,-0.4330,-8.6310,4.3430,-0.6570,65.6960,36.3620,-0.1880,-0.0640,0.7290,-2.4060,9.4040,5.0420
40,-18.9600,75.8880,-44.5640,-0.6460,-0.3080,0.1570,4.3240,8.1400,3.8760,2.4790,-62.3530,16.7390,-2.0710,0.3680,0.5140,1.8940,-9.6340,0.8910,3.5550,-84.1580,-42.8490,-1.5040,0.3280,-0.5920,-2.6910,-9.2060,-1.3650,-26.7160,-84.6530,-49.5800,-1.7450,-0.5840,-0.7750,-0.6440,-9.3470,-2.1190,-3.7510,-48.9670,-38.2230,-1.2980,-0.1020,0.1150,-0.4860,-8.6930,4.3480,-0.6830,65.6980,36.3620,-0.4020,-0.3540,0.2550,-2.4280,9.3880,5.0090
60,-18.9550,75.7700,-44.5640,-0.8110,-0.3060,-0.3480,4.2450,7.9700,4.2330,2.4970,-62.4170,16.7390,-2.3760,-0.1360,0.9260,1.9680,-9.6820,0.9820,3.4950,-84.2200,-42.8490,-2.8020,-0.2370,0.2020,-2.5000,-9.1910,-1.4320,-26.7100,-84.7050,-49.5800,-2.5080,-0.8590,-0.5160,-0.6990,-9.3760,-2.1760,-3.7630,-48.9980,-38.2230,-1.5420,-0.0250,0.7100,-0.4790,-8.7480,4.4050,-0.6840,65.6770,36.3620,-0.9210,-0.0180,-0.1720,-2.4900,9.3330,5.0350
80,-18.9190,75.8270,-44.5640,0.8570,0.4890,-0.1940,4.2160,8.2310,3.8590,2.5280,-62.4380,16.7390,-1.0480,-0.3800,0.5140,1.9080,-9.7180,1.0410,3.5270,-84.2460,-42.8490,-2.2370,-0.0380,0.4000,-2.8160,-9.2080,-1.3620,-26.6680,-84.7260,-49.5800,-1.6080,-0.5990,-0.0580,-0.8160,-9.4930,-2.1600,-3.7480,-49.0170,-38.2230,-0.6870,0.3110,1.0150,-0.5510,-8.7960,4.4050,-0.6680,65.6550,36.3620,-0.5850,0.3640,-0.0350,-2.5260,9.3010,5.0590
100,-18.8980,75.9250,-44.5640,0.2010,0.3360,0.0360,4.2540,8.2890,3.6820,2.5050,-62.4330,16.7390,-0.5600,-0.9600,0.3610,2.0250,-9.5270,1.0750,3.4890,-84.2510,-42.8490,-0.7710,-0.8320,0.2020,-2.5860,-9.0810,-1.3690,-26.6990,-84.7710,-49.5800,-0.0200,-1.0110,-0.2410,-0.5700,-9.1550,-2.2820,-3.7480,-49.0100,-38.2230,0.3200,-0.2540,0.6790,-0.5270,-8.6050,4.3360,-0.6650,65.6840,36.3620,-0.0660,0.5010,0.1640,-2.4970,9.4860,4.9750
120,-18.8950,75.8340,-44.5640,-1.1440,-0.2150,0.1730,4.2690,8.0420,4.1490,2.5110,-62.4720,16.7390,-1.4300,-0.6400,0.3760,1.9780,-9.6870,0.9960,3.4850,-84.2240,-42.8490,-1.4740,-0.8780,-0.5010,-2.7460,-9.2610,-1.2400,-26.6820,-84.7550,-49.5800,-1.2410,-0.3400,-0.7900,-0.7060,-9.4670,-2.0540,-3.7290,-48.9940,-38.2230,-0.9940,0.1900,0.1420,-0.5820,-8.8060,4.5710,-0.6750,65.6770,36.3620,-0.7840,0.0280,0.0260,-2.4610,9.3690,5.0090
140,-18.9230,75.8680,-44.5640,-0.1210,0.1670,1.0730,4.4480,8.2340,3.8710,2.4710,-62.4560,16.7390,-1.1860,-1.2810,0.0560,2.1310,-9.8210,1.1830,3.5160,-84.2770,-42.8490,-1.3360,-0.4350,-0.6990,-2.8230,-9.1460,-1.5080,-26.6650,-84.7610,-49.5800,-1.2870,-0.3860,-0.8670,-0.7090,-9.4570,-2.1310,-3.7450,-49.0090,-38.2230,-1.0100,-0.3900,0.1870,-0.4930,-8.7990,4.4480,-0.6800,65.6660,36.3620,-0.9970,0.4860,0.2860,-2.4490,9.3970,5.0230
160,-18.8750,75.8840,-44.5640,-0.3960,0.1820,0.3250,4.1540,8.2290,3.9070,2.4520,-62.4810,16.7390,-0.1780,-0.6860,-0.3570,2.0640,-9.6630,0.9500,3.4690,-84.2760,-42.8490,-0.9850,-1.0000,-0.3180,-2.6190,-9.3090,-1.3740,-26.6870,-84.7830,-49.5800,-0.3250,-0.4160,-0.1800,-0.5750,-9.4520,-2.2580,-3.7500,-49.0170,-38.2230,-0.2620,0.1900,0.3100,-0.4930,-8.8610,4.4440,-0.6690,65.6560,36.3620,-0.7680,0.6690,0.3470,-2.5260,9.4790,5.0880
180,-18.9150,75.8820,-44.5640,-0.5460,-0.7650,0.9960,4.4720,8.2790,3.9890,2.4540,-62.4780,16.7390,0.3420,0.0050,-1.1640,2.0570,-9.7470,1.0220,3.4560,-84.2480,-42.8490,-0.1150,-0.2210,-0.6840,-2.7050,-9.3970,-1.3530,-26.6740,-84.7330,-49.5800,0.3020,0.4410,-0.4840,-0.6420,-9.5340,-2.0590,-3.7550,-49.0040,-38.2230,0.2890,0.4480,-0.4550,-0.4720,-8.8080,4.4630,-0.6980,65.6600,36.3620,-0.3560,-0.0790,0.8660,-2.4130,9.4550,5.0450
