timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az,palm_P,palm_R,palm_Y,palm_gx,palm_gy,palm_gz,palm_ax,palm_ay,palm_az
0,-26.6370,-30.7730,78.7080,-0.7940,-0.9520,0.0500,6.2850,-4.8770,6.5310,0.2070,-0.1430,-1.3090,0.0230,-0.2040,-0.2860,1.1660,-5.2550,8.2240,7.1040,-17.9890,-42.0360,-0.0210,-0.2460,-0.3630,-4.7070,-6.0860,6.2750,4.2640,-24.4240,-75.6180,0.1920,-0.3040,-0.2820,-6.1990,-6.9020,2.4110,2.2310,-14.1150,2.4930,0.3750,-0.2960,-0.4020,-2.6600,-5.4200,7.7980,-7.2490,23.1190,180.0000,35.8130,40.1940,41.6510,-1.2610,1.3800,4.3480
20,-26.6530,-30.7350,78.7080,-1.1460,-0.7840,0.2030,6.2030,-4.8910,6.4910,0.1950,-0.1240,-1.3090,-0.2520,-0.3250,-0.2080,1.1850,-5.2820,8.3080,7.0790,-17.9890,-42.0360,-0.4640,-0.1230,-0.4530,-4.6040,-6.0880,6.2800,4.2910,-24.3860,-75.6180,-0.2360,0.0490,-0.6010,-6.2320,-6.9220,2.3870,2.2110,-14.1000,2.4930,0.0670,-0.3860,-0.5220,-2.5710,-5.3850,7.8050,-7.2150,23.1230,180.0000,35.2170,40.2860,44.8270,-1.2330,1.3750,4.3380
40,-26.6990,-30.6920,78.7080,-1.1300,-0.9520,1.1800,6.3540,-4.8990,6.5310,0.1710,-0.1330,-1.3090,-0.2960,-0.1550,-0.0080,1.2430,-5.3680,8.2620,7.0410,-17.9980,-42.0360,-0.8890,-0.5810,-0.8320,-4.7690,-6.3370,6.5270,4.3090,-24.3330,-75.6180,-0.3260,0.4310,-0.3540,-6.3330,-7.1010,2.4970,2.2100,-14.0990,2.4930,-0.3600,0.0130,-0.8250,-2.6120,-5.3890,7.7880,-7.1860,23.1350,180.0000,35.6290,40.0570,45.9570,-1.2740,1.3800,4.3790
60,-26.7390,-30.6640,78.7080,-1.4510,-0.8450,1.8520,6.3160,-4.9010,6.4880,0.1460,-0.1400,-1.3090,0.1330,0.1200,0.0220,1.2950,-5.4880,8.4110,7.0630,-17.9840,-42.0360,0.9740,0.4270,0.1600,-4.7450,-6.1240,6.2510,4.3420,-24.3100,-75.6180,0.2550,0.9320,0.6860,-6.2730,-7.0440,2.3630,2.2250,-14.1160,2.4930,-0.8170,1.6310,-0.6680,-2.6140,-5.5450,7.9510,-7.1440,23.1610,180.0000,36.3160,40.6830,42.7960,-1.2530,1.3560,4.3340
80,-26.7390,-30.6640,78.7080,-1.4510,-0.8450,1.8520,6.3160,-4.9010,6.4880,0.1620,-0.1380,-1.3090,0.7280,0.4100,-0.2530,1.1250,-5.3060,8.1070,7.0870,-17.9700,-42.0360,0.8970,0.1520,0.0230,-4.8050,-6.1530,6.2900,4.3600,-24.2720,-75.6180,0.9880,0.0470,0.8540,-6.1410,-6.8790,2.3100,2.2560,-14.1130,2.4930,0.2220,2.0120,-0.4240,-2.6260,-5.4990,7.8790,-7.1220,23.1670,180.0000,35.3090,39.7210,42.5980,-1.2750,1.3550,4.3380
100,-26.7290,-30.6710,78.7080,-1.1910,-0.4180,2.0200,6.2060,-5.0250,6.5460,0.2040,-0.1470,-1.3090,0.1140,0.3780,0.1910,1.0770,-5.5590,8.5110,7.1590,-17.9500,-42.0360,1.0460,-0.0160,0.4650,-5.0470,-6.1820,6.3370,4.4280,-24.2530,-75.6180,0.4080,0.9930,1.6170,-6.4120,-7.0250,2.3420,2.3160,-14.1090,2.4930,0.7410,1.6770,0.1260,-2.7170,-5.4250,7.7260,-7.0740,23.1760,180.0000,35.4610,41.0030,43.0710,-1.2520,1.3680,4.3290
120,-26.7670,-30.6750,78.7080,-0.7640,-1.6700,2.3550,6.3490,-5.1000,6.5240,0.2310,-0.1390,-1.3090,1.7480,0.8050,1.6880,1.1660,-5.6360,8.5230,7.1430,-17.9000,-42.0360,1.0460,-0.9170,2.4650,-5.0370,-6.4670,6.7760,4.4910,-24.2340,-75.6180,-0.3100,0.8860,3.3580,-6.5600,-7.1850,2.4350,2.3800,-14.1200,2.4930,0.1910,1.9970,1.1640,-2.7920,-5.5860,7.9270,-7.0200,23.1790,180.0000,35.1870,41.2780,47.0250,-1.2730,1.3740,4.3770
140,-26.8350,-30.6490,78.7080,-0.9620,-3.0290,3.8360,6.4140,-5.0540,6.6270,0.1970,-0.0780,-1.3090,3.8540,1.3090,3.6270,1.4460,-5.6790,8.6890,7.1430,-17.9000,-42.0360,1.0460,-0.9170,2.4650,-5.0370,-6.4670,6.7760,4.5290,-24.1530,-75.4700,0.1480,1.4670,7.4190,-6.4430,-7.1850,2.5880,2.4030,-14.1090,2.4930,0.9240,3.0200,3.0420,-2.6050,-5.6380,8.0450,-6.9440,23.2080,180.0000,36.4690,42.4390,43.4830,-1.2380,1.4090,4.3860
160,-26.9350,-30.6650,78.8140,-1.6950,-3.0130,5.3170,6.4880,-5.0450,6.4810,0.2510,0.0550,-1.2080,7.0760,3.2940,5.0460,1.2350,-5.5280,8.5430,6.9840,-17.6430,-41.7560,6.3740,-0.8260,8.5880,-4.4630,-6.3280,6.7590,4.5580,-24.0260,-75.2470,1.2170,1.4970,11.1750,-6.4090,-7.1610,2.6620,2.4560,-14.0230,2.5970,2.8320,5.7220,5.2100,-2.5020,-5.4560,8.0330,-6.8350,23.2400,180.0000,36.5910,44.0420,45.8190,-1.0950,1.3680,4.2140
180,-26.9350,-30.6650,78.8140,-1.6950,-3.0130,5.3170,6.4880,-5.0450,6.4810,0.2780,0.2290,-1.0590,8.8620,6.1490,7.4590,1.5490,-5.5550,8.6840,6.9190,-17.5070,-41.5860,7.0300,-2.5810,8.5110,-5.4950,-7.5060,7.7380,4.5230,-23.7690,-74.9490,1.5990,4.1540,14.8690,-5.9060,-7.0530,2.9980,2.5540,-13.9200,2.7390,4.6800,10.1800,7.0880,-2.3440,-5.4540,7.9320,-6.7390,23.2520,180.0000,35.6290,43.4000,42.0940,-1.2820,1.3870,4.4480
