timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az,palm_P,palm_R,palm_Y,palm_gx,palm_gy,palm_gz,palm_ax,palm_ay,palm_az
0,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.8870,66.9230,21.9930,-2.7930,-1.2010,-0.4120,-1.2690,6.7280,6.9530,-1.6790,-12.0500,-6.2800,-1.7580,0.1880,-0.3610,-5.0010,-8.2460,-0.7830,-26.4880,-85.7750,-32.7960,-1.4570,0.0430,-0.5590,-1.9660,-8.6480,-3.7950,4.2190,-52.0390,25.1270,-1.1160,-0.2670,0.0530,-1.2640,-9.0790,3.1720,-9.1000,60.3220,46.1550,-0.6590,-0.0870,-0.4730,-1.8990,9.5150,5.0470
20,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.9050,66.8640,21.9930,-3.1590,-0.7740,-0.7480,-1.3000,6.7350,6.7610,-1.6790,-12.0740,-6.2800,-1.4370,1.1190,-0.9410,-5.0830,-8.2860,-0.7660,-26.5170,-85.8120,-32.7960,-1.5030,0.6690,-0.9410,-2.0590,-8.7410,-3.7110,4.1470,-52.0930,25.1270,-1.2070,0.4960,-0.4960,-1.4220,-9.1460,3.4140,-9.1010,60.2960,46.1550,-0.9490,-0.7280,-0.5040,-1.7860,9.4790,5.0300
40,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.9400,66.7060,21.9930,-2.3960,-1.3690,-0.8240,-1.4250,6.5430,7.1490,-1.6790,-12.1510,-6.2800,-0.3080,0.6610,-1.0480,-5.0730,-8.1910,-0.9790,-26.5670,-85.8870,-32.7960,-0.3580,0.0280,-0.9560,-2.0180,-8.6410,-3.8980,4.0250,-52.1750,25.1270,-0.0320,-0.2360,-0.1300,-1.2880,-9.1670,3.2320,-9.0750,60.2760,46.1550,-0.6280,-0.2700,-0.2440,-1.8580,9.5100,5.0570
60,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.9050,66.7170,21.9930,-0.6860,-1.1700,0.2600,-1.1610,6.8590,6.8160,-1.6850,-12.1720,-6.2800,0.2420,0.4320,-0.3910,-5.0850,-8.2430,-0.8600,-26.6150,-85.9450,-32.7960,0.1000,0.2260,-0.2540,-2.0060,-8.6690,-3.8810,3.9120,-52.2670,25.1270,0.1820,0.5130,-0.1290,-1.2590,-9.1270,3.1630,-9.0300,60.2690,46.1550,-0.4760,-0.1780,-0.2440,-1.9300,9.5720,5.0490
80,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.8590,66.6450,21.9930,-0.7620,-2.2090,-0.1980,-1.1950,6.7060,7.0720,-1.6900,-12.1930,-6.2800,0.4550,1.1630,0.2220,-5.0730,-8.3200,-0.8810,-26.6060,-85.9910,-32.7960,-0.1140,1.6450,0.6030,-2.1090,-8.7050,-3.8400,3.8770,-52.3220,25.1270,-0.6740,2.0220,-0.5560,-1.4410,-9.1630,3.3660,-9.0100,60.2480,46.1550,-0.5060,-1.0330,-0.2440,-1.8940,9.4930,5.0640
100,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.7860,66.6370,21.9930,-0.3810,-2.3770,-1.0230,-1.0940,6.7920,6.8880,-1.6010,-12.2480,-6.2800,0.5610,1.9420,-0.0840,-5.2340,-8.0450,-0.9580,-26.5570,-86.0680,-32.7960,-0.5260,2.0270,0.2970,-2.1910,-8.5230,-3.8500,3.8540,-52.3690,25.1270,-1.1470,1.5640,-0.4490,-1.5010,-8.9970,3.3690,-9.0150,60.2630,46.1550,-0.0790,-1.5830,-0.5040,-1.8440,9.5770,4.9970
120,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.8100,66.6260,21.9930,-1.3580,-1.3540,-1.5870,-1.3500,6.7950,6.8140,-1.5780,-12.2600,-6.2800,-0.8890,1.5140,0.0540,-5.1190,-8.2530,-0.7760,-26.5730,-86.1290,-32.7960,-1.5340,0.8970,0.2820,-2.0730,-8.6980,-3.8020,3.7910,-52.4340,25.1270,-1.1170,1.0450,0.4360,-1.4200,-9.1390,3.3490,-8.9880,60.2490,46.1550,-0.1700,-0.9420,-0.9160,-1.9080,9.5120,5.0710
140,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.8240,66.5290,21.9930,-2.2430,-0.6210,-1.6330,-1.2740,6.6700,7.0410,-1.5450,-12.2730,-6.2800,-0.2020,1.5900,0.4660,-5.1620,-8.2530,-0.8190,-26.5840,-86.1840,-32.7960,-0.8470,1.0190,0.7550,-2.0880,-8.7220,-3.8450,3.7540,-52.4960,25.1270,-0.2160,1.7320,0.1770,-1.4680,-9.1480,3.2970,-8.9340,60.2520,46.1550,-0.2620,-0.8500,-0.9920,-2.0040,9.5220,5.0040
160,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.9460,66.5280,21.9930,-1.5560,-0.4380,-1.8320,-1.6180,6.7370,6.7130,-1.4660,-12.3000,-6.2800,1.2640,1.7890,0.0230,-5.2530,-8.1070,-0.9340,-26.5400,-86.2570,-32.7960,0.4210,1.6910,0.6940,-2.2100,-8.5540,-3.9310,3.7510,-52.5360,25.1270,0.0890,1.9000,-0.5100,-1.5590,-8.9970,3.3020,-8.9090,60.2620,46.1550,-0.4910,-1.4150,-0.5650,-1.9390,9.5480,4.9700
180,-23.8870,69.9980,-54.8960,109.1780,-16.8980,-5.8370,6.6490,4.7620,5.3080,11.9460,66.3830,21.9930,-1.9530,-1.3380,-0.9920,-1.2950,6.5670,7.2280,-1.4190,-12.3590,-6.2800,0.6990,0.8580,-0.0230,-5.1860,-8.0780,-0.9910,-26.5050,-86.3300,-32.7960,0.0690,1.2330,0.4190,-2.2170,-8.5640,-3.9150,3.7010,-52.5960,25.1270,-0.2460,0.5410,0.0090,-1.5060,-9.0980,3.2850,-8.8600,60.2720,46.1550,-0.7350,-0.9420,-0.2290,-1.9990,9.5670,4.9580
