timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az,palm_P,palm_R,palm_Y,palm_gx,palm_gy,palm_gz,palm_ax,palm_ay,palm_az
0,5.4310,27.8500,-11.2980,-3.4110,-0.7810,2.7500,9.8230,2.7510,-1.2760,-3.5480,-10.4270,-0.2020,-1.4810,-4.5040,-1.5150,2.2530,7.3500,6.3110,-10.9330,61.2970,18.1950,-0.9100,-3.3300,-3.1750,-1.3100,5.5260,8.5160,13.0080,13.9030,26.3720,0.7840,3.6790,-0.3930,-2.2240,-9.3210,-2.5670,-5.0540,-22.7510,-146.1550,-0.6260,2.9900,-3.8220,-1.7450,-7.2980,6.7210,-8.0970,90.4440,161.6500,-2.4210,3.2390,-0.0470,-1.6330,9.1790,7.8550
20,5.4810,27.7920,-11.2980,-3.3960,-0.7200,0.9790,9.8640,2.7530,-1.3550,-3.6130,-10.4890,-0.2020,1.7400,-3.1750,-2.4920,2.2430,7.5300,6.5030,-11.0180,61.3150,18.1950,1.7610,-3.4980,-2.7780,-1.3100,5.6170,8.4680,13.2160,13.8840,26.3720,1.1200,5.3430,0.9350,-2.4330,-9.1150,-2.8280,-5.0540,-22.7510,-146.1550,-0.6260,2.9900,-3.8220,-1.7450,-7.2980,6.7210,-8.2480,90.4310,161.6500,-0.5890,2.9640,-0.4440,-1.7860,9.3010,7.7330
40,5.4780,27.3740,-11.2980,-4.0370,-1.0250,0.0940,9.8160,2.7250,-0.9360,-3.4880,-10.3330,-0.2020,3.9690,-0.8090,-3.4540,1.6520,7.6590,5.8160,-10.9630,61.4950,18.1950,2.7690,-1.0250,-2.3350,-1.6260,5.9830,8.0730,13.3320,13.8970,26.3720,0.4640,1.6940,1.8510,-2.3730,-9.1270,-2.6720,-4.8530,-22.6940,-146.1550,0.8700,1.8910,-1.2570,-1.9150,-7.2540,6.6060,-8.2480,90.4310,161.6500,-0.5890,2.9640,-0.4440,-1.7860,9.3010,7.7330
60,5.5270,27.0180,-11.2980,-2.9680,-0.5520,0.2620,9.7400,2.8470,-1.0100,-3.3820,-10.3100,-0.2020,1.8470,-1.9850,-2.6300,1.6400,7.5150,6.0880,-10.8520,61.5400,18.1950,0.4480,-0.7650,-2.5490,-1.8390,5.7840,8.3270,13.4920,13.8470,26.3720,0.1120,2.6860,1.7900,-2.4540,-8.9830,-2.8300,-4.7080,-22.6610,-146.1550,0.1680,1.9060,-2.2340,-2.1740,-7.1680,6.6850,-8.2480,90.4310,161.6500,-0.5890,2.9640,-0.4440,-1.7860,9.3010,7.7330
80,5.5350,26.6290,-11.2980,-1.6860,-0.3840,-0.2120,9.9600,2.7800,-0.9100,-3.3890,-10.4240,-0.2020,2.0150,-2.1680,-1.9730,2.0490,7.2900,6.5390,-10.7610,61.5980,18.1950,1.2880,-1.4830,-1.7090,-1.8050,5.7150,8.2310,13.6820,13.8370,26.3720,0.4640,2.2740,1.0420,-2.6580,-9.1580,-2.7680,-4.5540,-22.6110,-146.1550,0.8090,1.0810,-1.8070,-2.2700,-7.1080,6.6610,-8.2690,90.4510,161.6500,0.6780,5.6970,0.0290,-1.9610,9.1600,7.6470
100,5.5450,26.2220,-11.2980,-0.6170,-0.6130,-2.5930,9.7110,2.7530,-0.8450,-3.2180,-10.2860,-0.2020,3.8170,1.4200,-1.8510,1.6110,7.5900,5.8110,-10.6850,61.7170,18.1950,2.3870,-0.0630,0.4440,-1.6520,5.8200,8.1190,13.8490,13.7880,26.3720,0.9670,0.4270,1.6530,-2.6530,-8.8440,-2.8440,-4.4900,-22.5420,-146.1550,1.2370,-0.5670,0.9260,-2.0540,-7.0050,6.6200,-8.2680,90.4690,161.6500,1.5480,7.0250,0.3500,-1.9820,9.2610,7.6570
120,5.5450,26.2220,-11.2980,-0.6170,-0.6130,-2.5930,9.7110,2.7530,-0.8450,-3.0490,-10.2300,-0.2020,3.2060,1.7560,-1.0570,1.6160,7.4390,5.9810,-10.6010,61.8540,18.1950,2.9520,0.5480,1.7260,-1.6330,5.8130,8.0370,13.8770,13.8230,26.3720,0.4640,-1.9240,1.5610,-2.3580,-9.0450,-2.5810,-4.4620,-22.5190,-146.1550,0.9770,-1.1630,1.5060,-1.9730,-7.1130,6.5390,-8.2260,90.4970,161.6500,1.1510,8.8580,0.7460,-2.0330,9.2180,7.6300
140,5.6570,26.0700,-11.2980,0.7110,-1.0710,-2.0290,9.5460,2.6820,-1.0610,-2.9630,-10.1670,-0.2020,3.6640,0.6110,0.0570,1.8150,7.4530,5.9880,-10.5610,61.9500,18.1950,1.4710,-0.3530,1.9250,-1.5490,5.8010,8.0640,13.9350,13.8100,26.3720,0.4330,-0.7490,0.2020,-2.3820,-8.9610,-2.7170,-4.4500,-22.4840,-146.1550,-0.4120,-2.0940,0.1320,-1.9940,-7.0630,6.6820,-8.1960,90.5170,161.6500,0.7090,8.2930,1.6170,-1.8390,9.2420,7.6640
160,5.7370,26.2420,-11.2980,1.6270,-1.4220,-1.2190,9.5150,2.7960,-1.4750,-2.9290,-10.1080,-0.2020,3.8630,0.1830,1.2940,1.9610,7.4340,5.9900,-10.5500,61.9200,18.1950,0.2500,-0.6580,2.5200,-1.4820,5.5570,8.3460,13.9450,13.8730,26.3720,0.6140,-1.7530,-1.0200,-2.3200,-9.1870,-2.5280,-4.5270,-22.4560,-146.1550,0.5040,-2.7960,0.2700,-1.7120,-7.0990,6.6030,-8.1660,90.5270,161.6500,0.2200,8.2770,2.2730,-1.7790,9.1720,7.7330
180,5.6990,26.2840,-11.2980,1.2760,-2.1700,-0.8070,9.6990,2.5590,-1.2140,-2.9730,-9.9540,-0.2020,4.1980,0.0310,1.7060,2.2050,7.5680,5.6980,-10.6770,61.9950,18.1950,1.0130,-0.9020,3.3440,-0.9790,5.7440,8.0450,13.9030,13.9050,26.3720,1.5610,-1.6610,-0.3480,-2.0780,-8.9260,-2.6220,-4.6410,-22.3910,-146.1550,0.9930,-3.1780,0.4680,-1.5490,-6.8330,6.4880,-8.1300,90.5370,161.6500,0.2350,8.5220,2.6090,-1.6090,9.2100,7.7260
