timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az,palm_P,palm_R,palm_Y,palm_gx,palm_gy,palm_gz,palm_ax,palm_ay,palm_az
0,-10.9270,-60.1510,-162.9380,185.0860,46.9600,-182.2830,3.2230,-3.9910,3.9740,12.7670,193.9380,-176.1670,287.5870,32.8960,-50.5690,-1.1400,-0.9550,-6.5700,-46.4560,181.3720,-177.9350,261.6450,-123.4390,35.6500,0.8330,-0.6870,-6.8230,-62.4920,179.5540,-157.2560,233.1400,-14.6450,151.9910,4.2470,-0.0570,-5.9540,-7.6900,-39.2130,-176.3370,260.5740,-23.0680,-52.0650,-1.0060,-4.1230,-6.0530,-3.3680,31.8140,176.3090,268.0520,13.9420,131.2960,-3.3450,2.6190,9.8110
20,-10.1530,-56.9860,-166.0070,161.6360,33.2660,-153.4440,2.9090,-1.2930,1.2590,13.4140,200.0850,-177.3010,247.6930,34.3930,-56.6760,-1.0490,-2.7050,-5.8780,-48.5490,186.4290,-177.4640,234.9280,-97.7300,23.5280,0.8040,-0.2920,-6.7970,-62.4780,183.6550,-154.4790,206.0710,4.3930,138.8610,4.3980,0.8790,-5.8250,-7.7030,-35.4290,-177.3980,230.6040,-1.4340,-53.0720,-1.0180,-1.8670,-5.5450,-3.2950,35.8610,178.6000,216.9220,0.6130,114.5330,-3.3610,5.0540,10.1950
40,-9.5490,-55.2780,-168.1020,88.7810,24.7460,-104.7570,1.4720,-0.6460,1.5850,14.0810,205.3300,-178.2950,202.5480,35.4000,-49.6830,-0.9820,0.3520,-5.3320,-50.0000,190.5400,-177.0880,187.6300,-65.6990,18.8260,1.9610,2.4800,-6.3660,-62.2420,186.7210,-152.3330,154.3000,15.5380,107.3190,3.2800,3.3640,-4.3860,-7.5160,-33.0580,-178.2250,159.9480,8.5810,-41.3320,-0.6700,0.6010,-3.5430,-3.4400,38.8540,180.0000,164.2660,-10.3330,88.7460,-2.4110,6.6220,9.3110
60,-9.2310,-55.2150,-168.8190,6.5520,10.4870,-35.8710,3.0530,-0.1960,2.8230,14.6030,208.6840,-178.7500,108.0140,28.1180,-22.7980,-1.3690,-0.0810,-4.2520,-50.5940,192.7810,-176.7610,94.1490,-22.7980,16.3370,0.2680,1.0530,-4.8340,-62.0240,187.9880,-151.3360,64.3460,14.6520,49.8230,2.4730,0.7830,-3.7060,-7.2790,-32.7630,-178.5420,56.1310,11.0700,-15.8510,-0.0720,-1.6810,-2.0780,-4.6860,39.7740,180.0000,91.3800,-14.7450,44.4410,-1.7380,6.4430,8.7240
80,-9.1850,-56.4400,-168.3810,-57.8610,-3.1310,21.9000,2.3250,-0.9720,1.6950,14.7840,210.0660,-178.7500,9.4640,11.1100,4.6830,-0.0410,-1.7140,-3.7420,-50.5540,193.1240,-176.5060,-0.7820,8.8810,12.7340,0.9770,-0.0550,-5.1620,-61.9110,187.6170,-151.3360,-17.5620,9.3700,1.3040,3.4240,0.9860,-4.2400,-6.9210,-34.2610,-178.3310,-33.4870,17.1000,10.5610,-0.0790,-2.9020,-3.4980,-5.3670,39.0110,180.0000,9.4110,-12.3180,-4.0320,-2.2770,6.2010,8.8680
100,-9.5950,-58.9770,-167.1280,-123.4790,-25.9710,62.6630,2.4420,-0.7280,1.1540,14.8170,209.8190,-178.2260,-72.0170,3.6900,26.2400,0.1650,-0.7640,-5.6170,-49.8630,192.0010,-176.3430,-74.0800,41.4770,8.1690,2.2980,0.3520,-6.1720,-61.6890,185.9480,-152.0990,-82.4320,14.8200,-38.1620,5.1480,1.7530,-4.6810,-6.3620,-37.1500,-177.8850,-103.0450,27.1770,22.2560,0.5170,-1.6140,-5.5640,-5.6140,37.5160,179.1250,-59.2910,-14.3330,-43.7420,-2.8490,5.5090,9.5700
120,-10.3780,-62.8470,-164.9500,-190.0590,-44.5820,108.9070,1.5680,-2.3220,-0.7370,14.9350,207.9890,-177.3920,-151.1770,7.9190,41.6600,0.5790,-0.1270,-4.9300,-48.2580,189.5360,-176.2260,-141.1490,87.1100,5.8640,3.0740,1.6450,-6.1580,-61.1500,182.8840,-153.6450,-152.1730,30.6980,-77.2610,4.6450,3.9150,-4.5750,-5.3330,-41.7150,-177.1810,-186.9070,50.6420,35.2330,0.4740,0.7040,-6.1120,-6.8020,34.3050,177.5700,-121.3370,-35.6620,-77.7420,-1.9200,5.6980,9.3130
140,-10.3780,-62.8470,-164.9500,-190.0590,-44.5820,108.9070,1.5680,-2.3220,-0.7370,15.2230,204.4730,-176.0190,-235.4820,16.4690,68.6520,-0.7230,2.6720,-6.1750,-44.5550,182.5850,-176.0300,-227.0110,145.8890,9.7870,3.5700,4.4800,-7.1630,-60.3940,177.4730,-156.0470,-243.7760,47.0800,-120.1010,4.6810,6.2730,-5.4970,-5.7050,-0.9410,-176.0140,-288.0680,71.0540,58.3630,-0.3060,2.4330,-8.0450,-8.5300,29.1710,175.0810,-202.2230,-58.5780,-124.4440,-1.3170,4.1130,9.5460
160,-13.0640,-74.8700,-157.0130,-329.8610,-85.6200,226.6780,-4.2930,-12.5380,-2.6550,14.9120,194.9090,-174.0510,-338.0470,18.6980,98.4080,-1.8890,5.2150,-8.3610,-40.8740,176.3930,-175.9160,-322.4620,203.0640,5.6810,4.3650,5.1190,-8.8780,-60.1130,172.7530,-159.6360,-337.1350,53.3550,-179.4450,5.5380,5.8270,-6.6440,-3.2520,-32.9050,-174.5520,-388.1290,77.6800,73.0950,-2.8780,-1.0030,-9.8810,-9.4340,21.7710,171.5480,-300.9100,-69.0810,-176.6580,-2.4800,1.9030,8.4440
180,-13.0640,-74.8700,-157.0130,-329.8610,-85.6200,226.6780,-4.2930,-12.5380,-2.6550,15.2420,187.5710,-172.1930,-424.3370,18.9120,92.8970,-3.2920,4.5030,-10.4120,-35.7230,172.7580,-176.6190,-374.5530,248.1030,-35.1440,2.7680,2.8160,-9.6680,-59.5960,171.1320,-164.4480,-368.8140,77.5070,-240.6350,5.5400,2.8200,-7.8700,-0.8120,-55.6230,-173.8510,-433.4570,75.6500,35.0190,-3.6940,-4.0010,-9.6630,-9.8770,11.6030,167.8480,-373.0320,-75.5550,-184.9940,-4.0290,-2.0210,9.8550
