timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-0.9600,78.7310,-110.4220,-1.7770,1.5180,-2.9890,1.5510,8.9660,4.1640,-60.1380,-165.8310,-94.6480,-1.9980,0.3630,0.1420,-0.2300,-9.8620,1.4250,16.0210,-71.9240,-155.1180,-3.0840,0.9130,-0.0370,-4.6850,-8.8270,0.5750,5.1490,-3.2570,2.2960,-1.2060,0.0710,0.7430,-2.9660,-9.0840,-1.0370,0.0850,-37.4270,12.7010,-1.6890,2.3690,1.7920,-1.0300,-7.8050,5.9880
20,-0.8830,78.7770,-110.4220,-0.0060,2.6020,-2.6230,1.5660,9.3520,3.8040,-60.1120,-165.9320,-94.6480,-3.3720,0.5610,-0.3620,-0.4380,-10.1160,1.2350,16.0260,-72.0540,-155.1180,-3.4200,0.3940,-0.1290,-4.4340,-8.5540,0.3230,5.2380,-3.3260,2.2960,-2.2450,1.8720,-0.1880,-3.3610,-9.3590,-1.1610,0.1800,-37.5100,12.7010,-2.8490,2.5830,1.3650,-1.2210,-7.9130,6.0120
40,-0.7680,78.7600,-110.4220,-1.2730,2.3580,-4.2870,1.3670,9.1480,3.8690,-60.1720,-166.0190,-94.6480,-3.6010,-0.2330,-0.5910,-0.1800,-9.8550,1.2520,16.0630,-72.1380,-155.1180,-4.1380,1.9520,-0.2660,-4.6450,-8.9300,0.5150,5.1870,-3.3680,2.2960,-2.3820,0.9110,-0.9820,-2.8660,-9.2100,-1.0580,0.2200,-37.6200,12.7010,-3.9630,1.5760,1.1820,-1.1230,-8.0420,6.0650
60,-0.6700,78.6500,-110.4220,-1.0600,1.8540,-3.5540,1.3860,9.0860,4.2230,-60.1830,-166.1500,-94.6480,-4.0890,0.0120,-0.8960,-0.3400,-10.0800,1.1370,16.0630,-72.1380,-155.1180,-4.1380,1.9520,-0.2660,-4.6450,-8.9300,0.5150,5.2100,-3.4700,2.2960,-2.2290,1.5820,-1.7450,-3.1510,-9.3830,-1.3100,0.2910,-37.7550,12.7010,-3.8720,1.5910,0.1280,-1.2400,-8.0760,5.9540
80,-0.6390,78.5600,-110.4220,-0.5560,0.6790,-1.1720,1.5280,9.0640,4.1900,-60.2120,-166.2370,-94.6480,-2.4100,-0.9040,-1.1560,-0.3380,-10.0800,1.1640,16.1440,-72.3650,-155.1180,-1.6190,0.9290,-0.9840,-4.6060,-8.6600,0.2350,5.2030,-3.5360,2.2960,-0.9320,1.3530,-1.0740,-3.0190,-9.2800,-1.2740,0.3420,-37.8570,12.7010,-2.8790,1.3010,0.1130,-1.1970,-8.0370,5.9640
100,-0.5660,78.4690,-110.4220,1.0630,0.5720,0.2780,1.3410,8.9040,4.2520,-60.2520,-166.2850,-94.6480,-1.2490,-1.3930,-1.2470,-0.3330,-10.1010,1.2140,16.1770,-72.4600,-155.1180,-0.7180,-0.1400,-0.9070,-4.6470,-8.6120,0.2200,5.1800,-3.5700,2.2960,0.1070,0.2080,-1.2570,-3.0380,-9.2700,-1.2470,0.3560,-37.9430,12.7010,-1.8260,-0.3330,-0.2380,-1.1710,-7.9730,5.8850
120,-0.5120,78.5550,-110.4220,3.2000,1.9610,2.2930,1.5010,9.1410,3.8360,-60.3020,-166.3250,-94.6480,0.3990,-2.1720,-0.9110,-0.3400,-9.8020,1.0870,16.1460,-72.4740,-155.1180,-1.3900,-1.1780,-0.8620,-4.4650,-8.5810,0.5000,5.1340,-3.5950,2.2960,1.0530,-0.8150,-0.3410,-2.9570,-9.0740,-1.2590,0.3200,-37.9810,12.7010,-0.6200,-1.6460,0.4950,-1.0580,-7.7240,5.7940
140,-0.4620,78.5660,-110.4220,1.8870,1.4420,2.4920,1.4480,8.9850,3.9480,-60.3500,-166.3260,-94.6480,-0.4560,-1.5150,-0.6820,-0.2920,-9.7540,1.2740,16.1400,-72.5390,-155.1180,-2.0620,-1.1320,-1.1820,-4.5470,-8.5590,0.3780,5.0830,-3.5650,2.2960,-0.0000,-1.4410,-0.8600,-2.9740,-9.1200,-1.0200,0.2860,-38.0210,12.7010,-1.6580,-1.7530,0.9220,-1.0920,-7.8460,5.9570
160,-0.4490,78.5390,-110.4220,1.3530,1.4270,3.2400,1.5630,8.8940,4.0100,-60.3450,-166.3750,-94.6480,-1.2950,-0.9810,-1.1100,-0.4480,-9.9650,1.1830,16.1030,-72.5910,-155.1180,-1.1910,-1.9420,-1.4260,-4.4990,-8.5860,0.3590,5.0760,-3.5790,2.2960,0.0150,-1.7150,-1.4100,-3.1480,-9.0960,-1.1710,0.2720,-38.0630,12.7010,-1.5210,-1.9210,0.6630,-1.1680,-7.8360,5.9280
180,-0.4200,78.5590,-110.4220,2.1310,1.2890,2.3390,1.4870,8.9450,3.9120,-60.4430,-166.3800,-94.6480,0.4760,-2.5690,-1.0640,-0.1840,-9.7780,1.1920,15.9970,-72.5940,-155.1180,-0.2910,-2.4300,-1.3040,-4.3120,-8.6810,0.4570,4.9790,-3.5690,2.2960,1.2060,-2.0660,-0.4480,-2.8060,-9.0020,-1.1560,0.2100,-38.0940,12.7010,-0.2380,-2.1800,0.9830,-1.0030,-7.8150,5.8420
