timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-26.8740,-24.9390,145.6640,-0.9550,-1.1100,0.2330,6.3350,-4.1920,7.0720,0.9360,2.2870,4.4000,0.4390,-0.0090,-0.1640,1.0510,-5.0900,8.4990,7.1110,-16.1270,-59.1130,0.3330,-0.2700,0.0470,-4.8080,-5.9900,6.5410,5.8210,-25.1650,-105.5050,0.5220,-0.1340,0.3650,-6.5910,-6.8070,2.2890,4.2390,-11.8700,-1.9500,-0.6530,0.6400,-0.4540,-3.1120,-5.2310,8.1210
20,-26.9200,-24.8770,145.6640,-0.2380,-1.1100,-0.0730,6.4140,-4.0680,7.0250,0.8950,2.3260,4.4000,1.2760,-0.2530,0.0050,1.1540,-4.9340,8.4970,7.0640,-16.1030,-59.1130,1.0950,-0.6960,0.2300,-4.5780,-5.8680,6.4740,5.8260,-25.0990,-105.5050,1.1610,-0.5000,0.9280,-6.3880,-6.5720,2.2790,4.2030,-11.8150,-1.9500,1.1330,-0.2610,0.4620,-2.9140,-5.0010,7.9200
40,-26.9390,-24.8150,145.6640,-0.7110,-0.4530,-0.3320,6.2870,-4.0030,6.9650,0.8680,2.3640,4.4000,0.9860,0.1890,-0.1790,1.1200,-4.8310,8.3650,7.0640,-16.1030,-59.1130,1.0950,-0.6960,0.2300,-4.5780,-5.8680,6.4740,5.8310,-25.0110,-105.5050,0.5190,-0.1940,0.3020,-6.3810,-6.5700,2.3700,4.1990,-11.7960,-1.9500,0.2940,-0.1390,-0.1030,-2.9400,-4.9610,7.8840
60,-26.9450,-24.7700,145.6640,-1.4130,0.0960,0.4620,6.2490,-3.9940,6.9340,0.8740,2.3770,4.4000,-0.3880,0.5710,-0.3460,1.0410,-4.8650,8.4400,7.0900,-16.0870,-59.1130,-0.4650,0.7380,-0.6110,-4.7740,-5.8350,6.4760,5.8710,-24.9530,-105.5050,-0.0300,0.4470,-0.4160,-6.5360,-6.6440,2.3510,4.2190,-11.8110,-1.9500,-0.4710,0.2590,-0.6980,-3.0240,-5.0640,7.9250
80,-26.9420,-24.7450,145.6640,-1.9320,-0.3160,0.8130,6.2990,-4.1040,7.0650,0.9010,2.3240,4.4000,-1.3630,0.2630,-0.6200,0.9740,-5.1550,8.6050,7.1450,-16.1200,-59.1130,-0.8920,0.4320,-0.9470,-4.9680,-5.9900,6.5190,5.9420,-24.9700,-105.5050,-0.3660,0.8570,-0.8110,-6.7230,-6.7780,2.2120,4.2510,-11.8670,-1.9500,-0.8350,0.1050,-0.8320,-3.1290,-5.2410,7.9800
100,-26.9490,-24.7480,145.6640,-1.8410,-1.2930,0.4160,6.4000,-4.2780,7.1850,0.9230,2.2760,4.4000,-0.4620,-0.0730,-0.0090,0.9670,-5.2070,8.5880,7.1460,-16.1540,-59.1130,-0.8770,-0.5900,-0.3360,-4.9270,-6.1200,6.6460,5.9650,-24.9680,-105.5050,-0.3960,0.0940,-0.3070,-6.7180,-6.9170,2.3080,4.2240,-11.8900,-1.9500,0.0200,-0.4140,0.0080,-2.9540,-5.2120,8.0230
120,-26.9930,-24.6950,145.6640,-0.2220,-1.5220,-0.3470,6.3880,-4.1080,7.0290,0.8760,2.2900,4.4000,0.9290,-0.5760,0.3730,1.1590,-5.0060,8.4870,7.0870,-16.1500,-59.1130,0.6960,-0.6210,0.7930,-4.5250,-5.9060,6.4450,5.9390,-24.9050,-105.5050,0.1700,-0.4410,0.5800,-6.4360,-6.7780,2.3940,4.1790,-11.8760,-1.9500,0.7980,-0.6560,0.2980,-2.8350,-5.0330,7.8870
140,-27.0360,-24.6260,145.6640,-0.1150,-0.9570,-0.5760,6.3160,-3.9940,6.9190,0.8220,2.3490,4.4000,1.1890,-0.2710,0.3730,1.1730,-4.7260,8.2860,7.0560,-16.1410,-59.1130,0.3600,-0.3610,0.4120,-4.5270,-5.7800,6.3590,5.9540,-24.8190,-105.5050,0.2460,-0.5460,0.3940,-6.3780,-6.5030,2.3560,4.1790,-11.8760,-1.9500,0.7980,-0.6560,0.2980,-2.8350,-5.0330,7.8870
160,-27.0220,-24.5840,145.6640,-1.0770,-0.3620,0.2330,6.1820,-4.0630,6.9930,0.8060,2.3770,4.4000,-0.1240,0.1110,-0.0700,1.0750,-4.7500,8.3030,7.0500,-16.1560,-59.1130,-0.9850,0.5110,-0.1860,-4.5990,-5.8270,6.4210,5.9720,-24.7670,-105.5050,-0.1820,-0.3930,-0.6440,-6.4360,-6.5820,2.3220,4.1310,-11.8470,-1.9500,-0.6240,-0.2100,-0.3280,-2.9040,-4.9700,7.9220
180,-27.0180,-24.5380,145.6640,-1.9320,-0.2550,1.7290,6.3330,-4.0730,7.1300,0.8210,2.3540,4.4000,-1.5890,0.3080,-0.1310,1.0250,-5.0280,8.6290,7.1000,-16.2000,-59.1130,-2.0690,0.4500,-0.8880,-4.9990,-6.0550,6.6220,6.0070,-24.7350,-105.5050,-0.7010,0.1110,-1.2390,-6.6370,-6.7680,2.3580,4.1840,-11.8850,-1.9500,-1.2470,0.4940,-0.5400,-3.1700,-5.1810,8.0400
200,-27.0120,-24.5110,145.6640,-1.6880,-0.5600,1.4690,6.3930,-4.1990,7.2110,0.8630,2.2920,4.4000,-0.9170,0.2320,-0.0700,0.9410,-5.3030,8.7150,7.1680,-16.2260,-59.1130,-0.5880,0.3430,-0.0790,-5.0730,-6.0670,6.5790,6.0510,-24.7320,-105.5050,-0.5480,0.5990,-0.0640,-6.7780,-6.9430,2.3320,4.2180,-11.9160,-1.9500,-0.4220,0.7840,0.3450,-3.0930,-5.2310,8.0540
220,-27.0120,-24.5110,145.6640,-1.6880,-0.5600,1.4690,6.3930,-4.1990,7.2110,0.8550,2.3000,4.4000,1.1130,0.2320,0.4040,1.0850,-5.0400,8.4830,7.1280,-16.2160,-59.1130,1.0150,-0.5280,0.9590,-4.6590,-6.0050,6.5290,6.0610,-24.6710,-105.5050,0.3100,0.1080,1.3260,-6.5580,-6.7970,2.3940,4.2180,-11.9160,-1.9500,-0.4220,0.7840,0.3450,-3.0930,-5.2310,8.0540
240,-27.0760,-24.3690,145.6640,0.5110,-0.3920,-0.8970,6.2440,-3.9070,6.9020,0.8160,2.3710,4.4000,1.6780,0.0640,0.1750,1.1470,-4.7190,8.2910,7.1160,-16.1700,-59.1130,1.8080,-0.1150,0.8370,-4.5130,-5.6790,6.2700,6.0710,-24.5920,-105.5050,0.7070,0.2450,1.5240,-6.2990,-6.5430,2.3340,4.2040,-11.8920,-1.9500,0.9540,0.4140,0.8320,-2.8630,-5.0160,7.8890
260,-27.0910,-24.3200,145.6640,-1.0010,-0.0720,0.2480,6.2900,-4.0130,6.9500,0.7850,2.4040,4.4000,0.1820,0.2630,-0.1150,1.1320,-4.7190,8.2500,7.1120,-16.1590,-59.1130,-0.2680,0.4500,-0.2320,-4.5390,-5.7080,6.3350,6.0960,-24.5270,-105.5050,-0.0570,0.3820,0.0130,-6.3420,-6.5240,2.3340,4.2310,-11.8700,-1.9500,-0.8670,0.4880,-0.8020,-2.9830,-4.9730,7.8530
