timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-38.7730,109.2440,-9.7830,1.5060,-1.3470,1.6760,8.4420,6.0360,-0.5240,4.8850,115.7630,-10.4610,2.1760,-0.6060,0.1300,1.1880,8.2600,5.3250,8.2880,-67.2120,-57.3640,-0.2800,1.4180,0.0380,-3.2870,-9.3540,0.5290,-23.0970,-84.3940,24.9300,-0.7660,2.8780,0.2460,-0.2060,-9.5190,-2.4250,-9.9960,-13.5860,-30.6210,-1.3540,1.0250,-0.8930,0.9430,-9.4830,2.9950
20,-38.9170,108.8100,-9.7830,-0.6310,-1.3020,1.2950,8.5830,5.3920,0.5410,4.8200,115.7240,-10.4610,1.0470,-3.0950,-0.6030,1.2760,7.9730,5.5860,8.2970,-67.2940,-57.3640,0.6210,2.6700,-0.7250,-3.4190,-9.3950,0.4480,-23.0730,-84.4990,24.9300,-0.0020,2.6490,0.3680,-0.4330,-9.4400,-2.5930,-9.8640,-13.6220,-30.6210,-0.8660,2.1700,-1.4430,0.7350,-9.3520,3.1680
40,-38.9170,108.8100,-9.7830,-0.6310,-1.3020,1.2950,8.5830,5.3920,0.5410,4.6980,115.5800,-10.4610,0.0850,-2.0720,-0.3590,1.5680,7.8480,5.8780,8.2970,-67.2940,-57.3640,0.6210,2.6700,-0.7250,-3.4190,-9.3950,0.4480,-23.2210,-84.5200,24.9300,1.2500,0.2980,1.1010,0.0100,-9.3660,-2.3700,-9.8490,-13.6500,-30.6210,1.2410,0.7050,0.0230,1.0320,-9.4400,3.0650
60,-38.9310,108.9410,-9.7830,0.8190,-1.8820,-0.0640,8.1310,5.7820,-0.4570,4.7520,115.6810,-10.4610,0.8330,-0.3160,-0.8930,1.0490,8.1020,5.0920,8.1920,-67.3060,-57.3640,2.4840,1.1440,0.6490,-3.3400,-9.1000,0.5910,-23.2430,-84.5010,24.9300,1.2650,2.4660,1.6200,-0.2590,-9.2700,-2.2150,-9.8120,-13.5900,-30.6210,1.5310,1.8350,-0.6180,1.0030,-9.1390,3.2700
80,-38.9790,109.0690,-9.7830,0.7740,-2.7220,0.4400,8.5190,5.8830,-0.5320,4.6580,115.7350,-10.4610,2.0850,-2.1940,-1.9010,1.4530,8.0660,5.3490,8.2380,-67.2710,-57.3640,2.1630,2.3190,0.7250,-3.4480,-9.0290,0.7060,-23.2340,-84.4620,24.9300,0.3030,3.1530,2.1240,-0.3210,-9.3590,-2.1070,-9.7240,-13.5210,-30.6210,0.2180,3.1170,-0.8320,0.8950,-9.0880,3.3880
100,-38.9890,108.9820,-9.7830,-0.2800,-1.3170,-1.0260,8.0610,5.6310,-0.1200,4.6870,115.8610,-10.4610,1.6880,-1.2170,-2.9690,1.0890,8.1670,5.0730,8.2820,-67.1990,-57.3640,1.4300,2.4570,1.0460,-3.4640,-9.0880,0.8810,-23.1550,-84.4480,24.9300,-0.3380,2.2520,1.9560,-0.6200,-9.3060,-2.1380,-9.6140,-13.4210,-30.6210,0.3710,2.8730,0.6030,0.7880,-9.1170,3.5150
120,-38.8780,109.1380,-9.7830,0.2700,0.2400,-1.0720,8.0880,6.0240,-0.6300,4.7270,115.9590,-10.4610,0.0690,-0.5150,-2.3130,1.0970,8.2000,5.0690,8.3020,-67.1500,-57.3640,0.7130,1.5250,1.4430,-3.4190,-9.0170,0.8520,-23.1870,-84.4240,24.9300,-1.0860,0.7710,1.9560,-0.3450,-9.3760,-2.0730,-9.5580,-13.3720,-30.6210,0.3250,2.5370,1.7790,0.9270,-9.0810,3.3230
140,-38.7700,109.1680,-9.7830,-0.8290,0.0110,-0.8880,7.7840,5.8370,-0.4000,4.8530,115.9970,-10.4610,-1.4730,-0.5000,-2.4040,0.7900,8.1090,5.1210,8.3020,-67.1500,-57.3640,0.7130,1.5250,1.4430,-3.4190,-9.0170,0.8520,-23.1420,-84.4360,24.9300,-1.4980,2.1760,2.1090,-0.5100,-9.3230,-2.1690,-9.4080,-13.2900,-30.6210,-0.7890,4.5670,1.2900,0.7280,-9.1460,3.5550
160,-38.7510,109.1060,-9.7830,-0.1880,-0.9050,1.2790,8.1260,5.8060,-0.1800,4.8800,116.0010,-10.4610,0.0390,-2.1030,-2.3430,1.0300,8.0780,5.3610,8.4240,-67.0390,-57.3640,-0.1120,3.0520,0.9850,-3.6420,-9.0380,0.8710,-23.1030,-84.4770,24.9300,-2.0330,2.4960,1.5740,-0.4740,-9.3590,-2.2530,-9.2230,-13.2420,-30.6210,-1.7970,4.8420,1.0310,0.5890,-9.1150,3.4960
180,-38.7160,109.1140,-9.7830,1.2930,-0.0190,1.4930,8.3800,5.9860,-0.2730,4.9350,116.0630,-10.4610,0.9400,-1.5070,-1.7940,0.9650,8.1400,5.2340,8.5030,-67.0450,-57.3640,-0.8750,2.4410,1.1680,-3.6180,-9.0810,0.7900,-23.0410,-84.5280,24.9300,-2.4300,1.5800,1.3300,-0.6220,-9.3830,-2.2820,-9.0590,-13.2500,-30.6210,-2.3310,3.1480,1.2600,0.5270,-9.2820,3.3930
