timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,9.5910,-24.2650,70.6340,-0.2150,-0.4170,-1.6200,8.0090,6.0740,1.4960,21.2410,66.6600,-3.9640,0.8040,1.3080,0.0860,0.6850,7.9970,5.7100,-21.5460,67.1820,-48.7220,3.5630,9.3190,-0.2800,-1.2070,6.6010,7.0320,9.1740,80.5360,136.9180,-214.1480,-1.2700,-110.1790,-4.8990,3.0930,4.4890,38.7430,93.6540,12.4210,-48.5770,-8.7440,-4.8670,-6.5790,4.9370,5.9180
20,9.5940,-24.1140,70.6340,-1.1000,-1.5160,-1.0100,7.7740,6.0020,1.5370,21.0740,66.7000,-3.9640,2.5600,-4.4480,2.4530,1.1990,7.9180,6.1170,-20.6560,66.7500,-48.7220,-4.1920,11.7770,3.2930,-2.6700,5.8800,9.2490,10.4030,75.0570,134.2690,-276.8040,61.4630,-132.4530,-5.5950,3.0550,1.3000,38.6270,92.9070,12.2930,-61.3100,-11.4000,-6.4090,-6.8810,4.8600,4.6570
40,9.5100,-24.0910,70.6340,-2.1390,-3.5310,-1.1780,8.2650,6.0880,1.8050,20.9910,66.7280,-3.9640,3.7350,-2.6160,2.2390,0.8120,7.9750,5.9350,-20.6560,66.7500,-48.7220,-4.1920,11.7770,3.2930,-2.6700,5.8800,9.2490,9.9390,75.6110,130.1870,-360.8810,101.5240,-204.1020,-0.9910,2.6260,-9.7710,37.4410,88.1840,11.7420,-184.2870,-52.3930,-17.8290,-8.9210,7.8410,-1.5130
60,9.3550,-24.5450,70.6340,-3.8940,-3.4090,-2.5210,8.6690,5.6670,2.7250,21.2230,66.7770,-3.9640,1.7050,3.1700,3.3540,0.0790,7.6810,5.4540,-19.2150,68.1870,-48.5880,7.7310,43.4410,6.7430,-2.6770,8.3770,5.4400,13.3600,65.7860,122.7030,-501.1100,173.3110,-374.1940,-4.9340,-1.6470,-11.2430,37.4410,88.1840,11.7420,-184.2870,-52.3930,-17.8290,-8.9210,7.8410,-1.5130
80,9.5820,-24.6210,70.5310,0.2430,-0.7680,-5.1470,6.9410,6.0210,2.1670,21.9680,66.9140,-3.8050,-1.9750,11.4760,7.9490,-1.0990,7.5660,4.7410,-17.1680,69.0370,-48.0380,8.7540,83.5020,27.4910,-3.2820,7.3960,5.2290,10.2400,55.9610,112.6840,-501.1100,-153.7730,-500.9730,-5.6460,-23.0590,0.4840,36.3400,84.3700,11.3130,-340.1800,-95.4920,-21.4170,-7.1900,4.7880,0.5170
100,9.9350,-24.3290,70.5310,3.0520,0.4380,-2.6280,6.3470,6.1670,1.4630,22.1720,67.0170,-3.5890,-1.6690,5.0940,10.8190,0.1800,7.8940,5.0900,-17.1680,69.0370,-48.0380,8.7540,83.5020,27.4910,-3.2820,7.3960,5.2290,5.1930,46.1360,103.8370,-501.1100,-250.1090,-442.3310,-7.9580,-26.3150,17.5930,33.7890,72.3330,11.3130,-444.3780,-97.8580,1.3460,-5.1210,-7.0290,7.1660
120,10.0720,-24.1240,70.5310,1.8000,-4.2790,2.2580,6.6750,5.9450,1.5300,21.9270,67.0650,-3.3980,-0.8300,-10.1120,9.5520,0.7210,8.0490,5.4800,-15.9820,67.7240,-47.8350,-20.1770,16.9680,1.6130,-2.5930,5.9300,8.2360,5.3290,37.7440,99.5000,-429.4300,9.0660,-216.8500,-5.8200,-10.9180,5.9950,32.4550,63.9400,11.5770,-420.9890,-67.0190,13.1630,-5.1830,-5.9380,12.4430
140,9.7210,-23.9540,70.7260,1.5260,-12.9200,9.7540,8.5280,5.9780,1.5900,21.1750,66.5150,-3.2110,-2.5400,-22.0210,9.3230,1.8720,7.2020,7.4320,-15.9510,67.3630,-47.8350,-14.8640,18.8610,4.7890,-1.1200,5.8730,7.3810,11.1360,31.2140,96.9410,-336.3770,292.5930,-127.9500,-3.2510,-5.9660,-3.5790,30.5020,57.5070,10.9190,-322.9430,-98.0110,-32.8670,-7.3930,-1.1230,1.4720
160,9.3210,-23.9110,70.7260,0.9910,-21.1340,4.0290,9.5860,5.3890,3.1910,20.5490,66.3030,-3.0100,-0.2800,-9.3950,10.0860,2.4160,7.8390,6.6180,-15.4710,67.1210,-47.6000,-13.0470,45.2270,11.7510,-1.0060,6.3160,7.5510,11.9490,25.5900,93.1500,-291.0490,42.8830,-189.5530,-3.0600,-5.8470,-2.8750,27.9300,48.8680,10.1480,-377.6760,-122.7590,-38.5770,-5.2050,-3.8880,7.9150
180,8.8860,-24.1310,70.6100,6.7770,-20.1570,-5.7880,8.2840,5.5590,2.5330,20.5450,66.4660,-2.8470,2.4220,6.5900,8.1320,1.2450,8.2670,5.4990,-14.8770,66.3150,-47.4610,-21.0470,45.6850,6.9260,-1.6350,5.5740,9.2250,11.7080,20.0270,89.6270,-287.9800,-9.7730,-176.1330,-7.6260,-16.2830,3.2060,25.0650,41.9520,9.6300,-346.1490,-143.4770,-25.9060,-2.7490,-5.5860,9.6290
200,8.6240,-23.5140,70.4790,11.5100,-13.5310,-6.5360,8.2260,6.0960,1.0560,20.5450,66.4660,-2.8470,2.4220,6.5900,8.1320,1.2450,8.2670,5.4990,-14.8770,66.3150,-47.4610,-21.0470,45.6850,6.9260,-1.6350,5.5740,9.2250,13.3730,15.4510,87.4160,-238.6520,85.4940,-110.5760,-6.3610,-11.6860,-1.6900,22.4050,35.8260,9.6300,-283.8130,-109.1560,-3.5090,-3.5980,-4.7960,9.1460
220,8.4950,-23.0170,70.4790,10.7010,-7.7300,-4.3070,8.1000,6.0090,1.2090,20.8950,66.9630,-2.8470,4.3920,10.0860,1.2160,0.7300,8.1860,5.1380,-13.5100,66.1460,-47.3350,8.3270,18.9220,0.1320,-3.0980,6.3470,7.3450,13.3640,12.4080,85.6330,-162.0260,1.7690,-89.1400,-4.6540,-14.1310,0.4840,20.9280,31.2310,9.6300,-229.6450,-73.6290,2.5830,-4.0170,-8.7480,11.1830
240,8.4900,-22.5000,70.4790,8.2740,-4.7070,-4.4290,7.7860,6.0690,1.0320,20.9200,67.0530,-2.8470,1.4760,3.5370,-1.3180,0.8360,8.0130,5.4590,-13.3750,66.6450,-47.3350,6.8310,23.6390,1.9650,-1.6640,6.9720,6.6320,11.3470,4.8340,84.6870,-100.4230,47.8140,-47.3080,-2.4420,-7.6020,-3.1560,19.9690,28.5630,9.6300,-133.3400,-47.7670,1.5140,-3.8040,-5.9860,9.3370
260,8.3830,-22.2380,70.4790,6.0140,-5.7910,-2.8570,8.1830,5.9260,1.4170,20.8960,67.1030,-2.8470,-0.4630,2.0860,0.3150,0.8980,7.9920,5.4420,-13.1600,66.8080,-47.3350,-5.8110,25.9290,-3.9130,-1.8200,6.7010,6.7440,9.5450,-1.5750,83.7510,-82.3620,25.5700,-46.8050,-3.5030,-8.0350,-2.9810,19.0940,27.0220,9.5200,-76.9580,-43.5380,-5.4630,-4.4820,-3.1360,6.1910
280,8.2930,-21.9940,70.4790,7.1900,-4.3250,-2.2000,8.3170,5.9400,1.4840,20.8970,66.9900,-2.8470,0.2240,1.8110,1.2620,0.7880,7.5540,5.8750,-12.7890,66.4930,-47.5550,-16.4060,19.3950,-10.9820,-4.3600,5.3820,9.0570,9.6590,-3.2270,82.8590,-83.2620,12.3490,-44.5910,-4.8150,-10.4870,-1.5560,18.1830,25.0250,9.5200,-94.4850,-37.1260,1.1780,-3.6730,-5.2700,8.2740
