timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-31.5890,-49.8550,-120.5340,-126.9600,12.3040,118.3730,3.4360,-13.4290,0.7730,3.2960,-30.9660,-155.3060,-148.1540,-45.2870,63.0950,-2.4040,1.9230,-11.4390,-4.2440,42.8360,-178.2830,-154.0340,28.0260,1.4360,3.5310,3.7830,-8.4400,-56.1830,30.3460,-180.0000,-122.0970,-43.1340,-80.3610,5.6050,5.4040,-6.8620,-3.7380,-167.1560,-166.1090,-179.8690,8.5510,63.2790,-1.5470,-4.5510,-11.2070
20,-31.2680,-51.0670,-118.3840,-69.6770,13.4790,107.4880,3.7920,-11.3920,-0.0570,3.3440,-2.2140,-154.6090,-100.7800,-63.0120,34.8200,-1.8170,3.1990,-10.4220,-8.9090,56.3700,-178.5850,-112.7210,0.5760,-15.1290,4.4100,5.6290,-8.0880,-57.1240,28.2470,-180.0000,-75.6840,-48.2790,-71.7040,5.8970,7.7740,-5.8300,-5.7480,-168.4870,-164.3530,-98.7850,-42.9000,35.7370,-0.7900,-0.8450,-11.5860
40,-26.6640,-55.7750,-116.6100,-43.4480,8.1210,88.6940,2.5860,-9.2010,-1.5180,2.7170,20.2250,-154.2700,-76.5360,-59.2410,16.9420,-0.7060,3.5080,-8.5900,-13.5460,67.6940,-178.9820,-85.5610,3.0340,-19.8310,4.8240,4.4460,-6.3490,-59.0470,44.0380,-180.0000,-54.1270,-37.0580,-66.9860,5.6120,6.0550,-4.6520,-7.6320,-166.8350,-163.9820,-80.6930,-40.3810,18.5610,-0.0530,-2.1450,-10.3480
60,-23.3310,-58.7580,-115.2190,-31.8910,1.0520,69.5790,2.8200,-9.3800,-0.8480,2.7570,40.2200,-154.2700,-51.5430,-38.7520,2.5610,-1.0890,1.6180,-9.0450,-16.4420,78.6440,-179.4080,-48.3400,7.0030,-21.3120,3.3520,3.3830,-6.9740,-59.8540,58.2000,-180.0000,-26.0050,-14.6760,-46.0250,5.1360,5.7130,-5.6910,-8.0730,-168.1830,-163.9820,-38.8310,-26.1360,0.6070,-0.5510,-2.5310,-11.0300
80,-23.2970,-58.7780,-114.5330,-5.6010,-6.1080,34.2660,4.2400,-10.7620,0.5120,3.0100,57.9580,-154.5270,-2.9940,-21.2100,-12.8130,-1.1280,1.3740,-10.0940,-19.1000,89.3220,-179.7380,4.2410,-2.7680,-16.5180,4.0220,3.2680,-8.5660,-60.8280,71.7660,-180.0000,14.4070,2.3160,-9.5060,6.6970,4.8910,-6.9620,-8.2920,-168.3400,-164.2480,20.6810,-15.0070,-13.3010,-0.9100,-6.0090,-11.9160
100,-23.3620,-58.0440,-114.8080,32.0480,-11.0700,-13.7340,3.8880,-12.2440,1.0680,3.1730,59.5630,-155.2440,52.7160,6.5300,-35.8670,-1.9230,0.3420,-11.7150,-20.8950,100.3210,-180.0000,74.6370,-13.8670,-18.4260,3.0620,2.8060,-10.2520,-60.3470,73.3940,-179.4320,79.0180,24.7130,28.4180,6.5150,4.6350,-8.3290,-8.3940,-167.0370,-165.1670,93.6880,-9.1590,-45.9580,-2.0210,-5.3440,-11.9830
120,-23.7080,-56.2670,-116.2980,84.2160,-25.1160,-74.5120,5.9350,-14.2860,2.7490,3.8080,62.4240,-156.6100,115.5560,30.1030,-68.2790,-3.5530,0.1080,-13.3570,-21.8220,103.7650,-180.0000,148.5920,-40.3100,-23.2350,2.5710,4.3650,-11.3080,-59.8430,76.4720,-178.1210,151.5370,25.9190,65.5330,5.7340,6.7780,-8.9730,-8.7370,-164.2220,-166.5280,169.2910,-21.2050,-68.0650,-2.0590,-2.3510,-12.9450
140,-23.7760,-53.2690,-118.6950,145.2390,-11.2230,-119.8100,6.2680,-13.9890,2.0230,4.4670,66.5170,-158.2280,177.0980,31.3390,-80.9200,-2.6120,0.0410,-12.9930,-23.5620,108.2530,-180.0000,200.7900,-80.9660,-14.7160,2.8590,3.8620,-10.7570,-59.7010,80.5130,-176.0620,199.6440,7.7820,102.9520,6.3470,6.1320,-8.3200,-9.3150,-160.2120,-167.6910,229.0620,-32.9910,-58.1410,-1.1540,-4.3360,-13.5490
160,-23.1850,-49.1850,-121.6790,199.5900,21.7540,-149.2450,6.2800,-13.8650,1.5390,5.0170,72.0190,-159.8500,247.5560,25.8740,-81.1190,-1.8030,-1.7070,-13.8770,-26.0870,113.9040,-180.0000,258.9280,-120.2180,1.0240,2.3420,-0.2040,-12.6580,-59.6770,85.5170,-173.0780,247.7810,1.8740,149.2120,9.8140,1.7650,-10.8770,-9.9460,-154.7260,-168.9250,302.8330,-35.6020,-61.7140,-1.6180,-11.3890,-14.8920
180,-22.4040,-43.7600,-125.7890,266.6130,31.2350,-205.4590,9.0910,-16.5300,4.9940,5.8290,79.6760,-162.0790,355.3580,38.9880,-111.4390,-3.1770,-6.4040,-16.6110,-29.3560,121.8280,-180.0000,372.5760,-157.3940,4.4900,0.3850,-1.8910,-16.6640,-59.3910,92.4750,-168.6640,345.5370,14.9880,220.6930,9.4520,0.4190,-14.2600,-9.9460,-154.7260,-168.9250,302.8330,-35.6020,-61.7140,-1.6180,-11.3890,-14.8920
200,-21.3240,-36.2680,-131.5700,369.9720,46.1970,-289.0770,10.5820,-19.1970,4.7860,6.9400,90.0120,-164.9130,489.2510,53.9500,-141.6830,-5.5740,-0.1390,-21.9740,-33.5580,131.9730,-179.6460,483.6450,-204.1110,17.6960,2.9280,6.2110,-16.9700,-59.6860,101.3470,-162.8680,441.1860,-14.0650,289.8070,8.7870,9.7280,-11.3630,-11.5110,-137.4190,-172.7470,502.0550,-54.3650,-99.7140,-3.2300,0.9790,-18.6130
220,-19.1120,-27.5940,-138.3070,429.0710,102.7770,-336.8180,3.4360,-15.3490,-4.0490,7.7190,100.6450,-167.3580,504.1060,37.3240,-122.2640,-4.7570,9.4930,-19.4360,-38.2340,142.0050,-179.0370,477.9810,-227.7300,30.4590,5.4640,12.4690,-14.8680,-60.7830,110.1610,-157.2250,438.3460,-54.1720,282.1280,7.9890,14.3030,-11.2740,-11.5110,-137.4190,-172.7470,502.0550,-54.3650,-99.7140,-3.2300,0.9790,-18.6130
240,-16.7300,-20.2630,-144.3800,361.8950,111.2810,-303.6730,2.0880,-12.0310,-1.6110,7.9970,110.0080,-169.2320,440.6550,12.2550,-93.7140,-2.7340,1.7120,-11.2430,-41.1920,155.7010,-178.4730,393.5380,-218.7220,28.1840,1.6140,0.8240,-9.8350,-62.7110,129.0760,-152.6280,372.5750,-67.0270,229.8380,6.2110,1.5130,-8.5950,-14.1530,-120.7860,-175.3020,410.1920,-71.7390,-48.8590,-1.3500,-6.1050,-9.9000
260,-14.1950,-13.8770,-149.2700,314.6590,118.9300,-244.4970,6.5510,-8.7870,4.1180,7.7780,89.6600,-170.8510,409.3580,-11.3170,-80.9510,-1.0220,-4.9390,-9.9000,-43.2560,134.0540,-177.9130,369.9810,-216.6460,27.9860,0.4960,-2.8950,-10.1610,-64.4510,107.3140,-148.0600,349.8730,-62.7070,228.4490,6.7090,-0.9960,-8.9450,-15.2480,-113.1070,-176.0180,412.4520,-58.8230,-35.8360,-0.4480,-6.8950,-9.9550
