timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-7.4310,21.4400,18.8790,-0.2910,0.9670,-1.1000,3.3060,9.0570,-2.4880,2.4540,-4.5280,10.6110,0.5840,1.9760,-0.9480,1.3260,9.3800,3.1650,-1.4360,-4.1750,23.4820,1.9830,0.7480,1.7310,0.0340,9.4930,2.3390,-3.7310,0.0430,31.6440,-2.5470,-3.4410,1.3400,3.8690,8.6860,2.7770,-6.8680,-7.3200,28.3040,-1.2470,-3.9960,1.2320,1.3360,8.7700,4.3620
40,-7.2830,21.5280,18.8790,-0.3370,1.6540,-0.6570,3.0170,8.9520,-2.7510,2.5360,-4.4810,10.6110,-1.2940,0.9070,-0.3070,1.2520,9.4380,2.7510,-1.4310,-4.1100,23.4820,-1.5890,-1.1300,0.7230,-0.1530,9.5700,1.9370,-3.4790,0.2180,31.6440,2.0180,3.0320,-0.5370,3.3230,9.1270,2.5710,-6.7600,-7.3520,28.3040,0.4620,2.3700,1.0800,0.7850,8.9570,4.5870
80,-7.4190,21.5100,18.8790,0.3960,-1.1550,-0.3210,3.4380,9.0690,-2.5000,2.4780,-4.5170,10.6110,0.6150,0.0520,-0.0320,1.5010,9.4310,3.1050,-1.5840,-4.2580,23.4820,-0.1390,-2.0920,3.0280,0.1170,9.4240,2.5070,-3.6480,0.0090,31.6440,-3.0820,-1.9600,1.0660,3.7490,8.7290,2.8560,-7.0230,-7.4310,28.3040,-1.4610,-2.4540,-0.0960,1.1760,8.6810,4.3890
120,-7.3150,21.4690,18.8790,-1.5730,0.5700,-1.4050,2.9620,8.8150,-2.5380,2.5750,-4.3310,10.6110,1.1000,0.6320,-0.4290,1.1880,9.4520,2.6360,-1.6220,-4.0150,23.4820,2.3800,-0.9310,1.2270,-0.0220,9.6060,1.8870,-3.8260,0.2190,31.6440,1.8040,-0.7240,0.1500,3.9240,8.8940,2.4180,-6.8480,-7.3490,28.3040,1.6380,3.3320,-0.5230,0.7300,8.9640,4.4270
160,-7.2930,21.4850,18.8790,0.0300,0.7530,0.0140,3.2200,9.0120,-2.5830,2.5050,-4.5840,10.6110,-1.1900,0.5100,-0.9930,1.5540,9.2730,3.3880,-1.6630,-4.3110,23.4820,-3.4670,0.0910,-0.7580,0.0720,9.2940,2.5140,-3.7480,0.2570,31.6440,-2.0130,-0.3880,-0.5070,3.3810,8.9470,2.4710,-7.0520,-7.3590,28.3040,-1.5220,-2.9730,0.1640,1.0180,8.8180,4.2780
200,-7.2060,21.5640,18.8790,0.7320,0.6580,-0.8860,3.1000,9.1310,-2.7050,2.4350,-4.4310,10.6110,1.4060,0.2200,-0.0010,1.5490,9.5740,2.7800,-1.5490,-3.9240,23.4820,3.5560,1.3430,-0.4680,-0.1650,9.6700,1.6830,-3.7350,0.2220,31.6440,0.5820,0.6050,-0.1860,3.6130,8.8320,2.8080,-6.8360,-7.1710,28.3040,1.8520,3.5610,-1.3480,0.6630,9.1080,4.2380
240,-7.2120,21.5880,18.8790,-1.3900,0.5050,1.0220,3.2390,8.9520,-2.7130,2.3050,-4.6900,10.6110,-4.2280,0.1130,-1.7420,1.6590,9.2820,3.1480,-1.4730,-4.2420,23.4820,-6.2610,1.1450,-2.3460,-0.1130,9.4000,2.3490,-3.7050,0.2490,31.6440,-1.4970,0.9070,0.3340,3.6220,8.9760,2.5450,-6.7920,-7.2010,28.3040,-1.3090,2.0190,-1.4390,0.8830,8.8870,4.3570
280,-7.1270,21.5770,18.8790,-0.9020,1.1470,-0.7490,3.0890,9.0120,-2.6170,2.5730,-4.8460,10.6110,-5.5410,3.9760,-4.8410,1.1180,9.5960,2.9310,-1.4400,-4.2140,23.4820,-3.6660,1.8620,-1.0020,0.0260,9.7490,1.9060,-3.4980,-0.0400,31.6440,-2.5960,2.3570,0.6240,3.2990,8.7510,3.0860,-7.0000,-7.3830,28.3040,-2.5910,-0.6520,0.4840,1.2160,8.7360,4.5540
320,-7.4320,21.5250,18.8790,-0.3980,-3.0060,-2.7950,3.8000,9.4360,-2.5980,2.2260,-5.8730,10.2660,-32.3350,-2.1920,-8.6270,2.0590,10.0340,2.8060,-0.9990,-5.1380,23.1360,-33.5890,2.3210,-8.6660,-0.8980,10.1660,1.6330,-3.2210,-0.0760,31.6440,-6.0310,4.5410,3.0510,3.3660,9.1650,2.4040,-6.8000,-7.5910,28.3040,-4.8200,5.5460,1.0190,0.8310,8.7010,4.4200
360,-7.5600,21.2320,18.5760,-5.2530,-4.8990,-7.5890,3.1990,9.4000,-2.4420,2.5720,-8.4550,9.5900,-63.8310,5.4570,-16.8870,1.0650,9.2800,3.7210,-1.0040,-8.4080,22.7920,-85.5440,-4.0920,-8.5900,-0.4430,9.5100,2.6840,-2.6540,-1.6200,32.1900,-44.1230,20.0980,13.6470,3.9430,8.9160,2.5760,-6.3370,-8.4390,28.5670,-20.3920,16.3700,6.5760,1.1350,8.8820,4.7190
400,-7.8380,20.8630,18.1550,-8.2150,-7.9070,-10.5200,3.0960,8.7460,-2.3010,2.9770,-11.7880,8.7070,-66.7160,15.5630,-22.0770,1.6330,7.8910,5.0850,-1.2320,-12.0100,22.7920,-93.3300,-7.8170,-4.7270,-0.2390,9.1050,3.2540,-1.4740,-4.2730,33.0270,-63.4200,31.7160,20.9290,3.3570,8.5090,3.5940,-4.7730,-9.7550,29.0400,-33.3850,30.8440,11.8130,-0.2560,8.8270,4.8240
440,-7.6030,21.0750,18.1550,0.5330,-4.3500,-1.7260,2.3870,8.9810,-2.8780,3.1670,-13.8970,8.0820,-68.6100,2.3570,-15.6190,1.0200,9.4210,3.2510,-2.0440,-15.7600,22.5350,-103.9250,-12.5800,-6.4370,0.7060,9.1410,3.3520,-1.0970,-6.4100,34.0940,-69.1760,18.7390,26.6700,3.9190,8.8820,2.5500,-4.4380,-10.8990,29.6170,-41.7510,14.2180,14.4390,0.8980,9.1750,4.0320
