timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,1.0200,-13.3010,-69.4920,0.7470,-2.7990,2.2930,5.4440,7.0290,-4.3910,3.0860,-8.9690,-5.4880,0.4850,-1.1730,-0.4320,0.1750,8.6170,5.2530,-1.9360,-19.4410,4.0400,0.2920,-0.3770,-0.7200,2.0850,8.9850,3.4450,-6.8430,-10.8440,28.3110,-0.7170,0.1230,-0.5960,3.2510,8.5830,4.0010,-15.5280,-12.2510,20.1810,-0.1140,0.3880,-1.1620,1.0030,8.6930,4.6260
40,1.0850,-13.3070,-69.4920,1.0070,0.3150,0.6740,4.9130,7.1730,-4.4960,3.1010,-8.9370,-5.4880,0.0430,0.1250,-0.2640,0.0930,8.7510,4.9610,-2.0380,-19.4450,4.0400,-1.0990,-1.7800,0.4890,2.2550,8.8780,3.3230,-6.7710,-10.9060,28.3110,-0.5150,1.1600,0.3840,3.2300,8.6170,4.0650,-15.3280,-12.3430,20.1810,-0.6180,1.6550,-0.4140,1.0340,8.6430,4.8890
80,0.7010,-13.3850,-69.4920,0.7170,-4.5400,2.7510,5.5190,7.1040,-4.2950,2.9720,-8.8740,-5.4880,-0.3550,-1.9980,0.1190,0.2470,8.7360,4.8290,-1.9770,-19.5800,4.0400,-0.3970,0.0830,-0.5790,2.0810,8.8370,3.6770,-6.6740,-10.7980,28.3110,-0.3780,0.4430,-0.1350,3.0930,8.7340,3.7350,-15.3790,-12.2310,20.1810,-0.2210,-0.9410,-0.5820,1.3530,8.7720,4.4890
120,0.7820,-13.5270,-69.4920,-2.9630,1.5060,1.0870,4.8700,6.9360,-4.3260,3.2760,-8.9280,-5.4880,-0.1410,2.9490,-0.8280,-0.2920,8.5860,5.0610,-1.9880,-19.5770,4.0400,0.6890,-0.7270,-0.0880,2.1760,8.9180,3.4980,-6.7170,-10.8750,28.3110,-0.6360,-0.1700,0.6440,3.3380,8.5140,4.0410,-15.6610,-12.4530,20.1810,-3.1520,-3.3530,1.0360,1.6710,8.4470,4.8720
160,0.7430,-13.5090,-69.4920,0.1060,-0.5550,0.6290,5.1570,7.1660,-4.5320,3.3390,-8.9640,-5.4880,0.0270,-0.2420,-0.0190,-0.0480,8.6430,5.0690,-1.9510,-19.6090,4.0400,-0.4870,0.4640,0.5840,2.1620,8.8730,3.4620,-6.7430,-10.8000,28.3110,0.0700,-1.5740,-0.0310,3.2110,8.6910,3.8330,-15.5390,-12.3140,20.1810,1.2140,0.0520,-0.5210,1.0990,8.7960,4.5900
200,0.7360,-13.4800,-69.4920,0.7160,-1.4680,1.6790,4.9900,7.1800,-4.4960,3.2660,-8.9530,-5.4880,-0.3390,-1.2330,0.7900,0.1820,8.7240,4.9610,-2.0090,-19.6380,4.0400,0.0960,-0.5310,0.3060,2.2940,8.8610,3.5080,-6.7150,-10.7890,28.3110,-0.5100,0.1510,0.3510,3.2130,8.5780,3.8760,-15.4810,-12.3030,20.1810,-0.2670,0.3880,-0.0320,1.2590,8.6930,4.7020
240,0.5950,-13.4360,-69.4920,-0.5970,-2.2010,2.9310,5.3200,7.1750,-4.6260,3.0290,-8.9800,-5.4880,0.1950,-2.4390,0.0420,0.4690,8.6690,5.0800,-2.0570,-19.6280,4.0400,-0.3930,-0.8490,-0.3520,2.2650,8.9400,3.4090,-6.6810,-10.7530,28.3110,0.3630,-0.1400,-0.2160,3.1750,8.5740,3.8930,-15.4960,-12.3560,20.1810,-0.1890,-0.5300,-0.7800,1.3240,8.5160,4.7740
280,0.5540,-13.3900,-69.4920,-1.4210,-0.9190,2.4880,5.3800,7.3840,-4.8220,2.7410,-9.0090,-5.4880,-0.0340,-2.0420,-1.3930,0.6680,8.7630,5.1190,-1.9760,-19.5360,4.0400,1.4870,0.1020,-1.0520,2.0610,8.9570,3.3880,-6.6270,-10.8590,28.3110,-0.5550,-0.0930,0.2890,3.1460,8.5160,4.1160,-15.5210,-12.3980,20.1810,-0.6770,-0.9250,-0.9600,1.3260,8.6020,4.7550
320,1.4270,-14.1910,-69.4920,-32.3070,8.6690,3.1140,4.4750,7.9850,-5.9880,2.6770,-9.0260,-5.4880,0.6680,-1.7680,-1.1490,0.2150,8.6650,5.1020,-2.1260,-19.5130,4.0400,0.3720,-1.2260,0.5200,2.4520,8.8560,3.4020,-6.5550,-10.8270,28.3110,0.5620,0.6100,0.4100,3.1870,8.6650,3.9700,-15.5140,-12.4440,20.1810,-0.5090,-1.0160,0.4760,1.2590,8.6310,4.8030
360,1.3440,-17.1990,-68.5630,-69.4820,-1.5290,23.2210,4.8030,8.3730,-7.3910,2.3220,-9.1800,-5.4880,-0.1100,-5.5840,-1.1030,0.5790,8.6070,5.3560,-2.1560,-19.4920,4.0400,1.3490,-0.7680,-0.5030,2.2580,8.9060,3.5080,-6.7630,-10.8020,28.3110,-1.2730,-2.3710,-0.3250,3.5100,8.5190,3.7570,-15.7120,-12.4360,20.1810,-0.8140,-2.7720,-0.7760,1.5610,8.5880,4.6230
