timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,30.0830,-58.8100,-35.8270,-0.2100,-0.2140,2.0000,4.9010,8.2480,-2.2390,10.4640,-0.6140,-67.6960,-0.4780,2.5080,0.8970,-0.2440,9.2780,3.6680,3.2430,-7.7250,-17.9880,-1.6810,0.3840,-0.4010,2.0810,9.3400,2.2170,4.7470,7.3360,-9.3970,-1.2940,2.8010,0.1070,2.9540,9.2870,1.8340,-4.9680,-5.0920,-27.1040,-0.9430,3.3660,0.2840,0.6940,9.1270,4.0010
40,30.0880,-58.7630,-35.8270,-0.3470,3.4650,-0.3820,4.6640,8.2960,-2.4680,10.3790,-0.7610,-67.6960,-1.7610,-0.4850,-1.2550,-0.0600,9.2460,3.7760,3.2000,-7.7250,-17.9880,-0.4440,0.0320,0.2860,2.0660,9.4760,1.8440,4.6510,7.1690,-9.3970,-3.4770,-0.5580,-0.0150,3.0140,9.2220,1.7930,-5.1150,-5.0070,-27.1040,-0.4700,-1.7330,-0.6480,0.7920,9.2270,3.5340
80,29.7130,-58.7900,-35.8270,0.2030,-3.2530,2.2290,4.9630,8.3560,-2.2960,10.3640,-0.9170,-67.6960,-0.7690,0.2480,-0.3240,-0.1700,9.1870,3.8880,3.1750,-7.8460,-17.9880,-1.9840,-0.5020,0.1780,1.9610,9.4330,1.9700,4.6580,6.9730,-9.3970,-2.0420,0.6030,0.9780,2.8540,9.2460,1.9820,-4.9680,-5.0160,-27.1040,-0.6070,1.8240,-0.2810,0.4210,9.3250,3.7760
120,29.5840,-58.8850,-35.8270,-1.6750,1.4040,0.4580,4.7600,8.3030,-2.2820,10.1750,-0.9510,-67.6960,-0.0780,-2.4860,2.5170,-0.0240,9.2730,3.7060,3.0450,-8.0290,-17.9880,-0.9150,-0.8990,1.1400,2.1430,9.3210,2.1810,4.5630,6.8640,-9.3970,-1.8130,0.4810,0.1530,3.0260,9.2540,1.8170,-5.0510,-5.0280,-27.1040,-0.5150,-0.5730,-0.0060,0.6820,9.2030,3.7400
160,29.2960,-58.9200,-35.8270,0.2330,-1.7870,0.8850,4.8750,8.3630,-2.2630,10.1280,-1.0170,-67.6960,-2.3830,0.8880,-0.8410,-0.0570,9.3590,3.6200,3.0950,-8.1060,-17.9880,-1.1130,1.8640,0.5140,1.9660,9.3710,1.9560,4.4120,6.7050,-9.3970,-1.2480,0.3430,1.2220,3.1200,9.2560,1.9700,-5.0510,-5.0280,-27.1040,-0.5150,-0.5730,-0.0060,0.6820,9.2030,3.7400
200,29.1620,-58.8570,-35.8270,0.2330,-0.3520,1.7860,4.7310,8.4990,-2.5020,9.9480,-0.9580,-67.6960,-0.1080,-0.8220,1.6320,0.0860,9.4070,3.5530,2.9830,-8.1670,-17.9880,-1.9230,-1.2040,0.7580,2.0520,9.3970,1.8600,4.3970,6.5760,-9.3970,-2.7140,1.6870,0.6720,2.8900,9.2990,1.7980,-5.2140,-5.1410,-27.1040,-0.7270,1.1860,-0.1440,0.7590,9.2630,3.6370
240,28.9190,-58.8060,-35.8270,2.0810,-0.9010,0.8700,4.8650,8.3940,-2.3130,9.9670,-1.0700,-67.6960,-2.7650,1.4830,1.7230,-0.1720,9.2750,3.6750,2.9190,-8.3190,-17.9880,-3.1590,1.2540,1.7350,2.1520,9.3760,1.9630,4.4670,6.4630,-9.3970,-3.7060,4.0840,0.9320,2.8610,9.3400,1.6930,-5.2700,-5.0330,-27.1040,-1.2760,2.7270,0.4060,0.8330,9.3520,3.4450
280,28.7130,-58.7820,-35.8270,2.2640,0.1370,1.8320,4.8150,8.3080,-2.2290,10.2030,-1.4130,-67.6960,-10.9480,9.9260,0.7770,0.0190,9.5550,3.6320,3.3080,-8.7980,-17.9880,-10.1820,9.1620,1.4600,1.8080,9.5150,2.1620,5.0880,6.3630,-9.3970,-8.6680,18.2210,4.6110,2.7940,9.6130,1.3050,-4.8490,-5.0710,-27.1040,-7.4590,14.8190,4.0700,0.7420,9.5100,3.2900
320,28.7110,-58.7000,-35.5930,5.2710,2.3200,5.8320,4.5490,8.4280,-2.1600,10.5430,-2.8510,-67.6960,-39.6500,14.0640,-0.1540,0.0620,9.5720,3.8020,4.1650,-9.6630,-17.9880,-37.4340,26.4600,4.9260,2.2530,10.3290,0.9310,6.9840,4.6110,-8.5330,-56.9120,54.2520,21.5880,2.8250,9.8640,1.0650,-3.5660,-5.6590,-26.7900,-29.4140,35.6590,7.8560,0.4290,9.9340,2.8110
360,28.1590,-58.4820,-35.0920,9.5160,-0.6110,12.5340,5.5330,8.1950,-2.0810,12.3560,-6.1750,-67.2830,-80.6120,37.8800,10.3190,-1.3480,8.5780,4.5630,6.4310,-14.0620,-17.4990,-104.8390,55.1770,12.2390,1.1350,9.0450,3.2590,10.3400,1.3880,-6.4590,-69.1260,87.3660,51.8480,1.8200,9.0500,3.5240,-1.6120,-8.3670,-25.7610,-51.5050,56.5140,25.7190,0.3810,8.3680,5.5520
400,28.3890,-57.7970,-34.5280,21.1190,17.3280,14.0910,5.5350,8.6000,-2.3080,12.4150,-9.8940,-65.8550,-81.9560,18.6440,35.7080,0.7040,8.3630,6.0330,7.9970,-18.7260,-16.2040,-106.7320,47.6200,32.3770,1.6900,8.6740,4.3480,11.8390,-1.5430,-3.8410,-57.4920,63.2900,65.4660,3.3300,8.4040,4.1010,0.2720,-9.8030,-24.2630,-40.6040,57.3080,37.4590,0.2300,9.4930,4.3600
440,27.9130,-56.5000,-33.9040,33.2870,6.1670,15.6180,5.9760,8.0710,-2.6020,13.5220,-12.3540,-64.5550,-62.6120,38.5980,32.5020,-0.0980,8.3050,5.2460,8.8070,-22.5760,-14.6070,-97.5260,45.6660,39.9190,2.8710,8.5020,3.9530,12.4500,-3.6980,-1.4160,-53.9810,57.8090,60.6270,4.5150,8.5230,3.1390,1.0290,-11.2380,-22.5250,-38.8490,40.7430,43.4440,1.0150,8.9020,4.5350
480,28.0790,-55.1860,-33.0990,25.9280,8.8390,20.1220,4.1780,7.1780,-3.0380,14.4280,-14.5460,-63.0030,-59.4060,41.2090,38.7920,0.3420,8.4610,5.4540,10.3360,-26.7390,-13.0330,-106.7620,57.6510,39.3540,2.0300,8.2840,4.4800,14.1930,-6.4990,1.0860,-56.8660,84.0530,62.5500,3.9120,8.0830,4.5370,2.2680,-12.7950,-20.6540,-49.7040,58.6050,46.7720,1.2330,9.2580,4.2810
520,27.2110,-53.6350,-32.0370,48.3100,7.7090,26.5490,6.7970,7.5610,-2.2340,15.0740,-16.8440,-61.0960,-64.4140,42.3990,47.6620,0.8160,8.3130,5.6220,11.3980,-31.6360,-11.0730,-125.7850,56.3380,49.0020,2.6410,7.8600,5.1020,16.2910,-9.7770,3.5480,-50.2710,88.4500,61.5430,3.1460,7.3430,6.4260,3.5440,-16.2550,-18.7720,-63.0010,60.7580,47.0470,0.9770,6.9740,6.9430
560,28.8960,-51.1640,-31.1290,49.4700,43.1750,22.6870,4.6950,8.7820,-4.9850,15.5780,-18.7010,-59.8340,-46.0780,25.6210,31.5560,-0.4690,7.7520,6.4000,11.3140,-36.7440,-9.2770,-114.1820,25.2690,44.8800,2.4610,6.7420,7.0340,15.4260,-11.6860,5.7230,-50.4240,33.8550,54.3820,4.7170,8.1640,3.9910,3.3110,-17.0360,-17.1690,-35.3070,28.5750,40.0700,1.4270,9.0410,4.4890
