timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,17.7550,0.5400,-36.4590,-0.8220,2.3480,-1.8520,4.6930,7.9220,-3.7520,2.8950,0.4320,-102.8200,-1.1910,0.6000,0.8210,1.8120,8.8820,4.2310,8.5390,1.3950,14.0050,-4.4470,-0.2630,-0.2940,-3.0570,7.9920,4.5680,1.5030,-3.1210,12.1800,-1.4740,3.5810,-1.1310,1.7480,8.2120,5.5400,2.1680,-5.7300,54.5140,-0.8380,0.9390,0.9960,-0.4740,6.1390,7.5440
40,17.3850,0.2910,-36.4590,-1.7070,-1.8960,-2.8440,5.1140,7.6950,-3.2560,2.7900,0.5510,-102.8200,2.3510,-0.3930,1.1720,1.9900,9.0520,4.0530,8.5700,1.4780,14.0050,-2.0660,1.0200,0.8810,-3.1360,8.0950,4.1990,1.8410,-3.2660,12.1800,-0.4050,3.6420,0.8840,1.9990,7.9320,5.9970,2.3560,-5.6830,54.5140,1.4520,3.1680,1.6370,-0.7350,6.2270,7.7570
80,17.2770,0.2720,-36.4590,0.0940,-1.6970,0.6670,4.7360,7.9180,-3.6660,2.7540,0.5010,-102.8200,-2.8850,0.4170,0.2560,1.8960,9.0310,3.9650,8.3260,1.2200,14.0050,-7.2570,-2.0180,-0.3250,-2.8320,8.1330,4.5630,1.9770,-3.2090,12.1800,-1.8400,0.3440,1.7390,2.0970,8.1470,5.4730,2.2960,-5.8490,54.5140,-2.1660,-0.1760,0.9190,-0.4740,6.0000,7.7430
120,16.8540,0.1040,-36.4590,-2.0890,-4.0790,-0.5850,5.2000,7.7310,-3.4240,2.6540,0.1460,-102.8200,-2.1070,-1.6140,-0.6140,1.8940,8.8060,4.7090,8.3320,0.8930,14.0050,-5.2870,-0.8280,-1.4850,-3.2230,7.8270,4.7670,1.9530,-3.4600,12.1800,-2.6490,-1.7930,0.3350,2.2530,7.7760,5.9740,2.2070,-5.8370,54.5140,0.5060,-1.6260,-1.2180,-0.5240,6.1030,7.6210
160,16.7150,-0.1010,-36.4590,-0.5010,0.8980,-2.1270,5.0450,7.8530,-3.2510,2.8330,0.4150,-102.8200,2.2900,2.2330,-0.8280,1.5730,9.1630,3.7760,8.3530,1.1560,14.0050,-0.0200,0.7910,-0.1570,-3.1150,8.1980,4.0770,2.2510,-3.3300,12.1800,0.7090,1.5500,-0.7650,1.8100,8.2190,5.6290,2.4910,-5.7700,54.5140,-0.4110,3.4270,0.4310,-0.9390,6.3230,7.5730
200,16.4030,-0.1990,-36.4590,-0.3030,-4.2930,-0.4170,5.0040,7.7600,-3.3900,2.8090,0.1230,-102.8200,-2.9310,-0.8200,2.2710,1.7330,8.7270,4.4440,8.3120,0.7880,14.0050,-4.1570,-0.7860,0.2100,-3.1480,7.8220,4.9750,2.4790,-3.9180,12.1800,-4.3750,3.0310,1.7240,2.0540,7.4990,6.5740,2.5000,-6.1210,54.5140,-2.1200,0.5570,0.6750,-0.6010,5.7220,8.0880
240,16.2270,-0.4360,-36.4590,-3.0660,-1.3310,-2.4780,4.8940,7.6280,-3.2390,2.6720,0.3520,-102.8200,0.6260,-1.5830,1.4320,1.9320,9.0860,3.7010,8.0070,1.0680,14.0050,-1.3940,-2.6030,0.9280,-2.6530,8.2670,3.9580,2.4000,-3.7880,12.1800,0.5570,-2.4500,0.8380,2.2120,8.0590,5.5830,2.3970,-5.7770,54.5140,2.8110,-1.1830,0.8740,-0.4840,6.4190,7.1970
280,16.1980,-0.3690,-36.4590,2.8420,-1.0100,-0.0500,4.8790,8.0470,-3.5650,2.6840,0.0870,-102.8200,-4.0610,1.8060,0.0580,1.8990,8.8230,4.3380,7.9760,0.6220,14.0050,-7.0430,0.3900,-1.0420,-3.0310,7.8820,4.9490,2.5420,-3.9960,12.1800,-5.0010,1.6730,1.7090,2.0570,7.9030,5.8230,2.5140,-5.8770,54.5140,-2.5020,1.7940,-0.0880,-0.7300,6.1790,7.7000
320,15.9640,-0.5310,-36.4590,-2.7150,-2.8730,-2.4320,5.0300,7.7050,-3.3710,2.6950,0.1640,-102.8200,0.9470,0.2790,-0.8580,1.7720,8.9970,4.0800,7.8950,0.6270,14.0050,-1.7600,-0.5260,-0.6450,-2.9660,8.0680,4.4960,2.5460,-4.2280,12.1800,-2.4510,0.1150,1.4640,2.2120,7.7360,6.0740,2.7730,-5.7810,54.5140,0.7040,3.0300,-1.3100,-0.9890,6.4330,7.7600
360,15.9450,-0.3360,-36.4590,1.5750,-4.5520,-2.0660,4.5870,7.9100,-3.8640,2.8190,0.1430,-102.8200,-1.4350,2.9510,-1.3930,1.7380,9.0310,4.1080,7.8210,0.7180,14.0050,-6.4780,-0.5410,-2.3390,-2.9880,8.3700,4.0340,2.8340,-4.1190,12.1800,-0.6650,2.7410,0.6090,1.7790,8.1450,5.6550,2.8980,-5.7580,54.5140,-2.4870,2.0230,1.6370,-0.7880,6.3900,7.5250
400,15.4710,-0.0200,-36.4590,4.0330,-12.5830,-0.6760,5.2190,8.1760,-4.0820,2.3690,-0.0320,-102.8200,-2.8700,-2.9730,-2.4920,2.5830,9.0310,4.3690,7.5720,-0.6920,13.5860,-36.7980,-2.8770,-10.4620,-2.8250,8.1430,4.8310,3.1240,-4.8120,12.3880,-16.1460,7.0770,5.2050,2.0690,7.7480,5.9950,2.9550,-6.1080,54.5140,-12.1820,1.3200,2.9040,-0.7040,6.2780,7.4510
440,14.2830,-0.1500,-36.4590,-3.1120,-24.1400,-3.6230,5.5040,7.4270,-3.3660,2.4870,-0.4890,-103.1170,-1.8470,0.6300,-7.4390,1.6140,8.7320,5.0690,7.3590,-2.4760,12.7020,-66.4010,-0.2360,-22.1100,-2.5230,8.3320,3.4880,3.8560,-5.9100,13.0570,-45.6570,17.1230,16.7160,1.8220,8.4520,4.7880,2.9690,-7.0260,54.9790,-37.9830,-3.2450,11.6220,-1.0560,7.2710,7.3430
480,14.2160,0.7760,-36.4590,20.3840,-11.8960,2.0410,4.2710,7.6640,-3.8500,2.7510,-0.0560,-103.4400,-5.1600,8.0040,-8.0800,1.8530,9.4260,2.9350,7.2750,-6.5780,10.9880,-111.5160,-3.4880,-42.8430,-2.9760,7.3500,4.8220,4.9560,-7.9140,14.3680,-89.1230,23.6120,32.7930,1.4080,9.0930,3.6420,2.5640,-9.9580,55.3010,-79.0520,-13.3060,8.0640,-0.8070,5.3610,7.0820
520,13.8260,1.9300,-35.7860,20.9800,-21.5450,16.8350,4.6260,8.0830,-4.7050,2.3670,-1.8390,-104.1300,-44.5950,1.8670,-17.2400,2.9260,9.1960,4.6850,7.3440,-13.4800,9.0540,-153.4700,1.0770,-48.3550,-3.0790,5.4850,7.4720,5.5650,-14.8730,16.3000,-158.5430,29.0310,48.2890,2.7170,5.3440,7.7880,0.9360,-14.4260,55.5640,-96.4260,-23.5350,6.5680,1.0750,3.7520,9.0670
560,12.6080,1.9000,-35.7860,-5.2040,-26.1860,3.2170,5.8470,7.2160,-3.8980,3.0750,-2.7410,-105.3410,-20.5650,5.8670,-30.2780,0.6490,8.7050,4.7980,8.0660,-17.0180,6.9990,-109.8370,6.1300,-51.3620,-3.6010,6.2730,4.8100,6.0620,-19.6170,17.4880,-131.8400,32.1920,29.7090,2.8780,6.0740,6.3520,0.4660,-16.7770,55.3610,-74.7010,-19.1380,-5.0810,-0.8740,5.3990,7.6060
