timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-6.9530,-3.6030,65.2940,-0.8670,-2.3510,0.4680,6.2510,6.9430,-3.3180,0.6740,-6.8470,22.2120,-4.9590,-2.1800,-0.6230,1.0940,8.8420,4.8720,11.3780,-8.9480,51.4300,-12.1920,1.3040,-0.6550,-0.3660,9.0450,3.9290,-3.9120,-11.7060,6.8690,-4.0280,4.5110,1.3930,2.8970,8.4130,4.5030,7.2050,-11.0600,-128.6370,-2.7450,1.5540,-0.8250,-2.7100,8.2340,4.6620
40,-7.3040,-3.5820,65.2940,-3.9510,-6.5500,1.9180,6.1120,6.6270,-3.1200,0.4870,-7.0770,22.2120,-9.7980,-4.4860,-3.2180,1.0510,9.1290,4.5270,11.5500,-9.6660,51.4300,-20.8940,4.7240,-3.6010,-0.2830,9.1870,3.6010,-3.4550,-11.9380,6.8690,-5.2640,16.2510,-3.2940,2.8660,8.6120,4.4750,7.5220,-11.2870,-128.6370,-5.2490,9.2340,0.0450,-2.9780,8.0330,4.9340
80,-7.3040,-3.3810,65.2940,-2.5920,-1.1910,1.8270,5.9880,6.8140,-3.4380,0.8500,-7.0730,22.2120,-8.4700,3.5290,-2.5010,0.4860,9.1430,4.1230,11.6010,-10.1720,51.4300,-15.0470,0.9830,-1.9530,-0.3470,9.0290,3.6870,-3.2450,-11.7440,6.8690,-3.1730,6.3430,0.8740,2.5040,9.0090,3.8520,8.3580,-11.8060,-128.6370,-8.8520,17.0510,-2.9930,-3.5650,7.7740,5.2170
120,-7.3130,-3.2150,65.4940,-5.1110,-5.0230,5.0020,5.6890,6.8500,-3.5720,0.6860,-7.7460,22.2120,-13.9200,-3.9820,-4.0880,1.0080,8.5810,5.0760,11.5600,-10.6630,51.4300,-18.2530,0.2500,-1.9530,-0.2180,9.3730,3.6030,-3.0660,-11.9710,6.8690,-6.0740,7.2440,1.3170,2.6050,8.6960,4.4630,8.2020,-11.9850,-128.6370,-5.1270,2.6230,-2.3970,-2.5930,7.8770,4.8630
160,-7.8320,-3.0760,65.9040,-4.5920,-10.9310,10.2540,6.5190,6.8810,-3.4910,0.7240,-8.2190,21.9070,-14.4850,-1.7680,-7.6460,0.7610,8.7840,4.7410,11.9970,-12.7660,51.1710,-54.5130,9.2430,-6.4720,-0.5170,8.5900,4.0340,-2.0160,-12.8050,7.0740,-27.8290,24.4340,5.1190,2.0280,8.9660,4.1490,8.6960,-12.2860,-128.8880,-11.5540,14.0730,-6.2750,-3.1630,8.1400,4.7740
200,-7.9630,-2.9160,66.4980,-7.6460,-9.4810,14.8500,5.7290,6.8550,-3.7370,0.5450,-9.0290,21.5570,-30.3330,-6.0130,-8.7300,0.9220,9.1670,4.4030,12.2390,-14.5150,50.8220,-52.2990,6.8000,-8.7160,-0.3730,9.0570,3.9840,-2.1490,-13.5510,7.3840,-24.7450,8.0830,7.7600,3.1240,8.5930,4.2110,9.1580,-12.6990,-129.1280,-11.6150,11.9060,-6.0000,-3.3640,7.9630,5.0110
240,-8.7030,-2.9720,67.4070,-10.9130,-17.5730,22.7120,6.4640,6.7250,-3.4690,0.8580,-10.8660,21.0250,-35.4470,-2.5620,-13.3100,0.1130,8.0110,6.1510,13.0170,-18.4880,50.2810,-92.2840,13.2730,-13.5400,-1.0750,7.9700,5.6550,-1.7210,-16.0840,7.8290,-48.0740,24.4190,11.1190,3.1600,7.3140,5.9210,9.5810,-13.3060,-129.4190,-15.0500,9.4780,-7.2830,-3.5310,7.7520,5.1310
280,-9.6640,-2.9410,68.4630,-13.9510,-24.8860,26.4070,6.3020,6.4040,-3.6440,0.1930,-12.0380,20.5310,-44.4240,-14.9590,-12.3630,1.2950,9.1150,4.4920,13.3510,-22.8220,49.8410,-129.6880,4.5860,-10.9910,-0.8830,8.4800,4.1230,-0.6000,-17.3210,8.3080,-38.3640,32.0830,11.9740,2.2410,8.7720,4.8790,9.9680,-13.5790,-129.4190,-11.5080,11.8900,-4.5500,-3.3930,8.1450,4.9850
320,-9.6640,-2.9410,68.4630,-13.9510,-24.8860,26.4070,6.3020,6.4040,-3.6440,0.3820,-15.2550,19.8850,-70.7600,-8.5930,-16.1490,-0.0260,7.3140,6.4930,13.2950,-30.6500,50.0920,-186.4520,-13.1240,6.2760,-1.4460,5.9740,6.8160,0.2800,-20.7460,9.0470,-76.2720,41.6410,18.4770,3.2270,7.0610,6.0720,10.1390,-14.2420,-129.4190,-17.8590,8.4700,-1.9550,-3.1440,7.6690,5.1400
360,-12.2870,-2.9080,71.6290,-6.2110,-37.8470,35.5830,7.7570,6.3570,-2.9110,0.3290,-16.1170,19.3640,-34.2720,-10.8830,-13.0200,0.3400,8.6220,5.2940,12.1780,-38.6200,50.8530,-208.1620,-22.6810,19.0090,0.0600,6.2780,6.9380,2.0430,-23.2470,9.5340,-63.9060,45.8080,12.1870,1.5060,8.0210,6.2390,10.7770,-14.7660,-129.6280,-11.6000,13.5850,-5.2220,-3.8590,7.5110,5.4010
400,-12.8740,-1.9970,73.1860,0.2020,-24.7020,38.9110,6.2010,6.3230,-4.2070,0.3090,-17.9300,19.0180,-61.5080,-9.2340,-8.6380,0.4260,8.4060,5.2290,11.8740,-46.8040,51.4580,-208.3750,-7.9640,15.1310,-0.3520,4.9730,8.1590,3.5020,-26.3430,10.4120,-84.3790,46.2820,21.9430,1.8220,7.4720,5.9040,10.7830,-14.8890,-129.6280,-12.7140,5.1120,-2.8550,-3.1870,7.9370,4.6690
440,-14.2880,-1.1680,74.9810,-7.6920,-39.1910,44.8960,6.6270,5.5400,-4.1640,0.8290,-19.9540,18.5170,-50.8820,3.8500,-12.5310,0.3300,7.4630,6.6730,11.4630,-55.1350,51.8360,-202.7260,-8.7880,9.4670,-0.1390,3.1580,9.4310,4.2240,-30.7050,11.3810,-92.0890,34.5110,24.2330,2.3610,5.8970,8.2000,11.0000,-16.1800,-129.8610,-32.0270,10.4860,-5.8170,-3.1890,7.2980,5.4300
480,-15.8730,-0.4510,76.5790,-4.6080,-36.9770,39.9490,7.7090,5.6430,-3.8590,0.5730,-21.1030,18.5170,-54.8970,-8.7450,-4.4390,0.9770,8.6980,5.1240,10.7250,-60.4100,51.8360,-145.4440,-11.9940,-2.4410,0.3810,3.6420,8.7840,4.9980,-33.0150,12.2630,-70.7000,34.6790,22.0500,1.9780,7.1610,6.4400,11.8440,-16.9380,-130.2060,-22.2560,19.8440,-8.6420,-3.9700,7.4940,5.3870
520,-16.4600,0.4070,78.1270,-5.0500,-26.2900,38.6970,6.6680,5.9110,-4.4220,0.6630,-25.5130,18.1950,-90.2720,1.8040,-8.0420,1.1880,5.7100,8.9540,10.7970,-66.5640,51.8360,-141.0930,-0.5440,2.9480,-0.3830,0.6340,10.3190,5.8940,-38.3120,13.5110,-117.0810,43.7780,31.1950,2.3080,4.6970,8.4920,11.7100,-17.6780,-130.5850,-29.5540,1.7830,-9.4810,-3.4120,7.8700,5.0660
560,-17.6050,1.0510,79.7130,-14.9590,-34.7480,39.6440,6.6730,4.9900,-4.0770,2.1450,-26.8720,17.9180,-50.6530,21.2390,-6.9280,-0.4210,7.2980,6.3180,10.4850,-71.3010,51.8360,-129.9020,-3.7040,4.4140,0.2150,1.7170,9.1390,7.1160,-41.9420,14.5140,-92.6390,45.3500,25.0730,1.5420,5.6070,8.3650,12.2000,-19.8970,-130.8910,-43.9970,16.2570,-7.6490,-3.5290,6.3470,6.5670
600,-19.0210,1.5120,82.4020,-20.2560,-43.5730,67.2310,7.4320,5.4400,-4.5010,2.1880,-30.2930,17.9180,-81.2180,-3.0350,-3.5230,0.5770,5.7770,8.1400,10.8980,-76.6920,51.8360,-132.5580,3.7770,1.3910,-0.7350,-0.2560,9.8550,8.1350,-48.8090,15.9450,-149.5850,46.8920,35.7600,1.9940,2.8130,10.2060,12.4640,-19.2490,-131.8390,-20.6230,3.9510,-23.6950,-4.1280,8.3530,3.3640
