timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-0.7650,0.1770,0.0000,-0.3660,1.4200,-0.4600,4.8750,7.9770,-3.0620,2.3830,-14.2400,17.4160,0.0880,1.4400,-0.4840,0.5960,8.2260,5.7340,0.3960,-0.5600,0.0000,-0.0640,1.0880,-0.3560,-0.9150,7.8770,5.6810,2.2650,-16.6280,-48.7970,-0.1950,1.3030,-0.2690,1.2310,8.4400,5.2600,12.1800,-3.4740,-86.6270,-0.4840,0.5520,-0.3470,-3.7450,8.3390,3.6700
40,-0.8710,0.1820,0.0000,-0.1220,-0.5030,0.0290,5.0850,7.9630,-3.1700,2.3410,-14.2800,17.4160,0.0270,-1.1860,0.1420,0.7660,8.1120,5.9690,0.4160,-0.6280,0.0000,-0.2320,0.1870,0.0720,-0.8380,7.8290,5.8830,2.2970,-16.6770,-48.7970,-0.4850,0.1430,-0.2690,1.2110,8.4420,5.3320,12.2580,-3.4700,-86.6270,-0.2070,0.1520,-0.5740,-4.0100,8.4160,3.6870
80,-0.8710,0.1820,0.0000,-0.1220,-0.5030,0.0290,5.0850,7.9630,-3.1700,2.3410,-14.2800,17.4160,0.0270,-1.1860,0.1420,0.7660,8.1120,5.9690,0.3680,-0.6340,0.0000,0.4560,-0.6690,-0.4020,-0.7570,7.8360,5.7990,2.2680,-16.7090,-48.7970,0.0820,0.1570,0.1140,1.3430,8.3960,5.3220,12.2680,-3.4260,-86.6270,-0.0380,-0.2760,0.1620,-3.8470,8.3490,3.5840
120,-0.8800,0.2020,0.0000,-0.0130,0.9620,-0.2430,4.8750,7.9610,-3.1790,2.4110,-14.2800,17.4160,-0.8150,0.6610,0.0490,0.7060,8.1140,5.8490,0.4170,-0.6930,0.0000,-0.4780,0.5860,-0.0950,-0.8600,7.7790,5.8040,2.3620,-16.7580,-48.7970,-0.5900,1.2710,-0.0240,1.1660,8.4640,5.3460,12.2770,-3.4630,-86.6270,-0.9080,0.1980,0.0540,-3.8280,8.3680,3.6970
160,-0.9320,0.1960,0.0000,0.2460,-0.2030,-0.4870,4.9900,7.9730,-3.1240,2.3790,-14.3180,17.4160,-0.3570,-0.3470,0.1710,0.8090,8.0800,5.9040,0.3600,-0.7830,0.0000,-0.8870,-0.3480,-0.2930,-0.7130,7.7860,5.8630,2.3480,-16.8670,-48.7970,-0.5440,-0.4240,0.3270,1.2500,8.3200,5.4300,12.2360,-3.5580,-86.6270,-1.0410,-0.7190,0.0080,-3.7710,8.2740,3.7800
200,-0.9280,0.2220,0.0000,-0.0450,0.8970,-0.6830,4.9390,7.9100,-3.1890,2.4410,-14.2850,17.4160,-0.0650,0.8150,0.1400,0.7020,8.2340,5.8540,0.3700,-0.7920,0.0000,-0.8680,0.4330,-0.4740,-0.7900,7.8840,5.7320,2.2770,-16.8020,-48.7970,0.1760,-0.5740,0.1880,1.3720,8.5040,5.1690,12.1650,-3.4600,-86.6270,0.2870,-0.5810,0.3900,-3.7350,8.5160,3.5750
240,-0.9030,0.2450,0.0000,-0.5800,0.1790,-0.0570,4.8050,7.8750,-3.2130,2.4640,-14.3320,17.4160,-1.0880,-0.5130,-0.1660,0.6630,8.0880,5.8630,0.4710,-0.8830,0.0000,-1.0970,0.7680,-0.4440,-0.9700,7.8000,5.8750,2.3840,-16.8610,-48.7970,-0.2220,0.9710,0.0190,1.1110,8.4250,5.4010,12.2940,-3.5650,-86.6270,-1.0580,1.7270,-0.2380,-3.9410,8.2530,3.7920
280,-0.9270,0.2670,0.0000,-0.3020,0.2700,0.2640,4.9800,7.9510,-3.2200,2.3430,-14.4190,17.4160,-2.9050,-0.4220,-0.8530,1.0080,8.2100,5.8850,0.3610,-0.9280,0.0000,-1.1580,-1.4610,-0.0470,-0.6970,7.8630,5.8060,2.2310,-16.8270,-48.7970,-0.0830,-1.6910,0.4460,1.4580,8.4490,5.1930,12.1690,-3.5010,-86.6270,-0.0810,-1.8760,0.3720,-3.7180,8.4750,3.6060
320,-0.7490,0.3000,0.0000,-1.6900,1.9630,0.7360,4.6660,7.9660,-3.3610,2.4360,-14.5190,17.4160,-8.9660,2.8460,-4.0130,0.8070,8.4680,5.4950,0.4020,-0.9420,0.0000,0.2930,0.0660,-0.5810,-0.8860,7.7880,5.8230,2.2820,-16.8700,-48.7970,-0.6180,1.3320,0.0190,1.2760,8.4400,5.3370,12.2470,-3.6590,-86.6270,-2.2790,0.9790,0.0980,-3.9190,8.3200,3.8500
360,-0.5420,0.3830,0.2650,-5.0940,-1.3500,6.6140,4.4440,8.1550,-3.8310,2.4900,-14.9980,17.0010,-23.8360,4.2500,-10.3790,1.0010,8.6600,5.1980,0.2830,-0.9510,0.0000,0.7950,-3.2010,-1.1740,-0.8140,7.8390,5.8990,2.2120,-16.9170,-48.7970,-1.3510,-1.9810,-0.7450,1.2670,8.4660,5.2960,12.1130,-3.7040,-86.6270,-1.2710,-2.8380,-0.6510,-3.7450,8.3460,3.7110
400,-0.4520,-0.2550,1.3590,-28.4840,-8.0820,27.3620,4.1010,8.0350,-4.0920,3.0760,-16.8600,16.2630,-57.7140,9.4870,-18.4400,0.1840,7.7380,5.0920,0.3770,-0.9260,0.0000,1.0550,-2.3770,-0.6700,-1.1830,7.7450,5.7600,2.3220,-16.9070,-48.7970,-0.3740,0.4770,-0.7600,1.0770,8.5280,5.2940,12.2850,-3.8870,-86.6270,-1.8360,1.0250,-1.2310,-4.1300,8.2620,3.9480
440,-1.8040,-2.4890,3.5060,-58.7130,-25.6850,53.6680,5.6430,7.6260,-2.7650,3.1630,-20.4020,15.4510,-89.4390,2.0820,-20.3030,1.0770,6.5530,4.7790,0.2090,-0.7890,0.0000,0.1080,-5.4760,0.7650,-0.8690,8.0110,5.5470,2.2960,-16.8080,-48.7970,-3.0740,-1.5100,-1.8100,1.2210,8.8180,4.9610,12.1650,-3.7730,-86.6270,-0.3250,-4.0290,-0.6350,-3.9150,8.5020,3.5290
480,-2.4740,-4.9190,5.6030,-68.1020,-12.6020,52.4310,5.2530,7.4790,-2.6670,4.5620,-25.2580,14.3350,-101.4090,23.8380,-27.9060,-0.4760,5.5520,8.2670,-0.1190,-0.9240,0.0000,-1.7240,-8.4690,0.5970,-0.7210,7.7050,5.8630,2.0470,-16.9130,-48.7970,-5.1660,-3.8000,-0.4970,1.5080,8.4350,5.0710,11.9680,-4.0210,-86.6270,-3.7290,-4.7010,-2.1620,-3.6390,8.0400,3.8450
520,-2.9010,-7.0870,7.7530,-75.9950,-13.0440,53.7440,5.2480,8.0490,-3.6340,4.1420,-27.8020,13.7750,-69.3480,-16.1470,-14.0130,0.0480,6.7130,7.1800,-0.2400,-0.6210,0.0000,5.1610,-6.6980,0.2920,-0.9840,7.9580,5.5740,2.0690,-17.0100,-48.7970,-4.4630,-0.7920,-0.8170,1.1990,8.5230,5.1980,11.8860,-3.9680,-86.6270,-2.2030,-3.2500,-2.4670,-3.8690,8.4850,3.5290
560,-4.9340,-10.3660,10.0550,-87.5060,-32.8920,57.5450,6.8740,7.3000,-1.6710,2.7630,-31.4290,13.4280,-88.2640,-37.7040,-8.6690,0.4880,5.8590,8.1470,-0.7010,-0.6170,0.0000,1.6960,-11.6440,2.6430,-0.6110,7.8270,5.8870,2.0840,-17.4200,-48.7970,-5.1350,-2.0750,-0.1150,1.1090,8.1520,5.7630,11.9050,-4.3280,-86.6270,-3.5000,-2.5630,-2.0860,-4.0170,8.1280,4.1990
600,-6.4330,-12.9560,11.5940,-70.2700,-22.6170,38.4770,6.8000,7.3500,-1.3290,1.6740,-35.3060,13.1740,-86.8900,-30.2080,-6.3490,0.7540,5.1000,9.4280,-1.1030,-0.6380,0.0000,-1.9230,-7.8270,1.4680,-0.3470,7.9420,5.6690,1.7240,-17.4800,-48.7970,-3.7300,-5.5100,0.2820,1.6740,8.4400,5.2150,11.3570,-4.3070,-86.6270,-0.8440,-9.3720,-1.2150,-3.2610,8.3800,3.7180
640,-6.4330,-12.9560,11.5940,-70.2700,-22.6170,38.4770,6.8000,7.3500,-1.3290,1.9950,-37.4760,12.7030,-62.2790,-2.5890,-11.7840,0.0430,5.5450,8.0370,-1.3170,-0.6260,0.0000,1.5430,-5.1100,-0.8380,-0.4810,7.8270,5.8560,1.7800,-17.6570,-48.7970,-3.9290,-1.0370,-1.1680,1.1610,8.3700,5.4830,11.5770,-4.4800,-86.6270,-2.0960,0.3680,-2.8640,-4.1610,8.2550,3.9980
680,-9.1090,-18.6830,14.1970,-94.1320,-29.0140,35.5450,6.8520,6.9220,0.1200,2.0570,-40.4160,12.1030,-73.3930,-5.4600,-14.9900,0.3420,4.6900,8.8850,-1.4320,-0.5970,0.0000,3.6190,-5.3080,-3.0820,-0.6940,7.8720,6.0500,1.6290,-17.8680,-48.7970,-4.3110,-5.2200,-0.9700,1.2810,8.3200,5.5400,11.6170,-4.7580,-86.6270,-2.4010,-4.8380,-2.8490,-4.2160,8.1450,4.1870
720,-10.6640,-20.5120,14.9700,-55.9340,-28.9980,19.3320,6.8070,7.0940,-0.5820,1.9260,-43.2360,11.6680,-67.5000,-9.8570,-10.8680,0.4290,4.1750,9.5170,-1.5220,-0.1210,0.0000,11.3750,-5.5680,-3.7540,-0.7330,7.9370,5.6360,1.4170,-18.0470,-48.7970,-4.7080,-5.8460,-1.5960,1.3930,8.3410,5.4680,11.4320,-4.7270,-86.6270,-0.4320,-6.4560,-3.4140,-3.7850,8.3200,3.7640
