timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,26.8410,2.2860,-40.8940,1.3380,-1.1780,-0.4130,3.2920,9.1790,-2.0250,0.8680,-1.7670,16.0510,0.5850,-3.2170,0.7240,1.4990,9.4570,3.4210,-10.1420,22.7940,-86.5500,0.9200,-0.4980,1.0850,1.5010,9.2700,2.9230,0.4900,-1.3990,-167.4870,-0.7500,-2.7330,0.5570,2.7100,9.2030,2.7270,-3.2120,-7.2010,-180.0000,2.0770,-2.5030,0.3760,-1.1710,9.0120,4.1800
40,26.5940,2.1020,-40.8940,-1.3800,0.7910,-1.8630,3.2110,9.0980,-1.7840,0.7310,-1.7680,16.0510,1.2270,-0.9720,0.0520,1.3790,9.3230,3.5360,-10.0750,22.8160,-86.5500,-1.4620,2.1890,0.5050,1.3190,9.3570,2.6820,0.4580,-1.3340,-167.4870,-0.2460,0.7170,0.1600,2.4680,9.3850,2.6460,-3.0690,-7.1400,-180.0000,1.0990,3.0090,0.3920,-1.4220,9.0000,4.2260
80,26.2990,2.0900,-40.8940,-0.6620,-0.4450,0.2440,3.2610,9.2510,-2.1280,0.6060,-1.8250,16.0510,-0.4530,-1.7200,-0.4820,1.2900,9.2560,3.5050,-10.0750,22.8160,-86.5500,-1.4620,2.1890,0.5050,1.3190,9.3570,2.6820,0.4640,-1.3600,-167.4870,-0.4590,0.0880,-1.3520,2.2650,9.1890,2.7720,-3.1060,-7.1850,-180.0000,-0.2290,-0.4270,-1.1960,-1.2930,8.7560,4.2520
120,25.8860,1.9610,-40.8940,0.8830,-2.1680,-1.3610,3.3380,9.2270,-1.7550,0.5390,-1.8300,16.0510,1.5010,-1.2170,-0.5430,1.2110,9.2340,3.5630,-10.0040,22.9020,-86.5500,1.7140,-0.1620,-0.4260,1.1010,9.4430,2.5160,0.5390,-1.1170,-167.4870,2.1830,0.2250,-0.1610,2.1380,9.4760,2.4640,-3.1220,-6.9920,-180.0000,2.5800,0.2910,0.6820,-1.2930,9.0190,4.0630
160,25.7960,1.7180,-40.8940,-1.3610,1.6940,-2.1550,2.8440,9.0190,-1.6540,0.6160,-1.5800,16.0510,1.0430,0.6460,0.8770,1.0490,9.4450,2.9980,-9.9000,22.7760,-86.5500,-2.3010,0.7390,0.5050,1.1040,9.1390,2.8780,0.3520,-1.2140,-167.4870,-2.0460,-0.6750,1.7470,2.5620,9.0790,2.7390,-3.0890,-6.9900,-180.0000,-0.9310,0.6120,0.9410,-1.3600,8.8660,4.1250
200,25.5800,1.6930,-40.8940,0.7460,0.1060,-0.1700,3.0050,9.1150,-1.9610,0.4550,-1.5880,16.0510,-0.4220,-2.0410,0.7850,1.3550,9.3470,3.4280,-10.0030,22.9300,-86.5500,0.5380,-1.7960,0.1540,1.3580,9.3210,2.5550,0.3260,-1.0690,-167.4870,1.0530,-0.0950,0.4340,2.2860,9.3300,2.5380,-2.9800,-6.8790,-180.0000,1.7100,2.1230,0.5750,-1.4250,8.9830,4.1640
240,25.2670,1.6180,-40.8940,0.4210,-1.2220,-1.2070,3.0810,9.0910,-1.8870,0.3680,-1.3450,16.0510,1.2570,-1.4000,1.0750,1.2620,9.5150,3.0480,-10.0200,22.9750,-86.5500,-1.3550,0.4790,1.7570,1.3890,9.3780,2.6430,0.1920,-0.9470,-167.4870,-0.7490,-0.4460,1.2740,2.5000,9.3900,2.4350,-2.9780,-6.8460,-180.0000,0.1680,0.1380,1.0940,-1.3620,8.9810,4.2090
280,25.1030,1.5740,-40.8940,0.7420,0.5490,0.2580,2.9140,9.1870,-1.9560,0.3480,-1.5730,16.0510,-0.3310,-0.5600,1.7170,1.1730,9.0790,3.8520,-9.9640,22.6020,-86.5500,-4.8050,0.5860,0.5350,1.2260,9.1000,3.2270,-0.0270,-1.2250,-167.4870,-3.6490,0.4390,1.5940,2.7170,9.0430,2.9900,-3.0050,-7.0220,-180.0000,-2.1680,0.1540,0.4680,-1.2670,8.6570,4.3620
320,24.4780,1.5880,-40.8940,1.7920,-5.0880,2.1660,3.5050,9.2100,-2.0160,0.2000,-1.6030,16.0510,-0.4830,-1.3540,1.6250,1.4150,9.3610,3.5080,-9.8770,22.6680,-86.5500,-2.4230,2.3420,-0.0600,1.3190,9.4670,2.5860,0.0330,-1.1510,-167.4870,-2.0160,2.7900,1.7620,2.3490,9.4830,2.4900,-2.8530,-6.9760,-180.0000,-0.7780,2.7800,2.2540,-1.4820,9.0380,4.1590
360,24.1630,1.3970,-40.8940,-0.8190,-4.2170,1.0660,2.8370,9.1050,-1.7740,0.3540,-1.6940,16.0510,1.6080,0.7990,3.3040,0.9030,9.0910,3.7490,-9.7750,22.2800,-86.5500,-16.3170,6.9220,-1.4340,1.6710,9.5460,2.4680,0.3480,-1.1460,-167.4870,-15.4970,7.7830,4.4950,2.2580,10.1630,1.6300,-2.7910,-7.0790,-180.0000,-8.5650,5.0090,2.1010,-1.1180,9.2560,3.9190
