timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-2.0590,0.6200,-179.5430,1.9050,-4.6650,1.0520,4.8310,8.7510,-0.5960,-6.9820,-7.0150,-175.5470,-0.1860,-1.1970,-0.2570,2.1620,8.6380,4.5030,8.3350,2.4640,-165.8280,1.4650,-0.7440,-0.7070,-2.9660,8.6910,3.0360,-7.6250,0.1780,-179.5220,-0.7960,-1.5570,-0.4960,2.8710,8.7460,3.8640,-10.9870,3.3340,65.7090,-0.6480,-5.5890,1.0740,-0.3850,8.3940,5.2170
40,-1.7990,0.7240,-179.5430,2.1790,4.5720,-0.8560,4.2400,8.7920,-1.0580,-6.9950,-7.0760,-175.5470,1.0810,0.1460,0.3230,2.1400,8.7200,4.4290,8.3550,2.4000,-165.8280,-1.1300,1.5160,0.4380,-2.5980,8.8110,3.1840,-7.5230,0.1260,-179.5220,-1.2240,0.3970,0.6640,3.1340,8.5880,4.0820,-10.8410,3.3620,65.7090,-1.7170,1.5860,0.0520,-0.7090,8.2910,5.3890
80,-1.9050,0.7450,-179.5430,1.7820,-2.3140,-0.6270,4.4510,8.7630,-0.9340,-6.7530,-7.0600,-175.5470,1.9820,3.4900,1.5600,1.8220,8.6720,4.3050,8.4850,2.4370,-165.8280,-0.0620,1.0270,0.1940,-2.8590,8.7270,3.0310,-7.4010,0.1580,-179.5220,0.3790,0.1680,1.1990,3.0480,8.6050,4.0370,-10.6730,3.2930,65.7090,-0.5570,0.5170,0.1430,-0.8740,8.1640,5.6790
120,-2.0040,0.7020,-179.5430,0.5920,0.1750,1.0980,4.6470,8.6860,-0.8880,-6.9970,-6.9760,-175.5470,1.6460,-3.9000,0.4300,2.3200,8.9140,4.2190,8.4030,2.3760,-165.8280,-0.6720,0.4170,1.0030,-2.4830,8.8060,3.2250,-7.5600,0.1630,-179.5220,-1.5900,-2.2590,0.8630,3.4740,8.5980,3.9190,-10.7230,3.3880,65.7090,-1.8360,-0.6150,0.6160,-0.4910,8.3770,5.2580
160,-1.9080,0.7660,-179.5430,0.1180,0.8770,0.1660,4.2570,8.6960,-1.1350,-6.9560,-6.9290,-175.5470,0.4090,2.6650,0.5830,2.2360,8.8320,4.1470,8.3910,2.2220,-165.8280,-2.6720,1.1500,-0.8750,-2.5550,8.7270,3.2490,-7.5100,-0.0260,-179.5220,-1.6970,1.0080,1.0000,3.2900,8.4370,4.2980,-10.6630,3.2720,65.7090,-2.2480,0.6220,-0.4070,-0.6300,8.1240,5.6070
200,-1.7010,0.8890,-179.5430,-0.1420,3.3760,2.0590,4.3340,8.9570,-1.3170,-7.0030,-6.8500,-175.5470,0.2720,0.0390,-0.3180,2.2030,8.8560,4.0650,8.2590,2.2630,-165.8280,-0.7030,-1.6750,-0.7530,-2.5380,8.8800,3.0550,-7.6580,0.0780,-179.5220,-2.5830,-2.7170,0.2060,3.4050,8.6670,3.6580,-10.6050,3.3050,65.7090,-3.3930,-0.8130,-0.2850,-0.7520,8.3650,5.2720
240,-1.8780,0.8240,-179.5430,-0.1570,-0.4710,1.7230,4.8170,8.8030,-0.9240,-7.2100,-7.0390,-175.5470,-1.5610,-0.6330,1.0120,2.5500,8.7390,4.4960,8.3190,1.9520,-165.8280,-4.8400,1.1190,-1.6530,-2.7100,8.6860,3.4330,-7.6230,-0.1890,-179.5220,-4.1700,0.9470,1.3970,3.3230,8.4230,4.2760,-10.6460,2.9570,65.7090,-6.0650,-0.7680,2.1270,-0.5240,7.9250,5.7340
280,-1.8650,0.8950,-179.5430,3.2020,4.3540,-0.0330,4.7570,8.7050,-0.9290,-7.0170,-7.2500,-175.5470,-0.7830,2.7570,-1.3240,1.9250,8.6430,4.6020,8.2690,1.5500,-165.8280,-5.8630,1.0880,-0.2950,-2.4830,8.6790,3.6030,-7.5890,-0.1410,-179.5220,-2.7510,1.0990,1.8250,3.3280,8.6330,3.7920,-10.4760,3.1040,65.7090,-5.0120,1.5990,3.6840,-0.8040,8.5450,4.9850
320,-2.0420,0.9530,-179.5430,15.5380,14.5060,-4.7810,5.9810,8.2890,-0.0120,-6.5740,-7.3460,-175.5470,2.3160,7.7180,2.2330,1.7410,8.6120,4.6160,8.6680,1.4420,-165.6230,-3.0540,9.7140,5.1100,-2.7410,8.6910,3.2320,-7.0720,0.0190,-179.2610,0.7910,11.8780,6.5270,3.1560,8.7320,3.8810,-10.0290,3.4400,66.3580,-12.5840,10.0110,16.2190,-0.7710,9.2420,4.1400
360,0.6910,2.2420,-179.5430,33.1250,69.5440,-1.4990,8.5710,8.1830,1.3430,-5.9710,-7.6700,-175.0750,0.8050,27.5200,11.8060,3.1220,8.7120,5.1260,9.5550,0.4800,-165.0030,-28.9170,37.0880,15.5220,-1.7600,9.3400,3.2590,-5.5850,1.0370,-178.1430,-1.4220,46.6410,27.9320,3.7760,9.2250,1.8960,-8.5180,4.1590,68.1360,-29.5310,46.6670,44.4480,-0.1800,10.0150,1.9370
