timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,0.4930,-1.8070,1.1170,2.1540,1.0520,0.8080,4.4410,8.5810,-2.6700,3.9710,-6.4180,76.2180,-0.5400,-1.3320,-0.0600,1.7670,8.7510,4.8000,-0.7170,-9.7200,-49.5660,0.9060,-0.0390,-0.1070,-1.3840,8.5710,4.3500,1.2150,-1.7320,-38.0210,-0.3310,-0.3390,0.5680,1.9730,8.9500,3.9840,5.6120,-0.6630,-32.1680,-1.3600,0.1600,-0.1570,-2.9450,8.5190,4.2110
40,0.3680,-1.8720,1.1170,1.3750,1.0060,0.1060,4.6850,8.4180,-2.3390,4.0690,-6.4850,76.2180,-1.2570,1.4320,-0.9760,1.5490,8.6810,4.8050,-0.5900,-9.8260,-49.5660,-0.6860,0.2970,-1.3270,-1.6900,8.4470,4.4510,1.3320,-1.8250,-38.0210,-0.5130,1.6170,-0.7630,1.6760,9.0480,4.0100,5.6010,-0.6000,-32.1680,0.4570,0.1900,-0.7370,-2.8510,8.6450,4.0250
80,0.4120,-1.8720,1.1170,1.1310,1.8300,-0.3370,4.4100,8.4900,-2.5090,4.0080,-6.6310,76.2180,-1.3640,-1.1330,-0.6560,1.6710,8.5430,4.9340,-0.6400,-10.1150,-49.5660,-0.8240,-0.8940,-0.9150,-1.4340,8.4130,4.8940,1.3030,-1.9470,-38.0210,-0.8330,-0.7490,0.7640,1.7760,8.9350,4.0150,5.7110,-0.6670,-32.1680,-0.5680,1.0140,-0.9320,-3.0670,8.5740,4.1990
120,0.3880,-1.8900,1.1170,0.6420,0.7310,-1.2990,4.3840,8.3250,-2.4610,3.9850,-6.5620,76.2180,-0.3560,0.0730,0.2450,1.6950,8.7080,4.5920,-0.6990,-10.0300,-49.5660,-0.3960,0.0830,0.4440,-1.3140,8.6910,4.1850,1.0450,-1.9970,-38.0210,-0.7720,-1.6800,1.2220,2.1950,8.8390,3.8210,5.6960,-0.5970,-32.1680,1.2790,-0.0550,0.2280,-2.8630,8.5950,4.0560
160,0.4540,-1.8630,1.1170,1.2070,1.6780,-0.4590,4.3360,8.4680,-2.5500,3.9520,-6.6790,76.2180,-3.6680,0.4390,-0.8400,1.7600,8.6840,4.7330,-0.7180,-10.1340,-49.5660,-2.9590,0.5870,-0.5510,-1.3550,8.5830,4.3550,0.9860,-1.9950,-38.0210,-1.7030,0.0300,0.5650,1.9420,9.0240,3.7010,5.7330,-0.4960,-32.1680,0.9740,0.8910,0.6100,-2.9330,8.7270,4.0030
200,0.6300,-1.8200,1.1170,0.1080,2.4110,-0.5200,4.1590,8.5110,-2.6860,3.8300,-6.6440,76.2180,-3.4230,-1.4540,-2.0920,1.8080,8.8350,4.4770,-0.5860,-10.0570,-49.5660,0.8120,-0.2070,-1.1920,-1.7380,8.5260,4.2450,1.0450,-2.0850,-38.0210,-0.4210,0.1360,-0.1220,1.7070,8.9930,4.0320,5.7420,-0.5560,-32.1680,-0.4920,0.9680,-0.3820,-2.8300,8.5190,4.1490
240,0.4020,-1.8380,1.1170,1.4360,-0.0930,0.1970,4.7960,8.3440,-2.4060,3.9770,-6.7350,76.2180,-4.4610,2.6830,-0.9160,1.5490,8.7050,4.6350,-0.5790,-10.2400,-49.5660,-4.1350,0.5260,-1.0240,-1.4170,8.4710,4.3930,1.0130,-2.0790,-38.0210,-2.0370,-0.3680,0.4440,1.8560,9.0760,3.7010,5.6980,-0.4100,-32.1680,1.3250,-0.4370,-0.4430,-2.8490,8.7050,3.9100
280,0.6270,-1.7880,1.1170,0.3670,3.1430,0.2890,4.0940,8.4750,-2.6700,3.8610,-6.8860,76.2180,-4.8740,-1.9730,-2.1380,1.7500,8.7100,4.7790,-0.5660,-10.4250,-49.5660,-2.8060,-0.7720,-0.6730,-1.5440,8.4280,4.5300,1.0030,-2.2460,-38.0210,-3.0300,-0.5670,1.1620,1.7930,8.9470,3.9820,5.8190,-0.6770,-32.1680,-2.5990,1.6240,-0.5500,-2.9930,8.2940,4.3310
320,0.4520,-1.9010,1.1170,0.6880,-0.4140,0.7170,4.6620,8.4370,-2.2980,3.9090,-7.2650,76.2180,-11.6070,2.0270,-3.6800,1.7310,8.7290,4.7670,-0.5820,-10.4540,-49.5660,-3.5700,0.1140,-1.2990,-1.4080,8.6100,4.2040,0.9830,-2.2710,-38.0210,-2.2970,-0.2310,0.2610,1.8630,9.1100,3.8000,5.6540,-0.6910,-32.1680,0.1950,-2.0090,0.1060,-2.6890,8.5140,4.1200
360,0.4720,-1.9330,1.1170,-0.3350,1.1740,1.5260,4.3670,8.4180,-2.5260,4.1530,-7.9020,75.8000,-20.0030,5.9960,-10.4580,1.5950,8.6810,4.6900,-0.4890,-10.9010,-49.5660,-11.2340,0.6170,-3.3600,-1.6040,8.4520,4.4650,1.1180,-2.5500,-38.0210,-7.5330,2.1810,1.4520,1.7090,9.0330,3.9260,5.6900,-0.8360,-32.1680,-1.7590,0.9980,-0.0010,-2.8850,8.4950,4.2540
