timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-9.8760,3.6320,1.8290,-6.3110,-1.7160,1.1300,3.0910,8.8270,-3.2940,-7.4350,-1.3160,122.1450,0.4430,3.2190,-1.3150,3.5790,8.5280,3.9430,-4.9960,-5.4060,-145.2930,-0.5750,2.6070,0.6240,-0.7590,8.9760,3.7710,-2.4800,-3.6510,-61.8770,-2.9810,-0.5780,2.0870,3.0600,8.6930,3.9820,3.2440,-5.5350,-86.9670,-4.0560,4.8160,-0.5320,-2.5570,8.2310,5.0470
40,-10.1020,3.2950,1.8290,-5.8380,-4.1440,2.1690,3.5150,8.6890,-2.8200,-7.1820,-1.0010,122.1450,1.6340,2.8220,-1.1170,3.2390,8.8440,3.2080,-4.7990,-5.2140,-145.2930,0.1580,1.7520,0.5480,-1.1160,9.0380,3.2700,-2.3140,-3.5420,-61.8770,-3.3020,2.3680,1.6130,2.7890,9.0020,3.5650,3.2150,-5.7060,-86.9670,-6.0560,1.2290,0.2620,-2.2340,8.3220,4.7690
80,-10.0940,3.2070,1.8290,-2.1280,-0.5410,2.0160,3.4310,8.8390,-3.0650,-7.2860,-1.2500,122.1450,-2.8240,-0.9030,1.1430,3.7350,8.5260,3.9600,-4.9410,-5.6460,-145.2930,-5.3380,-2.3700,0.1510,-0.7450,8.8990,4.1970,-2.2400,-3.8340,-61.8770,-11.0420,0.2610,4.2090,2.7390,8.7800,3.7420,3.1750,-6.0940,-86.9670,-9.2620,-0.6340,-1.8600,-2.3630,8.1760,4.9700
120,-10.3450,3.0360,1.8290,-3.4410,-4.1440,1.2070,3.6970,8.7010,-2.9160,-7.3600,-1.2620,122.1450,0.4280,-0.2930,-1.0250,3.7280,8.6120,3.7640,-4.9490,-5.6570,-145.2930,-0.3000,0.9580,1.1580,-0.7370,8.9760,3.7280,-2.3040,-4.2810,-61.8770,-6.7520,1.6660,2.4680,3.1600,8.4540,4.4080,3.4900,-6.0670,-86.9670,-0.6210,5.0150,-1.2650,-2.7390,8.3770,4.9200
160,-10.2450,2.9240,1.8290,-3.6700,0.0850,0.3980,3.3090,8.6670,-3.0210,-7.3900,-1.0720,122.1450,0.4580,-0.7350,-0.1700,3.6010,8.8030,3.3780,-4.8640,-5.3190,-145.2930,2.6310,-0.5540,0.9450,-1.0610,9.1270,3.2200,-2.2480,-4.2890,-61.8770,1.1110,0.7960,0.2550,2.8370,8.7290,4.2520,3.6350,-6.0780,-86.9670,-0.9110,3.0000,0.5220,-2.5620,8.3340,4.9610
200,-10.1200,2.8960,1.8290,-2.8450,-0.3120,0.9470,3.3060,8.8300,-3.1720,-7.6170,-1.3060,122.1450,-1.1780,-2.0900,0.8230,3.9550,8.4710,4.0630,-4.9770,-5.7580,-145.2930,-4.5600,-1.0880,0.6390,-0.6730,8.7440,4.2350,-2.3420,-4.4690,-61.8770,-1.6530,-1.1280,1.7970,2.9540,8.5160,4.3170,3.5430,-6.1770,-86.9670,-3.3230,0.2060,-0.3480,-2.2480,8.2460,4.9110
240,-9.9860,2.8060,1.8290,-4.3110,-0.5410,1.6190,3.2320,8.7150,-3.0960,-7.3880,-1.1550,122.1450,-0.3230,1.9100,-1.5130,3.2200,8.7150,3.3780,-4.9360,-5.5350,-145.2930,0.7380,2.0570,0.1510,-0.7400,9.1170,3.3400,-2.6200,-4.2770,-61.8770,2.7900,-2.7000,2.3460,3.2350,8.6530,3.9120,3.6050,-6.1270,-86.9670,-0.9260,2.3280,-0.3790,-2.4250,8.3340,4.8290
280,-10.1580,2.6920,1.8290,-1.5480,-3.4570,2.8250,3.7490,8.8590,-2.8370,-7.3780,-1.3160,122.1450,-1.4980,-1.1440,0.2430,3.4720,8.5760,3.9260,-4.9680,-5.5800,-145.2930,1.0740,-1.9120,0.1970,-0.9070,8.8970,3.8910,-2.4640,-4.4160,-61.8770,0.5610,1.5130,-0.1880,2.6340,8.5310,4.4220,3.6130,-6.2260,-86.9670,-1.4450,0.2360,-1.2340,-2.5090,8.2360,5.1000
320,-10.0750,2.4970,1.8290,-6.1890,-1.1670,3.5270,3.3850,8.7890,-2.9950,-7.2490,-1.3270,122.1450,2.4250,2.1840,-0.5810,3.4640,8.5230,3.9150,-4.9130,-5.5870,-145.2930,-0.1170,1.9040,-0.0780,-0.7810,8.9900,3.7350,-2.7430,-4.1890,-61.8770,-3.8210,-1.9070,1.9950,3.3110,8.9260,3.3590,3.5520,-6.2080,-86.9670,-11.1240,1.4580,-2.0430,-2.2940,8.9210,4.2880
360,-10.1070,2.0640,2.1460,-13.7610,-4.0060,7.9400,3.4310,8.7750,-3.0430,-7.2990,-1.0000,122.1450,5.4790,2.6880,-0.2450,3.9940,8.8560,3.5270,-4.7710,-5.6940,-145.2930,-4.3000,4.7750,-3.0550,-0.7490,9.0600,3.6370,-1.5520,-4.9100,-61.4850,-40.9510,16.3380,9.7970,1.5680,9.6370,2.5910,3.6060,-7.0820,-87.2740,-38.9570,5.8550,-7.6920,-2.1860,9.0640,4.0460
