timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,0.2640,35.4410,69.7140,-0.2450,-1.8300,1.9530,2.6240,8.6190,-3.9000,1.6770,-3.6720,145.6190,0.6960,-3.8210,1.3000,1.9730,8.9540,4.1440,1.4240,-23.9590,-135.3820,-0.1430,-0.6590,-1.0130,-1.5230,7.2020,6.2700,-0.6180,-11.5640,-174.7870,-2.5870,-1.8860,-0.2810,2.3700,8.2620,5.2580,0.8960,-17.3650,-170.8860,-1.0960,-1.4600,-1.1980,-2.1190,7.0870,6.5510
40,0.2860,34.5600,69.7140,0.8850,-1.4630,2.5330,2.7700,8.6480,-4.0100,1.5420,-3.9400,145.6190,-2.8920,-4.0660,0.9640,2.0780,8.6570,4.6420,1.3030,-24.0580,-135.3820,-1.8070,-2.3690,-1.5930,-1.4170,7.1250,6.3590,-0.9050,-11.6510,-174.7870,-2.0980,-3.8700,2.0550,2.6980,8.1620,5.2790,0.8060,-17.3300,-170.8860,-1.4170,-2.5740,-1.3960,-2.0040,7.2830,6.3850
80,0.3900,33.5520,69.7140,-2.5040,-1.1270,2.5790,2.5470,8.4710,-3.9050,1.6260,-3.7760,145.6190,0.4370,-0.5390,1.1930,1.8940,8.9330,4.0510,1.1730,-24.0910,-135.3820,-2.3270,-1.1010,1.1700,-1.2950,7.2900,6.2750,-0.9820,-11.7780,-174.7870,-2.8920,-1.4890,0.4060,2.4540,8.1690,5.3290,0.6960,-17.3040,-170.8860,-1.0350,-1.8720,-0.4350,-1.8940,7.2780,6.4480
120,0.3650,32.6120,69.7140,0.0450,-0.5780,2.4720,2.9090,8.6100,-3.8620,1.5350,-3.7590,145.6190,-0.4640,-2.0960,1.9710,2.1550,8.8320,4.2620,1.1360,-24.3510,-135.3820,-2.8150,-0.7200,-0.3110,-1.4560,6.9460,6.5860,-1.1700,-12.0010,-174.7870,-2.7700,-1.6870,1.7960,2.6910,7.9940,5.5040,0.5830,-17.4510,-170.8860,-3.3250,-1.5360,-0.5410,-1.8390,7.1370,6.5790
160,0.4230,31.7900,69.7140,1.0070,-0.3790,1.3110,2.7580,8.6380,-4.0290,1.5820,-3.9130,145.6190,0.0400,-0.7990,2.3990,1.9660,8.6600,4.6470,1.2050,-24.4020,-135.3820,0.2990,0.7000,-0.0050,-1.5800,7.0750,6.4720,-1.1140,-11.9790,-174.7870,-0.4800,0.6490,0.5280,2.3650,8.2700,5.2980,0.5400,-17.6390,-170.8860,-1.9510,-0.2690,0.2220,-1.8890,7.0220,6.7850
200,0.4170,30.9370,69.7140,0.8240,-1.4630,2.7470,2.8130,8.7100,-3.9820,1.3190,-3.7930,145.6190,0.0400,-5.4700,3.5590,2.2890,8.9570,4.1280,1.1000,-24.4320,-135.3820,-0.9230,-0.8450,0.5750,-1.3550,7.2500,6.4380,-1.1600,-12.0590,-174.7870,-3.1800,0.2640,0.1290,2.5430,8.2050,5.2620,0.3550,-17.6550,-170.8860,-1.5540,-3.2920,-0.2210,-1.8000,7.1750,6.4830
240,0.5740,30.1540,69.7140,0.4420,0.9030,1.3110,2.6310,8.6360,-4.1130,1.3540,-3.8210,145.6190,0.0240,0.2550,1.8800,2.1090,8.7460,4.3790,0.9950,-24.6060,-135.3820,-2.7100,-1.1810,-0.7380,-1.3690,7.1040,6.5430,-1.0610,-12.3960,-174.7870,-1.8060,3.3480,0.2510,2.4900,7.8820,5.8920,0.2790,-17.8610,-170.8860,-2.8970,-0.7120,0.7260,-1.8080,6.9810,6.7320
280,0.3850,29.3520,69.7140,1.1290,-1.6160,1.6020,3.1940,8.6620,-3.9890,1.4530,-3.9040,145.6190,0.1770,0.0410,0.2620,1.9580,8.7890,4.5540,1.0070,-24.6360,-135.3820,0.3280,0.3760,0.8950,-1.4990,7.1320,6.5100,-1.1290,-12.4470,-174.7870,-0.6450,-0.8350,1.3200,2.4850,8.1520,5.4680,0.2780,-17.8810,-170.8860,-0.3630,-0.3300,0.1460,-1.9660,7.1970,6.6940
320,0.5510,28.5630,69.7140,-1.8480,1.2240,-0.6430,2.6050,8.5070,-4.1730,1.5000,-4.2760,145.6190,-1.1520,0.9420,0.9470,2.1450,8.5230,5.0330,0.8310,-24.7620,-135.3820,0.3740,-0.4790,0.9870,-1.1640,7.0170,6.6940,-1.1070,-12.5500,-174.7870,-2.5690,1.5310,0.6480,2.4730,8.1380,5.4180,0.2250,-18.0640,-170.8860,-2.6060,-0.4350,1.1370,-1.8360,7.0030,6.7560
360,0.4790,27.8620,69.7140,1.2210,-3.6310,-0.0470,2.7720,8.7340,-4.1780,1.4430,-4.2140,145.6190,3.5810,-1.6380,1.8480,2.1330,8.6860,4.5080,0.7240,-24.8440,-135.3820,-1.7630,-0.0060,-0.4630,-1.2570,7.1420,6.4600,-1.4390,-12.7390,-174.7870,-6.4010,-2.9120,-0.9700,2.8830,8.1020,5.2700,-0.0060,-18.2730,-170.8860,-3.9340,-3.3210,0.3740,-1.6640,7.0080,6.7280
