timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,11.6120,-11.4640,143.1200,0.0980,-1.1090,0.6230,3.5050,8.8150,-3.1340,4.4980,-0.9000,153.5380,-3.4400,1.3360,-2.3180,1.4680,9.0000,4.2070,2.3900,16.5360,-146.3440,-5.4870,-0.3410,-1.9350,-0.0190,8.8610,4.0530,-1.5960,-3.8220,-81.5080,-1.7810,-0.5160,-0.0210,2.9190,8.6360,4.1680,-8.7980,-10.4270,118.0240,-2.2300,1.1710,0.3430,-0.2270,8.0520,5.8080
40,11.6230,-11.4660,143.1200,0.1750,-1.1850,-0.1560,3.4140,8.8150,-3.1770,4.5810,-0.8250,153.5380,0.3160,0.8330,-1.2190,1.3670,9.1720,3.5890,2.5180,16.5500,-146.3440,-0.6470,1.0630,-2.0270,-0.3850,8.9400,3.7300,-1.4520,-3.9170,-81.5080,0.1280,1.8810,-0.6010,2.6380,8.6380,4.2710,-8.4960,-10.3170,118.0240,0.9760,1.0180,0.8010,-0.8690,8.3130,5.6120
80,11.7970,-11.3540,143.1200,0.2660,2.3870,0.4240,2.9710,8.8870,-3.3570,4.5470,-0.6870,153.5380,-0.2640,-0.6940,1.7120,1.5040,9.2750,3.4240,2.4260,16.6690,-146.3440,-0.5860,-0.3110,0.5070,-0.0340,9.0500,3.5310,-1.5420,-3.7620,-81.5080,0.2040,-1.4010,0.9870,2.8540,8.8180,3.7730,-8.6320,-10.3800,118.0240,-1.4360,-2.0050,2.2820,-0.1580,8.0760,5.6650
120,11.6950,-11.2330,143.1200,1.8240,-0.7120,0.4550,3.3060,8.8490,-3.2180,4.6890,-0.7710,153.5380,-2.0050,1.3520,-0.6080,1.2760,9.1080,3.7280,2.4400,16.4380,-146.3440,-5.7740,0.1490,0.3980,-0.2180,8.8420,3.8120,-1.5160,-3.8300,-81.5080,-1.0020,0.4460,1.2920,2.7530,8.7150,4.1370,-8.9500,-10.3230,118.0240,-0.9480,-3.0890,0.6330,0.1700,8.1590,5.4590
160,11.8100,-11.1220,143.1200,0.2360,1.7460,1.1420,3.0020,8.7480,-3.2870,4.2700,-0.7730,153.5380,0.2400,-7.2440,-0.5780,1.8630,9.3400,3.8450,2.3560,16.3730,-146.3440,-2.0490,0.2100,0.1540,-0.0020,8.9950,3.8500,-1.6510,-3.6850,-81.5080,-0.5290,-1.0650,1.2920,2.9620,8.8180,3.7250,-8.9590,-10.5350,118.0240,-2.6270,0.7130,0.3590,-0.1680,8.0230,5.9300
200,11.5820,-11.0540,143.1200,0.2820,-1.6590,1.9200,3.5240,8.8370,-3.2080,4.0610,-0.8780,153.5380,-1.8670,-2.9080,0.1850,1.7930,9.2100,3.8590,2.2080,16.2600,-146.3440,-4.4910,-1.0270,-1.1590,0.0450,9.0120,3.7710,-1.5790,-3.7850,-81.5080,-1.7650,1.9420,0.3310,2.7720,8.7650,4.1660,-8.8540,-10.6700,118.0240,-1.7870,-0.1730,0.2980,-0.5080,8.0540,5.8610
240,11.5720,-10.9950,143.1200,-1.7030,-1.0020,0.9740,3.1080,8.8230,-3.3350,4.2240,-0.7920,153.5380,-0.1730,3.0160,-1.0820,1.4650,9.2850,3.5980,2.3060,16.0800,-146.3440,-3.5290,1.6600,-1.7390,-0.2610,8.8800,3.9840,-1.8400,-4.0210,-81.5080,-1.9940,-1.4160,1.3230,3.1990,8.4990,4.3620,-8.6810,-10.7200,118.0240,-0.2910,2.7890,0.1300,-0.4310,8.1500,5.8750
280,11.4890,-11.5100,143.1200,-21.2300,-8.9110,1.9360,2.6740,8.9540,-3.7110,4.4430,-0.9510,153.5380,-1.9130,0.7560,-2.1810,1.1060,9.0000,3.9150,2.3710,16.0070,-146.3440,-0.8730,0.3930,-0.9000,-0.3060,8.8730,3.9910,-1.7750,-4.0230,-81.5080,-0.6510,0.8130,-0.1430,2.6790,8.7920,4.0890,-8.6880,-10.7750,118.0240,-1.5280,-1.9280,0.3130,-0.4480,8.1670,5.7800
320,11.8100,-13.6480,144.6010,-80.6650,-34.8650,37.0200,-0.3930,9.4400,-5.2720,4.3380,-1.0130,153.5380,-0.2640,-0.7550,0.1700,1.7090,9.1240,3.9070,2.4010,15.8700,-146.3440,-3.2240,1.2020,0.9630,-0.1750,8.8850,3.9530,-1.8650,-3.9690,-81.5080,-2.5750,-0.9890,1.3380,2.8280,8.7840,3.7850,-8.9550,-11.0870,118.0240,-3.4510,-3.5010,3.8850,0.0140,7.7360,5.9970
360,7.0110,-18.5580,149.4360,-156.0850,-134.2850,120.8670,2.5190,7.3070,-3.6730,4.6060,-0.8060,153.5380,3.6150,0.4240,-3.3270,0.9530,9.0810,3.6010,2.5400,15.8820,-146.3440,1.2640,0.7140,0.3220,-0.4620,8.8870,4.0170,-1.9400,-4.2750,-81.5080,-1.9640,0.3240,2.4530,2.9310,8.4990,4.5730,-8.9690,-11.0710,118.0240,1.2200,-5.5470,1.0300,-0.7040,8.1260,5.9060
400,0.8850,-23.6320,155.6170,-122.1000,-153.7960,154.5310,6.5100,9.1530,-4.4080,4.0830,-0.6650,153.3370,4.0580,-9.4380,-5.0220,1.9320,9.2150,3.8210,2.2050,16.2460,-146.3440,3.8900,-3.3470,0.5510,0.2390,9.1220,3.5000,-2.2740,-4.2280,-81.5080,-0.9870,-6.1800,-0.6770,2.9260,8.6500,3.9220,-9.8680,-10.9460,118.0240,-0.3980,-15.4860,2.9390,0.4760,8.0780,5.4060
440,-4.9030,-30.7800,161.0550,-207.0310,-147.1850,135.9510,5.9040,8.3030,-1.5040,4.3600,-0.5130,153.0580,0.9740,-1.1790,-6.9910,0.8570,9.1700,3.4810,2.2560,16.2320,-146.3440,-2.9040,0.3780,0.4440,-0.2660,8.9140,3.6660,-2.6040,-4.3220,-81.5080,-3.4300,-6.0730,1.3690,2.9690,8.6120,4.0220,-10.3580,-11.0930,118.2810,-1.5580,-13.0430,6.4200,-0.1010,8.1040,6.0450
480,-4.9030,-30.7800,161.0550,-207.0310,-147.1850,135.9510,5.9040,8.3030,-1.5040,4.0380,-0.3170,153.0580,2.5770,-12.0190,-2.5330,1.2670,9.0740,3.4620,1.8320,16.3290,-146.3440,-0.0790,-3.8510,2.0160,0.4310,9.0310,3.7090,-2.8040,-4.5350,-81.5080,-2.3150,-5.2790,1.6440,2.8470,8.6720,4.4650,-11.1020,-10.6770,118.2810,3.2510,-16.1730,2.8320,0.2940,8.3440,5.1810
520,-14.9820,-46.6980,171.1300,-222.6960,-110.5900,117.2640,9.2200,5.7600,3.6200,4.0160,-0.2650,153.0580,-1.1480,-4.8280,-3.7540,1.2740,9.2060,3.5050,1.8320,16.3370,-146.3440,-1.7280,0.2250,1.4210,-0.1220,9.0290,3.7610,-2.7110,-4.4970,-81.5080,-1.6430,-2.7290,1.1090,2.3750,8.7890,3.9960,-11.6930,-10.9080,118.2810,-0.9480,-15.6990,4.2360,0.1100,7.8550,6.1200
560,-15.7110,-51.7470,173.1990,-203.7180,-31.3990,51.7070,5.9570,6.6250,-0.6680,4.0360,-0.6040,153.0580,-2.3700,-8.3240,-1.0670,0.9030,8.8990,4.2110,1.8650,16.2160,-146.3440,-2.2780,0.2250,0.3680,-0.1960,8.9420,3.9910,-3.2820,-4.6730,-81.5080,-2.6360,-9.6300,2.3150,3.2940,8.5070,4.2930,-11.7440,-10.9920,118.5190,0.3650,-9.3330,5.9620,-0.4810,8.0730,6.0430
600,-18.7100,-58.1470,174.7490,-215.4890,-76.4830,38.7450,6.7880,5.7270,0.9620,3.7560,-0.5800,153.0580,-3.1480,-9.7130,-1.3880,1.4990,9.3110,3.4810,1.9760,16.0810,-146.3440,-2.4760,-0.0040,3.4210,-0.3930,8.9210,4.0170,-3.2620,-4.9500,-81.5080,-1.3070,-2.3780,4.4070,2.6480,8.4780,4.6730,-12.6320,-10.9500,118.8870,2.7010,-22.7830,9.1830,0.3160,7.9390,5.8420
640,-21.1820,-63.0120,175.6480,-179.3060,-68.9560,22.4850,7.2040,5.9450,1.4560,3.0100,-0.9590,153.0580,-4.5230,-21.9880,-3.2510,1.5800,8.9710,4.2090,1.6850,15.8630,-146.0910,-3.4990,-3.1800,6.3370,0.2300,8.8610,4.1230,-4.0100,-4.8600,-81.2080,-1.6590,-14.5000,7.4910,3.3350,8.6240,3.8620,-13.8040,-10.7550,119.1550,5.3270,-24.6920,6.7100,0.9430,7.9750,5.7030
680,-23.9960,-70.2650,175.6480,-249.3220,-83.5670,3.5690,7.8050,6.2580,1.9230,2.6700,-1.1630,153.0580,-7.5150,-20.9650,-2.0290,0.8360,8.7630,3.4960,2.0600,15.8480,-146.0910,-2.9800,6.3010,2.9480,-0.4330,8.9830,3.7660,-4.6040,-4.6930,-80.9710,-0.1170,-9.5230,5.9180,3.5240,8.6360,3.8160,-14.2780,-10.7290,119.5080,3.5260,-16.1730,8.8170,0.2750,7.9680,5.9400
720,-27.2710,-79.4410,174.8380,-245.4280,-80.1630,-20.2470,7.5680,2.9620,3.3160,1.5110,-1.2360,152.7230,-3.8360,-30.3090,-8.3650,2.1020,9.3710,3.8000,1.5510,15.9070,-146.0910,-1.1480,-2.9510,2.9320,0.7280,9.1750,3.8400,-4.5490,-4.8870,-80.9710,-1.1550,-4.6070,4.1170,2.5710,8.5830,4.5490,-15.2790,-9.7660,119.5080,11.2510,-26.0510,4.4350,0.7570,9.0070,4.8220
760,-30.4080,-86.6370,173.9930,-184.6350,-80.0100,-21.1180,8.7440,4.5350,5.6460,0.7810,-1.4070,152.3280,-14.1100,-18.5680,-9.8770,2.3180,9.5500,3.1990,1.4990,15.5660,-146.0910,-9.2240,4.8510,-3.3580,0.4000,8.9280,3.9790,-5.0760,-4.9870,-80.9710,-4.7580,-7.6150,3.5520,3.6060,8.5230,3.9960,-15.3760,-9.4420,119.8620,7.6940,-12.8450,8.8620,-0.0360,8.3530,5.6360
800,-31.4760,-89.0620,172.2660,-108.8480,-51.9790,-43.1790,7.9770,4.1900,4.2880,1.0980,-2.3420,151.5520,-15.8810,-6.7510,-19.4030,0.9890,8.6650,4.5970,2.0730,15.0390,-146.3760,-10.6130,9.2780,-7.1290,-0.6250,8.6480,4.2380,-5.0400,-5.1960,-80.6890,-7.8720,2.9810,7.0630,3.3230,8.6790,4.0800,-16.8090,-9.2930,120.4150,10.3650,-22.9820,13.8240,2.1210,7.5820,5.7680
