timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,16.1030,-6.6850,154.2360,-0.7150,0.2800,0.2620,1.6520,9.0290,-3.7160,6.7290,-1.5390,158.9020,-2.4640,-2.4140,1.6260,1.4150,9.0980,4.1680,0.5970,-0.2200,-23.5970,-2.5170,-0.3500,0.6100,1.3340,8.1860,5.1760,-7.8280,-0.7390,-169.6520,0.5150,-0.9140,-1.4400,3.6060,8.6770,3.5700,-1.2800,-9.2840,95.1850,-0.8450,-0.0700,0.0540,-1.5780,8.1690,5.4490
40,15.9700,-6.7460,154.2360,-2.5900,-0.5150,1.0550,1.5900,8.9710,-3.7520,6.7080,-1.5990,158.9020,-1.0600,0.7470,-0.3740,1.1970,9.1170,4.0320,0.5900,-0.2110,-23.5970,-0.3950,-1.4180,0.0300,1.2790,8.3370,4.9220,-7.8280,-0.7390,-169.6520,0.5150,-0.9140,-1.4400,3.6060,8.6770,3.5700,-1.1960,-9.5820,95.1850,-2.8870,1.2580,-0.0690,-1.6590,7.8960,5.7770
80,15.5180,-6.9360,154.2360,-1.5670,-4.9120,2.2610,2.0020,9.1030,-3.3780,6.6050,-1.7000,158.9020,-0.4490,-1.5430,-0.1910,1.2020,9.0960,4.1900,0.5750,-0.5700,-23.5970,-2.4260,-0.7920,-0.1070,1.3500,8.0090,5.4780,-7.8280,-0.7390,-169.6520,0.5150,-0.9140,-1.4400,3.6060,8.6770,3.5700,-1.2450,-9.5550,95.1850,-0.5200,-1.4590,-0.8020,-1.5950,8.1380,5.3530
120,15.6890,-7.0720,154.2360,-3.9180,2.6760,0.8110,1.3120,8.9450,-3.6080,6.4880,-1.7850,158.9020,-1.8540,-0.4590,1.1830,1.3340,9.0790,4.0290,0.6330,-0.2360,-23.5970,0.5820,-1.8920,2.1370,1.0920,8.5950,4.3930,-5.6040,-0.4290,-169.6520,-2.1560,2.9180,1.8880,3.2250,8.8440,3.4070,-1.0430,-9.7500,95.1850,-5.4210,3.5180,0.6180,-1.7620,8.1830,5.4950
160,15.4820,-7.1920,154.2360,-3.1550,-3.2180,4.7950,1.6810,8.9520,-3.5430,6.4610,-1.9920,158.9020,-5.6090,-2.3220,1.5040,0.9790,9.0120,3.9770,0.3760,-0.7270,-23.5970,-5.8910,-6.6700,3.4810,1.3890,7.9220,5.4400,-5.6040,-0.4290,-169.6520,-2.1560,2.9180,1.8880,3.2250,8.8440,3.4070,-1.1670,-10.1360,95.1850,-9.1770,-3.5360,0.6940,-1.6210,7.9750,5.5400
200,15.5730,-7.2810,154.2360,-2.9260,1.7900,0.7800,1.5060,9.0240,-3.5890,6.2930,-2.3940,158.9020,-2.9220,-2.7190,0.9390,1.2930,8.8320,4.6690,0.5870,-0.6430,-23.5970,-0.2120,-1.2960,4.6260,0.8360,8.3390,4.8410,-5.6040,-0.4290,-169.6520,-2.1560,2.9180,1.8880,3.2250,8.8440,3.4070,-1.1030,-10.3040,95.1850,-4.0780,0.9070,1.2590,-1.6740,8.0450,5.5880
240,15.5170,-7.3570,154.2360,-1.4600,-1.5080,3.2990,1.5680,8.9900,-3.4480,6.6310,-2.3700,158.9020,-0.7700,2.7620,0.7860,0.6200,9.0240,3.9500,0.3560,-0.7000,-23.5970,-1.7690,-3.0210,2.6710,1.6640,8.2860,5.0130,-6.0210,-0.1380,-169.3470,-1.7900,-11.2500,7.6290,3.8020,8.7170,3.2510,-1.0010,-10.4080,95.1850,-4.1230,-0.3910,0.1910,-1.9010,8.1860,5.5450
280,15.3700,-7.4680,154.2360,-2.9260,-0.4080,2.3830,1.9150,9.0070,-3.4740,6.6190,-2.6450,158.9020,-4.2810,-0.0170,2.4660,1.1440,8.9300,4.3290,0.1590,-1.1290,-23.5970,-4.3190,0.0630,3.2670,1.8700,7.9420,5.5310,-6.1250,-0.3140,-169.3470,-0.7360,-1.3110,3.7660,3.8190,8.4180,3.7040,-1.4290,-10.7480,95.1850,-7.9550,-5.3370,0.6180,-1.0920,7.8750,5.6140
320,15.3420,-7.5970,154.2360,-3.3220,-2.0420,1.4360,1.5660,9.0620,-3.4550,6.9510,-2.6930,158.9020,-0.4030,4.9600,-0.7400,0.7880,9.0450,4.2230,0.2950,-0.7710,-23.5970,4.2460,1.4980,-1.4660,1.2550,8.4350,4.6880,-5.6350,0.2120,-169.3470,-7.7140,5.3610,0.8650,3.1650,9.5550,1.9230,-1.0470,-10.7890,95.1850,-2.7490,5.2430,-0.3280,-2.0230,8.1430,5.5830
360,14.8650,-7.8600,154.5790,-7.2160,-9.4470,8.5820,2.0230,9.1460,-3.4740,6.7930,-2.5540,158.9020,0.2380,0.2580,0.5270,1.4770,9.2440,3.9120,0.3600,-1.2270,-23.5970,-8.8990,2.9940,2.6410,1.5080,8.0590,5.2460,-5.1030,-0.8400,-168.7010,-38.6910,9.7880,16.1480,3.3020,9.1550,2.7630,-1.1980,-11.3930,95.1850,-29.1460,-0.6660,0.3430,-1.3810,8.7870,4.9030
400,14.2830,-8.7210,155.2630,-21.2460,-15.5990,17.1010,1.8120,9.0480,-3.1910,7.1710,-3.1680,158.9020,-10.4640,6.7470,-1.0300,0.7920,8.7360,4.5510,0.3600,-1.2270,-23.5970,-8.8990,2.9940,2.6410,1.5080,8.0590,5.2460,-3.9850,-3.1580,-167.2050,-67.2560,23.1320,37.3840,2.8630,8.6330,3.2750,-1.1260,-12.8680,95.1850,-71.5130,1.1510,-0.2670,-1.8240,9.9100,3.8020
440,13.4910,-10.2210,156.2550,-36.9100,-24.8820,24.7950,1.7020,9.4380,-3.0140,7.4580,-4.1290,159.2070,-21.4870,7.7240,7.6260,1.0250,8.7600,4.5180,1.2210,-1.5730,-22.8300,-0.5940,9.7570,11.1910,1.5390,8.3270,4.9390,-4.0010,-6.8350,-165.4840,-80.8590,20.3230,43.0480,4.9220,7.1920,4.9150,-0.8930,-17.9640,95.1850,-141.1310,-8.2840,3.4580,-2.7290,7.4080,5.5110
480,13.0390,-10.9670,158.0830,-30.2840,-28.4540,45.7110,0.8210,9.3280,-3.9220,7.4650,-4.7700,159.5690,-15.0600,0.9150,9.0610,1.0340,8.7080,4.4650,1.2420,-1.6990,-22.4470,-4.0440,11.6200,9.5720,2.1120,8.0040,4.9920,-2.9060,-9.6040,-164.1040,-93.3320,26.0780,34.4830,2.8080,8.4470,3.0790,-3.0610,-23.5040,96.0020,-145.4360,-42.1460,20.4350,-0.2510,6.5510,6.6990
520,9.3420,-12.9450,160.1990,-35.1700,-64.9430,52.9020,4.9370,8.3960,-1.1990,7.4160,-5.6140,159.8170,-20.2960,3.5860,6.2060,1.4680,9.1960,4.8720,2.2950,-2.3200,-22.1150,-17.5250,32.6430,8.3050,1.5750,8.3580,5.2310,-2.2110,-13.9190,-162.3470,-162.9350,62.0480,43.9190,5.9040,7.2780,1.2620,-3.3910,-29.8390,96.4780,-167.9250,-20.6810,11.9010,-2.1000,5.6690,6.9580
560,9.5100,-12.7750,161.5560,-8.5290,-10.2560,33.9250,1.7480,9.6010,-3.7760,7.5210,-6.7240,160.0170,-36.2500,8.5480,5.0000,1.4650,9.0430,4.1300,3.3690,-3.8270,-22.1150,-33.2350,35.7880,-0.8400,1.5180,7.5440,5.6220,4.2610,-25.5290,-160.9350,-238.6750,185.5750,35.3080,3.4520,2.5190,8.4640,-3.9200,-39.6760,97.9580,-247.6040,-14.7720,37.0000,-0.0450,3.3780,6.9550
600,7.6750,-13.6460,162.4810,-30.8950,-39.5990,23.1160,3.5080,8.3250,-2.8010,7.7000,-9.2680,160.0170,-55.8230,9.1890,0.9390,1.2980,8.0090,5.6220,4.8920,-5.0430,-22.5040,-27.4330,37.1770,-9.7250,0.4790,7.8940,5.9740,15.0050,-35.7460,-160.2410,-257.5460,264.2310,17.3540,-2.0780,1.7290,12.8140,-2.1620,-51.6320,98.3730,-261.2380,36.2810,10.3740,-2.0490,-0.6800,9.8470
640,6.7780,-13.9830,163.2170,-6.3610,-38.9730,18.3980,1.8990,8.9020,-2.0040,8.2510,-10.9390,159.7770,-43.3500,10.8230,-6.0230,0.5580,8.2840,5.2000,5.8130,-5.6720,-22.8840,-21.2200,25.8640,-9.4350,0.6340,8.0950,5.3750,17.9910,-44.9930,-159.7700,-212.8130,109.6810,11.7660,1.7860,2.2890,8.7680,-2.3800,-60.7350,99.0120,-219.2230,-5.4290,15.9770,-1.5510,0.0890,11.0370
