timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,0.6930,-6.1940,-21.2970,-1.7350,-0.8780,0.4880,4.5610,8.5620,-1.8670,8.6590,-3.3680,-17.7700,-0.6950,-0.2270,-0.9370,0.6730,8.8850,4.5870,5.0300,-7.7880,47.0920,-2.1050,-0.8990,-0.2490,-0.9500,8.8730,3.9030,4.2320,-0.7440,-18.3470,-2.9320,3.5300,-1.6170,2.9090,8.9710,3.1840,1.6860,-6.2510,-26.7790,-0.9830,-0.4750,0.8740,-0.2300,8.5710,4.7690
40,0.1640,-6.4390,-21.2970,-1.9030,-6.0840,2.4880,4.7240,8.3800,-1.4920,8.5590,-3.2380,-17.7700,1.7020,-2.5320,0.1770,0.4380,8.9610,4.3240,5.1730,-7.6510,47.0920,-0.1660,-1.3720,-1.5780,-1.4270,8.9090,3.4860,4.3180,-0.8540,-18.3470,-0.6260,1.1630,-1.7080,2.4330,9.0430,3.4310,1.8480,-6.1440,-26.7790,1.9030,1.8000,-1.7830,-0.8570,8.8940,4.6620
80,0.0260,-6.5830,-21.2970,-2.1630,1.2750,2.1060,4.6040,8.5860,-1.7360,8.5050,-3.2600,-17.7700,-2.2980,0.5520,1.0480,0.6130,9.0960,4.3840,5.1260,-7.6180,47.0920,-1.7990,0.2920,0.1170,-0.8880,8.9690,3.6080,4.1770,-0.7980,-18.3470,-1.6340,-0.7600,1.1620,2.7290,9.0790,2.9880,1.6230,-6.0620,-26.7790,-0.8610,-2.6120,0.6290,-0.3780,8.8300,4.4200
120,-0.2840,-6.5540,-21.2970,-2.0410,-4.0230,3.6630,4.5560,8.5830,-2.0710,8.7650,-3.2150,-17.7700,-1.1840,1.0560,-1.4560,-0.0720,8.8920,4.2350,5.3450,-7.8240,47.0920,-4.2270,1.1470,-0.7380,-1.3840,8.7360,3.8740,4.3950,-1.0960,-18.3470,-2.5650,4.5370,0.0320,2.3560,8.8970,3.6580,1.7200,-6.2550,-26.7790,-2.1740,2.8380,0.3550,-0.6340,8.5780,4.8630
160,-0.8850,-6.7230,-21.2970,0.2030,-6.5110,3.9230,5.0690,8.6530,-1.5180,8.6620,-3.2150,-17.7700,-1.4580,0.0480,1.7650,0.6340,9.0430,4.3980,5.1090,-7.7110,47.0920,-1.5700,-2.3950,0.7580,-0.7130,9.1290,3.5550,4.2810,-0.9240,-18.3470,-1.1610,-2.0280,0.7650,2.5140,9.2300,2.8470,1.6270,-5.8830,-26.7790,2.4220,-1.8790,-0.2410,-0.6440,9.1150,4.1680
200,-1.0300,-6.8440,-21.0170,-1.1100,-3.4890,6.9920,4.0680,8.2530,-1.6330,8.9460,-3.5260,-17.7700,-7.3820,3.9720,0.6200,0.0840,9.1340,4.6930,5.4150,-7.9970,47.0920,-8.3490,4.1390,-2.0970,-1.3410,8.9300,3.8280,4.4200,-1.0230,-18.3470,-2.8250,4.5070,1.9100,2.4780,9.0810,3.2630,1.8850,-5.8750,-26.7790,-1.9750,5.2960,0.9350,-0.8400,8.8990,4.5270
240,-1.6580,-6.7780,-20.6110,1.7300,-11.1530,10.1370,4.7170,8.5260,-1.8460,8.9770,-3.9810,-17.7700,-15.5650,0.5980,-0.5250,0.3230,9.0020,4.2830,5.6520,-8.5360,47.0920,-18.3950,2.7340,0.5900,-1.3190,8.8590,3.5820,4.9950,-1.1020,-18.0930,-3.4660,10.2930,6.3380,1.9230,9.1290,3.1990,1.8700,-6.1600,-26.5310,-6.6620,4.9450,6.2020,-0.2970,8.5470,4.6540
280,-2.5160,-6.9080,-20.0040,2.3710,-14.2060,15.1900,4.9080,8.2720,-1.3810,9.0520,-5.0130,-17.7700,-26.1000,2.3840,3.7350,0.3660,8.9520,4.8460,5.6210,-9.2250,47.0920,-34.7760,-0.1360,1.5210,-1.0320,9.5270,2.8680,5.3750,-1.1830,-17.6290,-14.1070,8.8580,11.5890,2.2050,9.6820,2.4710,2.1730,-5.9980,-26.5310,-5.2120,7.0820,2.7670,-0.8950,9.3350,4.1110
320,-3.2000,-7.1970,-18.4380,-12.0870,-21.4580,39.1440,4.1080,8.4590,-2.1670,10.2340,-7.5120,-17.2090,-72.0840,24.5210,14.0090,-0.3180,8.9330,4.4480,6.3510,-12.6490,47.0920,-98.3640,16.0930,-1.3330,-1.3360,8.7800,3.6870,6.5240,-2.9220,-16.2330,-50.5500,38.0030,34.9020,2.7200,9.0210,3.0430,2.9180,-6.3510,-25.8540,-28.2650,20.6400,16.9350,-0.8260,9.6080,3.3810
360,-4.8290,-7.4950,-15.1500,-11.0030,-38.8630,82.2130,4.2860,7.2900,-1.7410,11.3310,-11.9810,-15.3680,-122.6800,25.8190,46.0250,-0.1990,7.7790,4.5750,7.8760,-17.3890,47.0920,-153.2950,35.5440,4.0410,-1.5630,8.7770,2.7130,10.0020,-5.3240,-13.9880,-86.5040,91.4690,56.1240,1.6860,9.4210,1.9750,4.3550,-8.3470,-23.9320,-71.9600,39.2810,48.0340,-0.9650,9.3470,3.4840
