timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,0.2830,0.7300,-0.5100,-2.5470,2.7410,-0.8470,2.9310,8.7270,-2.8680,-3.3790,2.5970,-118.4980,0.0440,-2.0300,0.1310,2.2120,9.0210,3.6220,-0.1460,-1.2030,0.0000,-0.1820,1.1860,-0.7400,-1.7290,9.0020,3.1750,-0.1280,2.5880,-153.0740,0.8700,1.6900,-0.7880,2.0490,9.3520,2.8060,6.0600,-3.3830,-120.9520,0.5980,3.1340,-0.7170,-2.3990,8.8080,4.4560
40,0.1170,0.7450,-0.5100,0.5980,-2.3120,0.0840,3.4880,8.9710,-2.7770,-3.2840,2.6200,-118.4980,-0.3380,1.2220,-0.2660,2.1140,9.0600,3.4910,-0.2340,-1.2430,0.0000,-0.3190,-1.7600,0.2530,-1.3890,9.0290,3.2250,-0.2710,2.6010,-153.0740,-0.4880,-1.2570,0.3420,2.6860,9.2060,2.5910,5.9910,-3.2870,-120.9520,0.0640,-1.1410,-0.0140,-1.8770,8.7890,4.1060
80,0.1710,0.7230,-0.5100,-0.9140,0.1310,0.0690,3.1680,8.8610,-2.7890,-3.2780,2.7120,-118.4980,-0.9790,-0.9920,-0.5100,2.1240,9.1630,3.3110,-0.1620,-1.3110,0.0000,-1.2200,-0.0050,-0.6020,-1.5830,9.0000,3.2080,-0.2230,2.5610,-153.0740,-1.1140,0.3160,-0.1160,2.4090,9.2270,2.6620,6.0430,-3.3600,-120.9520,-0.9590,0.4160,-0.2280,-2.0230,8.7170,4.3860
120,0.0440,0.7020,-0.5100,-0.3440,-2.9390,0.7710,3.3140,8.8590,-2.7390,-3.3190,2.6510,-118.4980,-0.4910,0.0310,0.6190,2.3370,9.0910,3.6800,-0.2960,-1.2800,0.0000,-0.2280,-2.7220,-0.4340,-1.3620,9.0670,3.0980,-0.3430,2.6420,-153.0740,-0.8850,-2.8600,0.1590,2.5020,9.2270,2.4180,5.9620,-3.1650,-120.9520,0.7810,-1.9500,-0.6400,-1.9270,8.9140,3.9890
160,0.1870,0.6640,-0.5100,-1.0770,3.1680,0.3280,3.2630,8.9470,-2.7870,-3.2210,2.6680,-118.4980,-0.8550,0.7940,-0.0550,2.0730,9.1170,3.4790,-0.2100,-1.2700,0.0000,-0.7620,1.2170,-0.0680,-1.5130,9.1030,3.1120,-0.1310,2.3930,-153.0740,-1.8010,3.6590,0.2050,2.3340,9.1290,3.0550,6.1420,-3.4760,-120.9520,-3.1730,3.3170,0.4130,-2.0610,8.5470,4.6710
200,-0.1470,0.6310,-0.5100,1.5800,-4.9690,0.4200,3.6100,8.8780,-2.5550,-3.3310,2.6270,-118.4980,0.2140,1.4350,0.4790,2.6240,9.1270,3.7160,-0.3570,-1.3950,0.0000,-1.2050,-2.7070,0.3750,-1.3380,9.0690,3.3760,-0.3860,2.5270,-153.0740,-1.1450,-3.9130,0.8310,2.7220,9.2780,2.3180,5.9770,-3.2210,-120.9520,1.0410,-3.1410,-0.2590,-1.8600,9.0120,3.9310
240,0.2250,0.6130,-0.5100,-2.7410,6.9700,-1.4580,3.0670,8.8710,-2.9400,-3.2460,2.7820,-118.4980,0.8710,5.2060,0.2190,2.4850,9.2060,3.3400,-0.2590,-1.4480,0.0000,-1.3880,3.3540,0.9700,-1.3600,9.1000,3.2200,-0.0920,2.7760,-153.0740,-1.4200,6.2090,0.0670,2.5400,10.0940,2.2050,6.2990,-3.2930,-120.9520,-3.6460,7.1030,0.3830,-2.0730,8.8230,4.1870
280,0.3360,0.5250,-0.5100,0.8470,5.8550,-0.5880,3.5050,8.9330,-2.5020,-2.8380,2.5450,-118.4980,-1.1140,16.1990,1.2270,2.6980,9.0860,4.0410,-0.1570,-1.4440,0.0000,-2.2580,5.2320,1.4740,-1.2380,9.1750,3.0500,0.3510,2.6980,-153.0740,-7.7250,11.7200,-0.8790,2.4710,9.4590,2.2580,6.4970,-3.2830,-120.9520,-11.7070,6.9660,2.6880,-1.8790,9.2630,3.4740
320,0.5450,0.1440,-0.5100,1.7780,25.1070,-2.6340,4.9320,8.9020,-1.7860,-1.0500,2.0400,-118.2440,-1.5420,59.3280,6.3570,3.2110,9.0670,4.7020,0.4580,-1.8310,0.0000,-7.8920,25.5680,1.5200,-0.7590,9.3180,3.5390,1.4550,2.5010,-153.0740,-11.4050,37.9650,3.2730,3.0670,9.2800,2.2050,7.3100,-3.2110,-120.7060,-22.4400,28.8590,6.1530,-1.5230,9.9070,2.6100
360,2.3420,-0.1500,-0.9200,0.3280,73.8710,-10.2370,5.2600,8.6170,-1.9850,2.1460,1.6220,-117.8070,-2.3660,97.7100,10.9220,2.8160,9.0670,4.4680,3.0460,-2.7330,0.0000,-22.3350,71.7660,1.8100,-1.4700,9.0860,3.4720,4.7310,1.8560,-152.8530,-13.6950,94.8500,5.5330,2.6980,9.1580,3.0430,10.1370,-5.0030,-119.9140,-52.9130,79.0570,19.8020,-1.9580,8.7580,4.0200
