timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,14.9970,41.7340,16.6150,1.3300,0.4000,1.9860,3.5910,8.3270,-4.5540,-1.5930,3.0990,-180.0000,-2.1450,2.0690,0.5820,2.8510,8.9160,3.9620,0.9030,6.0460,-147.1680,-6.7660,3.7550,-1.4270,-2.0830,8.7960,3.5480,6.6640,3.1920,-180.0000,-3.7200,0.5580,0.3130,2.8540,9.1550,2.6580,3.8020,-9.6840,-180.0000,-2.0330,4.6630,0.9030,-1.7530,8.4180,5.2460
40,14.8720,40.8820,16.6150,-0.0900,2.0190,0.0020,2.9860,7.9820,-4.5250,-1.3850,3.2280,-180.0000,-0.9540,2.1760,0.1400,2.2000,9.0240,2.9830,0.9690,5.9580,-147.1680,-3.4230,-2.6880,-2.0070,-2.0950,8.8370,3.3450,7.0180,3.1350,-180.0000,-2.1020,5.0930,-0.9540,1.9270,9.3760,2.5930,3.4960,-9.7620,-180.0000,-0.6740,-6.0700,1.3000,-1.1970,8.3030,5.1040
80,14.3300,40.0800,16.6150,2.4140,-3.4320,2.9330,3.5360,8.2190,-4.6210,-1.5680,3.1570,-180.0000,-0.0990,-2.1300,2.0180,2.7580,9.0960,3.5360,0.9600,5.8170,-147.1680,-3.0870,-0.2600,1.4280,-1.7500,8.8870,3.5430,6.7780,3.0150,-180.0000,-2.3460,-2.7700,1.2900,2.5210,9.2340,2.6860,3.4100,-9.6900,-180.0000,-0.6440,-0.2530,1.8960,-1.1660,8.4730,4.8460
120,14.1490,39.2130,16.6150,-0.2580,2.8740,-0.1050,3.2130,8.0640,-4.6810,-1.3930,3.3750,-180.0000,2.0690,4.0990,1.4370,2.4350,9.1550,3.0810,1.0890,5.8240,-147.1680,-2.0030,0.8540,-0.2360,-1.9630,8.9380,3.3400,6.9210,2.9790,-180.0000,-0.8350,4.1460,0.7250,2.2360,9.2940,2.6580,3.8190,-9.8070,-180.0000,-0.5220,3.6090,1.1320,-1.9900,8.3610,5.2840
160,14.0150,38.4120,16.6150,0.6280,0.0490,0.8260,2.8200,8.0090,-4.7790,-1.5130,3.3940,-180.0000,-2.3430,-2.3430,1.0710,2.5210,9.1430,3.1320,0.9620,5.7440,-147.1680,-3.2850,-4.3670,0.7870,-1.8340,8.8730,3.4210,6.9700,2.8430,-180.0000,-2.0560,0.6350,1.3820,2.1120,9.3110,2.7940,3.8190,-9.8070,-180.0000,-0.5220,3.6090,1.1320,-1.9900,8.3610,5.2840
200,13.4750,37.5640,16.6150,2.7350,-1.5840,2.6120,3.6770,8.2740,-4.6730,-1.7680,3.4330,-180.0000,-0.1290,0.0690,3.1930,3.0860,9.1990,3.3040,0.9840,5.4620,-147.1680,-5.4840,-0.2910,0.0690,-1.8200,8.8150,3.7040,6.5730,2.7880,-180.0000,-3.6130,-1.7770,1.9620,2.8420,9.1650,2.4590,3.7040,-9.5690,-180.0000,-0.0030,2.4490,1.1170,-1.4410,8.5400,5.0830
240,13.1110,36.6540,16.6150,-0.2270,-0.2100,-0.1660,3.3060,8.0040,-4.6810,-1.8050,3.3470,-180.0000,-0.2970,1.4120,-0.6700,2.6480,8.9660,3.4930,0.9630,5.2770,-147.1680,-3.4380,-1.0390,-0.0380,-1.7930,8.8510,3.7210,6.6280,2.7330,-180.0000,-1.8580,2.9250,-0.6340,2.2790,9.3590,2.6740,3.6240,-9.5690,-180.0000,-2.1860,1.0900,0.9800,-1.1160,8.4590,4.8940
280,12.8600,35.7070,16.6150,-0.0430,2.9050,-0.5470,3.3280,8.0850,-4.6400,-1.7310,3.2090,-180.0000,-0.0990,4.5120,-0.3030,2.6740,9.0290,3.6700,1.3760,5.1990,-147.1680,-2.2930,3.0370,0.4360,-2.3990,8.7410,3.5600,6.7270,2.4810,-180.0000,-3.5830,5.4290,-0.0380,2.3250,9.1700,2.9330,3.7830,-9.6380,-180.0000,-3.3460,5.1970,3.2390,-1.3100,8.4320,4.9630
320,12.4430,34.6200,16.6150,1.7430,4.6150,-3.7680,3.7760,8.0970,-4.1680,-1.3990,3.2070,-180.0000,2.9700,9.9010,1.8190,2.4800,8.9850,3.6150,1.7220,5.3010,-146.8550,-3.1630,8.1820,7.8250,-1.9010,9.0190,3.1960,6.9640,2.4700,-180.0000,-0.7130,9.9170,1.3360,2.3490,9.2820,2.6930,4.4990,-9.1030,-179.5810,-7.1480,19.4260,10.4760,-1.4600,9.4120,3.5980
360,11.5660,33.1630,16.2310,11.0410,17.8980,-9.5850,5.9350,8.1120,-2.6260,-0.1780,2.4210,-179.5710,-0.3430,39.2600,10.7350,3.0100,8.7800,5.1710,2.9820,4.8690,-146.1830,-25.5910,50.4570,16.8170,-0.5580,9.6610,2.7170,7.8110,3.1040,-179.6620,-3.2010,29.7490,8.4500,2.5790,9.6940,1.1280,6.6490,-9.1030,-177.7990,-43.2700,75.4110,44.5370,-0.1340,9.6440,1.7650
400,16.3310,35.3590,15.3060,19.1480,107.6990,-23.1270,6.7880,8.7680,-3.6800,4.4930,1.8000,-178.2780,-10.5870,141.2750,32.3230,3.4790,9.1600,4.0680,7.8580,2.1400,-145.4700,-73.2090,138.3350,17.8250,-1.6090,8.7630,3.7920,11.6020,3.1190,-178.6080,-14.3160,126.2680,26.3590,3.6580,9.0640,1.4370,12.7900,-11.5430,-175.4100,-76.2620,159.9910,59.7430,-2.5120,8.6240,4.3810
440,20.4300,34.3410,13.7990,13.5300,161.9740,-37.6920,5.3100,7.5470,-3.8810,10.6420,0.9380,-176.8020,-12.4810,191.2140,36.8880,3.3380,8.7680,4.4150,13.3040,-0.5380,-144.5980,-85.1630,174.0760,21.7950,-0.8550,9.2560,3.3380,18.3020,2.7500,-177.5560,-20.7740,191.3370,26.2980,1.8840,9.7280,1.9060,19.0030,-14.5190,-172.3780,-100.4760,190.9220,75.7890,-1.0750,8.0610,3.7520
480,20.4300,34.3410,13.7990,13.5300,161.9740,-37.6920,5.3100,7.5470,-3.8810,18.1380,0.5270,-175.2540,-7.3810,241.6720,38.7050,3.3760,9.1100,4.0680,20.6760,-4.2750,-144.0040,-100.7360,209.6790,14.8480,-3.1460,8.0180,4.4630,26.2770,1.7340,-176.3690,-25.7810,244.6810,29.6560,2.0780,8.8560,2.8110,19.0030,-14.5190,-172.3780,-100.4760,190.9220,75.7890,-1.0750,8.0610,3.7520
520,32.0050,33.4990,10.0260,17.4530,219.6230,-50.5470,4.6300,7.3890,-4.5150,25.0930,-0.0430,-174.0000,-8.6330,233.6870,31.3460,2.3540,8.7870,4.2740,27.3630,-5.9870,-143.5020,-87.0110,202.0450,12.5580,-3.5550,8.8180,2.0690,34.3370,0.2220,-175.4200,-28.5450,244.4210,23.7330,0.4600,9.1290,4.0130,34.2380,-20.8850,-166.5800,-112.0030,206.1890,75.9720,-3.5000,9.1820,2.2630
560,36.8310,32.9080,9.1970,40.2320,243.0890,-20.7150,6.7850,7.1950,-2.7010,32.9040,-2.0910,-172.1940,-38.1750,267.7330,45.1470,1.9440,8.6380,5.2860,35.2420,-11.0450,-142.7840,-118.9800,242.1210,17.9470,-4.2880,6.6800,6.3950,42.4970,-0.8650,-174.0420,-34.3770,263.6730,34.4500,0.2940,9.0290,2.7200,44.2510,-26.1270,-162.9620,-133.8350,252.6020,90.4450,-5.5810,3.9070,9.3060
600,47.8520,34.4030,7.2130,10.3690,275.5470,-49.6160,0.8380,8.0470,-7.9150,40.6200,-3.4080,-170.6010,-11.1680,256.1600,39.8340,-0.3850,7.5560,5.6550,43.4340,-12.5790,-142.1070,-77.7430,210.1520,16.9090,-8.9300,6.2540,2.6120,54.3140,-1.4290,-172.8290,-15.4300,294.6040,30.3280,-2.4950,8.3250,8.7120,51.1570,-28.8990,-159.1890,-72.0790,174.9220,94.3380,-6.4310,6.6750,7.5730
