timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,0.7220,-2.6910,10.9790,-0.4800,0.5930,-0.3260,3.3160,8.7750,-2.9570,6.6100,-1.4240,-121.0840,-0.6330,-0.6590,-0.2830,0.4310,9.1720,3.9360,-8.4000,14.8830,125.1980,-0.7120,0.8240,-1.0370,-0.4360,8.9060,3.7400,10.8950,-2.2100,34.9200,0.2430,-0.4240,-0.2430,1.4250,9.2900,3.4840,10.2410,-4.8090,125.8950,0.6310,-2.4670,0.9840,-2.3200,8.5830,4.4220
40,0.5740,-2.6020,10.9790,-0.3240,-0.6620,0.6850,3.3780,8.7530,-2.9230,6.5710,-1.4060,-121.0840,-0.2940,0.1380,-0.2520,0.5840,9.0480,4.1950,-8.6230,14.8750,125.1980,-1.9640,-1.9240,0.4750,-0.0100,9.0430,3.6730,10.7090,-2.2300,34.9200,-0.9800,-0.4370,-0.3800,1.4390,9.1480,3.4720,10.1680,-4.7770,125.8950,-0.3160,-0.3600,-0.3290,-2.3390,8.5110,4.3530
80,0.5030,-2.5590,10.9790,-0.3400,0.3000,-0.2460,3.4050,8.7650,-2.9310,6.5490,-1.3950,-121.0840,0.5160,0.1370,-0.2500,0.5510,9.0170,4.2710,-8.6920,14.8360,125.1980,-0.9110,0.3210,0.3530,-0.1460,8.9660,3.8140,10.4720,-2.2830,34.9200,0.0280,-0.3000,0.3070,1.5950,9.2220,3.6770,10.3180,-4.8290,125.8950,-0.2230,2.7870,-1.2440,-2.5880,8.4440,4.5270
120,0.5090,-2.4970,10.9790,-0.0940,1.2450,-0.5960,3.3230,8.7990,-2.9660,6.5120,-1.5370,-121.0840,-1.4860,-0.4890,-0.2030,0.5340,8.9350,4.4320,-8.5790,14.9260,125.1980,-0.3300,0.9010,0.2150,-0.5000,9.0480,3.5960,10.3340,-2.4210,34.9200,-1.8660,-0.0080,0.7640,1.3930,9.1390,3.6820,10.1830,-4.8990,125.8950,-0.8640,-1.3810,0.5430,-2.3220,8.4780,4.5390
160,0.5090,-2.4970,10.9790,-0.0940,1.2450,-0.5960,3.3230,8.7990,-2.9660,6.5120,-1.5370,-121.0840,-1.4860,-0.4890,-0.2030,0.5340,8.9350,4.4320,-8.7020,14.4980,125.1980,-4.7710,-0.6920,0.3360,-0.1240,8.7010,4.2860,10.2030,-2.4330,34.9200,0.8210,0.9990,-0.6410,1.4700,9.1960,3.6660,10.1290,-4.9260,125.8950,0.7540,-0.0830,0.0080,-2.3770,8.4200,4.5630
200,0.3630,-2.4020,10.9790,0.2270,-1.1820,0.0450,3.2970,8.7580,-2.8610,6.4950,-1.2540,-121.0840,0.3150,-0.5050,0.0870,0.2920,9.1630,3.9050,-8.7260,14.8070,125.1980,3.7320,-0.9820,-0.0760,-0.3570,9.0810,3.4960,10.1210,-2.3140,34.9200,-0.0340,-0.4820,0.0460,1.2350,9.3350,3.3260,9.9370,-4.8860,125.8950,0.7660,-1.8850,0.3590,-2.2050,8.4780,4.4290
240,0.4280,-2.3410,10.9790,-1.0400,1.0930,0.4270,3.1770,8.7600,-3.0360,6.6190,-1.3890,-121.0840,-1.6400,1.1930,-0.4330,0.3230,8.9880,4.4100,-8.9290,14.5850,125.1980,-3.2140,-0.7830,0.8710,0.0550,8.9160,4.0370,9.9940,-2.4890,34.9200,-1.8960,0.6050,0.1070,1.4130,9.0760,3.7520,9.7080,-5.0120,125.8950,-1.5550,-2.3430,0.1000,-2.1310,8.3630,4.5610
280,0.2810,-2.3450,10.9790,0.2420,-1.0750,-0.3210,3.4690,8.8030,-2.8040,6.6030,-1.4230,-121.0840,-0.4040,-0.4870,-1.2420,0.4810,9.0170,4.3070,-8.8670,14.4110,125.1980,-2.9850,0.2860,-1.5870,-0.4240,8.8390,3.9430,9.8940,-2.5190,34.9200,0.1350,-0.2200,-0.0610,1.3050,9.2610,3.6850,9.6830,-5.1410,125.8950,0.0330,-0.1290,0.0230,-2.4060,8.3700,4.7380
320,0.1520,-2.3400,10.9790,0.4410,-0.6480,0.5190,3.4550,8.7340,-2.7800,6.5930,-1.6110,-121.0840,-5.5490,0.0930,-1.0890,0.5200,9.0070,4.2190,-8.9210,14.5300,125.1980,0.3430,0.8810,0.7030,-0.1290,9.0600,3.6540,9.9510,-2.5850,34.9200,-3.8510,1.5680,0.7950,1.1010,9.3950,3.4670,9.7500,-5.1820,125.8950,-0.8830,0.5590,1.2140,-2.5640,8.5040,4.5230
360,0.0370,-2.2880,10.9790,0.2860,-2.9500,2.6540,3.3350,8.9690,-2.9740,6.5570,-1.8650,-121.0840,-13.4570,0.2920,-2.6310,0.6080,9.4040,3.8690,-8.9370,13.9960,125.1980,-13.6260,1.5370,-2.4120,-0.1630,9.0070,3.9480,9.9240,-2.7660,34.9200,-7.0880,4.0110,4.4590,1.4650,9.2850,3.4360,9.7770,-5.2270,125.8950,-4.5010,1.7340,2.5270,-2.4040,8.7050,4.3170
