timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,0.8100,0.0680,25.0330,-0.4940,-1.9150,2.3910,4.2880,8.6720,-2.3560,1.1300,-2.5090,-5.5000,0.3110,-1.8390,1.8630,1.8440,8.7030,4.2740,0.3130,4.4140,-4.0400,-2.3080,-1.1020,0.1460,-1.3050,8.8320,3.4840,-6.5040,-3.8920,26.2610,-0.6760,-0.9790,1.9260,3.3400,7.8170,5.2240,-8.9870,-10.0060,53.1310,0.8260,-1.5210,0.4960,-0.4140,6.5390,7.1920
40,0.4990,-0.1560,25.3130,-3.4560,-5.5030,6.9860,4.9870,8.2380,-1.7330,1.2360,-2.4380,-5.5000,-2.6810,-0.6480,1.4050,1.6380,8.6070,4.6020,0.2400,4.6490,-4.0400,-2.7360,-0.7810,1.3070,-1.0510,9.0760,3.2060,-6.3450,-3.8290,26.2610,-4.9360,2.2120,3.7430,3.3300,7.9730,5.0520,-9.0420,-10.0310,53.1310,-2.4410,-1.5660,2.0380,-0.3640,6.3590,7.3770
80,0.7650,0.0390,25.7140,-1.3490,2.9400,10.0240,4.6660,8.6290,-2.5000,1.2250,-2.8420,-5.5000,-8.8490,0.6350,2.7030,2.0160,8.3870,5.1070,0.4650,3.7830,-4.0400,-10.6130,2.7450,-0.1130,-1.4200,8.3800,4.8150,-6.2130,-4.1470,26.2610,-3.1490,3.5250,4.0030,3.5360,7.5150,5.9160,-9.1360,-10.3690,53.1310,-8.2430,-2.0550,2.6640,-0.3110,6.1940,7.5300
120,0.4560,-0.0890,26.0940,-4.3410,-3.7160,9.5050,5.3820,8.5380,-2.0490,1.4110,-3.0740,-5.5000,-3.6430,2.3600,2.8400,1.7410,8.5040,5.3100,0.5110,3.7810,-4.0400,-2.6440,3.2640,3.2150,-1.0200,8.9810,3.8400,-6.0010,-4.3920,26.5170,-1.8520,5.5250,6.4000,3.5270,7.5920,5.9620,-8.8020,-10.6010,53.1310,-4.9910,3.5630,4.3430,-0.8090,6.2990,7.8000
160,-0.0000,-0.2480,26.5090,-8.0360,-6.7390,10.3750,5.3410,8.2030,-2.1600,1.5800,-3.3620,-5.5000,-4.4370,4.2680,2.6570,1.9060,8.4110,5.3630,0.4440,3.0320,-4.0400,-7.3920,1.4780,2.2230,-0.9550,8.6120,5.1000,-6.1430,-4.8400,26.5170,-1.8060,0.1050,3.8650,3.9120,7.3650,6.3970,-8.9590,-11.3120,53.3570,-9.5560,-1.2760,5.6560,-0.1440,5.8510,8.4590
200,-0.1550,-1.0080,26.7290,-20.2800,-4.7240,5.5050,5.6690,9.7230,-4.0700,1.5060,-3.6150,-5.5000,0.1580,1.0770,0.3520,2.1980,8.3340,5.7340,0.6500,2.8230,-4.0400,0.3330,3.4780,0.0550,-1.3720,8.6070,4.5560,-5.9570,-4.9560,26.5170,2.7740,3.6620,1.7280,3.4120,7.5200,6.1270,-8.9310,-11.6360,53.3570,-2.3800,0.4340,0.3890,-0.4050,5.8950,8.2120
240,-1.4110,-3.4900,27.2350,-51.2570,-29.1970,12.6500,4.5800,7.2400,-0.6030,1.5330,-3.2210,-5.5000,5.8380,0.6500,-0.3360,1.8770,8.6480,4.7880,0.5980,3.1050,-4.0400,5.2030,-0.9800,1.8260,-1.1900,8.8800,3.9460,-6.1750,-4.8310,26.5170,3.8430,-3.9260,-1.4320,3.5890,7.5800,5.6240,-8.8280,-12.1440,53.3570,-2.6550,0.6780,2.4960,-0.5530,5.4730,8.3700
280,-1.9450,-4.2830,27.9040,-42.4170,-24.7700,16.7270,4.7740,9.0000,-3.1050,1.1480,-3.3890,-5.5000,2.7230,-6.6630,-1.9690,2.2550,8.3440,5.7270,0.6570,3.2240,-4.0400,2.2260,1.1730,0.0090,-1.2380,8.7150,3.9530,-6.0320,-4.7120,26.5170,5.1710,2.5170,0.3390,3.3450,7.5630,5.7370,-8.9610,-11.6430,53.3570,6.7800,-3.2920,-2.1460,-0.3570,6.4810,7.3480
320,-3.7140,-8.7350,29.5520,-112.8910,-45.3040,41.2000,3.2200,8.9110,-7.6900,1.2020,-2.9500,-5.5000,6.6160,2.0090,-2.7630,1.9580,8.5830,4.6590,0.8270,3.2630,-4.0400,3.9670,2.8980,2.2690,-1.3430,8.5400,4.1970,-6.0020,-4.4550,26.5170,7.7210,-1.3760,0.8580,3.2490,7.6400,5.6460,-8.7930,-11.9070,53.3570,0.9940,2.3420,4.2510,-0.5600,5.7530,8.3220
360,-9.1340,-16.2710,33.4320,-189.9590,-136.5870,96.9860,5.7200,5.5230,0.6420,0.6340,-2.3800,-5.5000,9.5780,-7.5480,-3.9540,2.6120,8.7600,4.6260,0.3750,4.0170,-4.0400,9.0510,-3.5910,2.3450,-0.5460,9.2100,3.2130,-7.0840,-4.0040,26.5170,3.4000,-15.5290,0.2320,4.4720,7.6180,4.6880,-9.0680,-11.6780,53.3570,6.7800,-5.8720,0.1140,-0.2590,6.1480,7.8340
