timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,14.1590,-27.6000,11.0580,0.5740,1.0610,0.6610,5.0880,8.3370,-1.5280,-5.1970,-14.0620,-2.9360,-1.1110,0.5160,0.4290,2.8320,8.2530,4.8890,3.5380,-14.1840,-2.0710,-0.2530,0.7030,-0.1550,-0.2710,8.2030,5.2120,8.0050,-17.8150,-15.4250,-1.5810,-0.8190,0.2900,1.1800,7.8770,6.2150,6.9880,-11.4980,90.2850,-1.6930,0.5830,-1.3730,-2.5470,7.5580,5.9330
40,14.0060,-27.6170,11.0580,1.0010,-1.8550,0.9200,5.4780,8.3030,-1.3860,-5.3560,-14.1350,-2.9360,-0.6230,-1.9420,0.5360,3.1320,8.3680,4.8720,3.4220,-14.4240,-2.0710,-3.4730,-1.5900,0.2580,0.0000,8.0450,5.5380,7.9400,-17.6960,-15.4250,-0.0390,0.0510,0.6570,1.4870,8.0640,5.8160,6.9530,-11.4520,90.2850,-1.3110,0.7200,-0.3660,-2.2120,7.5820,5.8630
80,14.0810,-27.6180,11.0580,0.5430,1.7320,0.6910,5.2100,8.2100,-1.4200,-5.2210,-14.0860,-2.9360,-0.8820,2.4400,-0.5180,2.8040,8.3990,4.5730,3.4600,-14.3010,-2.0710,1.4890,1.3720,0.6400,-0.0840,8.2000,5.2030,8.1210,-17.9500,-15.4250,-3.3830,1.9750,0.0120,1.1010,7.8360,6.3420,7.1810,-11.5960,90.2850,-4.8070,1.6820,-2.3350,-2.7650,7.5510,6.0120
120,13.9110,-27.6400,11.0580,0.7570,-2.2220,1.6840,5.4880,8.2410,-1.3600,-5.3310,-14.3620,-2.9360,-1.4320,-1.4070,0.4590,3.0450,8.1210,5.1760,3.4290,-14.4850,-2.0710,-3.3960,-0.6740,-0.4900,-0.1100,8.0800,5.4420,8.1210,-17.9500,-15.4250,-3.3830,1.9750,0.0120,1.1010,7.8360,6.3420,7.1810,-11.5960,90.2850,-4.8070,1.6820,-2.3350,-2.7650,7.5510,6.0120
160,13.9020,-27.6210,11.0580,-0.4950,0.4810,-0.3930,5.3730,8.2240,-1.5110,-5.3930,-14.3810,-2.9360,0.2630,-0.3080,-0.7010,3.0450,8.3250,4.8390,3.3470,-14.3840,-2.0710,1.9170,-0.6590,0.7160,0.0050,8.1640,5.2940,8.0130,-17.8620,-15.4250,-0.6650,0.1430,0.2110,1.3380,7.8870,6.0840,6.8790,-11.9500,90.2850,-0.4100,1.0710,-0.2130,-2.3800,7.4910,6.0000
200,13.8970,-27.6930,11.0580,-0.2790,-0.8200,0.3420,5.2170,8.2100,-1.3070,-5.2800,-14.1310,-2.9360,0.4450,1.1900,-0.4230,2.7410,8.5110,4.2950,3.3750,-14.2580,-2.0710,0.6650,0.1960,0.4260,-0.1600,8.2550,5.1480,7.9450,-18.1770,-15.4250,-3.4100,-1.5990,0.0420,1.3310,7.6690,6.4120,6.8820,-11.9600,90.2850,-1.3720,-1.2950,-1.3120,-2.4850,7.4770,6.0410
240,13.7820,-27.6980,11.0580,-0.0330,-2.0830,1.2410,5.3800,8.1570,-1.3910,-5.3150,-14.1440,-2.9360,0.0480,-0.3220,-0.4840,2.9760,8.3650,4.8000,3.3320,-14.6440,-2.0710,-4.4530,-0.7820,-0.1100,-0.0890,7.8750,5.7340,7.9500,-18.1230,-15.4250,0.0560,0.2950,-0.0960,1.3260,7.9390,5.9880,6.8680,-11.8030,90.2850,-0.6540,-0.2720,-0.1670,-2.3370,7.5990,5.7560
280,13.9060,-27.4090,11.0580,0.0580,2.2380,0.2180,5.4900,8.4950,-2.0210,-5.2010,-14.1510,-2.9360,-0.3340,1.8020,-0.8940,2.7940,8.3370,4.7330,3.4130,-14.4260,-2.0710,3.1960,1.5230,0.0270,-0.1700,8.1950,5.1600,8.1740,-18.0610,-15.4250,-0.8910,4.5830,0.0120,1.1760,7.9870,5.8950,6.7410,-11.7070,90.2850,3.5470,-4.6370,0.5050,-3.5410,9.4790,5.0800
320,13.7820,-27.7220,11.0580,-10.0030,-5.5790,3.8980,4.9970,7.9890,-1.4770,-5.1520,-14.1700,-2.9360,1.2840,0.9010,0.0990,2.8780,8.3220,4.9110,3.5060,-14.3950,-2.0710,1.6230,-0.2170,0.7450,-0.3570,8.1470,5.4300,8.5260,-17.9670,-15.1820,-8.3110,14.1860,6.0580,1.6350,8.2720,5.2530,6.1500,-11.9420,90.2850,-40.6210,-15.2780,2.5970,-2.1930,8.4010,3.7730
360,13.7810,-27.3300,11.4430,1.6770,-11.2120,9.6080,4.5230,8.4420,-2.0470,-4.9930,-14.1840,-2.9360,-1.4180,4.5650,2.6330,2.8750,8.2890,4.6280,3.6580,-14.1660,-2.0710,0.9210,3.2790,3.4470,-0.2110,8.3130,4.9420,9.7110,-19.0530,-14.8290,-23.4710,30.9040,8.8210,1.0770,7.5370,6.4520,6.1490,-15.3870,91.0180,-100.2240,-22.2250,18.3070,-4.1180,7.6730,5.8390
400,12.5620,-26.7400,12.3180,7.3560,-44.0060,21.8980,4.6180,8.4990,-2.0690,-4.6560,-14.3530,-2.7130,-3.8920,4.9770,5.5640,2.4640,8.1980,4.7380,4.0210,-14.0830,-2.0710,-3.2160,4.9890,4.9580,-0.5550,8.2480,4.8580,10.1210,-19.9110,-14.2600,-27.5470,27.4530,14.2260,2.3460,7.9080,5.8850,5.8120,-19.1800,92.4520,-106.1630,-35.0490,35.8490,-3.8830,6.2750,5.7410
440,10.1320,-26.5790,13.6550,-5.5600,-65.0750,33.4090,5.8060,8.0370,-2.1120,-4.8370,-14.9150,-2.4450,-8.2270,-3.2820,6.6940,2.9540,8.0560,5.2790,3.9620,-14.6720,-1.7480,-11.4910,0.6990,8.0730,-0.0380,8.0250,5.6720,12.4050,-20.5850,-14.0310,-18.4480,54.7820,5.7370,0.2490,7.6230,6.3040,3.0550,-25.9300,94.6280,-150.5600,-54.8820,54.4140,-0.5510,4.7070,9.1240
480,8.3740,-26.1800,14.6440,-13.9870,-59.1510,24.7220,5.5230,8.3370,-3.3400,-4.7360,-14.8980,-2.1710,-4.9300,2.7640,6.8470,2.8250,8.4590,4.4510,4.1660,-14.8300,-1.4330,-4.4070,7.3550,7.8900,-0.0720,8.0850,5.3680,13.6220,-21.5260,-14.0310,-19.0130,43.6670,2.6530,1.3580,7.2740,6.9000,2.7140,-30.9580,96.1730,-114.0100,-27.5530,38.6280,-3.4690,4.5850,9.6370
520,6.0630,-28.3590,15.8530,-58.8580,-58.2510,30.2340,6.4810,7.2860,-1.2620,-5.2720,-15.3260,-2.1710,-8.0590,-7.1600,3.6860,3.4400,8.0640,5.0610,4.2650,-15.1850,-1.4330,-4.9870,7.8440,4.8210,0.1580,7.9630,5.7940,14.4220,-22.4580,-14.0310,-13.9140,43.6210,-2.9810,1.9610,6.5000,6.8930,2.1410,-34.4350,98.8220,-86.7120,-17.1870,66.2150,-0.6700,4.1110,7.1750
560,4.7130,-30.1280,16.5490,-50.2470,-42.1590,17.4090,6.2270,7.6470,-1.1760,-5.2470,-15.7030,-2.1710,-6.0900,1.9240,2.2510,3.0500,8.1880,5.2720,4.3320,-15.4880,-1.4330,-5.0030,4.8820,3.0040,-0.0480,8.0250,5.7560,16.4440,-22.5550,-14.3060,-4.3410,52.1710,-6.8740,-0.2180,7.3140,6.4040,2.6740,-39.5050,100.6170,-111.8720,40.3090,44.8870,0.3930,2.7030,9.3780
600,3.9660,-31.1620,16.9130,-45.9570,-33.3800,9.0890,6.2610,8.1380,-2.0830,-5.4130,-15.9220,-2.1710,-5.1740,-0.9770,1.6250,3.1480,8.0560,4.9370,4.6630,-15.8170,-1.4330,-3.7660,10.0270,2.1800,-0.2320,7.7520,5.8080,18.6420,-22.4880,-14.6750,-2.2650,54.7050,-9.2400,-0.7850,7.8190,6.6080,4.3050,-44.5260,101.9470,-114.5750,55.9120,33.2380,-0.9170,2.5040,10.9700
640,3.9130,-33.6900,17.2530,-73.4990,-19.7010,8.4930,5.4900,7.7140,-0.9170,-5.5340,-15.9390,-2.1710,-2.9140,-0.9000,1.1670,3.1320,8.3290,4.8430,4.8250,-15.7550,-1.4330,0.4480,7.8590,1.7520,-0.0960,7.9970,5.4040,20.3650,-22.5170,-15.1700,6.1620,46.8120,-12.3550,-0.8070,7.6900,7.8220,4.3050,-44.5260,101.9470,-114.5750,55.9120,33.2380,-0.9170,2.5040,10.9700
680,4.0060,-35.2790,17.7920,-60.0940,-13.1670,13.4860,5.8970,7.7570,-1.3480,-5.4810,-16.1640,-2.1710,-4.7620,0.8550,0.3730,2.8900,8.1740,5.1160,4.8490,-15.6260,-1.4330,-0.4990,9.5230,2.7910,0.2900,7.8360,5.0250,21.3140,-22.4930,-15.6300,-0.2650,29.7280,-11.5150,-0.7130,7.4360,6.6100,3.2050,-51.2710,104.6470,-66.5590,12.0190,29.2380,0.8070,1.5870,10.4600
720,4.1510,-38.0070,18.2350,-79.1780,-14.9070,11.0730,5.4300,7.6140,-0.3060,-5.5100,-16.1130,-2.1710,-3.5710,0.4740,1.1520,3.0670,8.4800,4.7500,5.0690,-15.7890,-1.4330,-2.8350,7.1870,0.8210,-0.3420,7.8120,5.5280,22.0810,-22.1890,-16.1300,8.9410,23.5450,-12.4920,-1.0340,7.5680,6.9140,3.2760,-53.8560,105.5350,-56.0560,13.8360,22.2150,-1.0700,0.8710,10.3910
