timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-0.0040,-0.2490,0.0000,-0.9360,-0.2550,0.4290,8.9350,1.4960,-3.9580,-0.0980,-3.9390,123.1180,1.0740,0.3140,-0.1290,2.3890,8.7220,4.5060,0.1640,-2.5430,-1.8860,-4.4620,0.2800,-0.6840,-2.6290,7.9150,4.9370,-0.2910,1.3040,-137.2270,-1.5940,-0.2560,-0.1240,2.4880,8.5500,4.3690,-5.5810,11.3890,87.9100,-2.1420,-1.3940,0.2080,-0.8710,8.8470,4.2380
40,-0.1340,-0.2740,0.0000,-1.1500,-1.0340,1.4680,8.9420,1.3720,-3.6870,-0.0600,-3.8790,123.1180,0.6930,0.3910,-0.2810,2.3200,8.7200,4.4480,0.2040,-2.3010,-1.8860,3.7210,-0.9720,-0.5470,-2.7030,8.2100,4.5110,-0.3190,1.3700,-137.2270,0.2990,-0.6830,-0.0480,2.5740,8.7650,4.1040,-5.5990,11.4470,87.9100,0.1940,-0.2340,0.0250,-0.9890,8.9420,4.1400
80,-0.0640,-0.2940,0.0000,-0.3410,-0.5450,0.2310,8.9280,1.5470,-4.0770,-0.0580,-4.0600,123.1180,-0.3030,0.0990,0.4680,2.3800,8.5260,4.8510,0.2080,-2.5080,-1.8860,-3.6220,0.0210,-0.1340,-2.5450,8.0560,4.8220,-0.3050,1.3040,-137.2270,-1.7940,0.1600,0.6240,2.5520,8.7150,4.2040,-5.5770,11.3700,87.9100,-2.2650,-0.0340,0.3610,-1.0530,8.8630,4.2040
120,-0.0190,-0.2110,0.0000,1.1730,0.9840,-0.7930,9.0330,1.4530,-3.9530,-0.1020,-4.0400,123.1180,0.4010,-0.0090,0.0080,2.4850,8.7170,4.5370,0.1460,-2.3660,-1.8860,0.4690,0.4790,1.1020,-2.3730,8.3130,4.5130,-0.3240,1.4990,-137.2270,0.6800,-1.1530,0.2120,2.5230,8.9060,3.8930,-5.4330,11.5440,87.9100,1.2770,1.0040,0.0400,-1.2710,9.1480,4.0510
160,0.0760,-0.2020,0.0000,1.4170,0.7400,0.7490,8.7700,1.5350,-3.9550,0.0000,-4.0990,123.1180,-0.7290,0.8460,0.3440,2.2150,8.6670,4.6020,0.1300,-2.2030,-1.8860,0.8050,-1.2160,-1.2950,-2.5880,8.2240,4.4270,-0.2420,1.4390,-137.2270,-1.2290,0.8010,-0.0170,2.4520,8.7100,4.2260,-5.3120,11.4540,87.9100,-2.2800,0.9280,-0.4030,-1.2280,8.9540,4.2690
200,-0.0270,-0.1390,0.0000,-1.1330,-1.6720,2.2910,9.1670,1.3740,-3.9380,0.0560,-4.1660,123.1180,0.7370,0.7090,-0.4500,2.3180,8.6650,4.7670,0.1420,-2.5590,-1.8860,-4.7220,0.4330,0.3390,-2.5310,7.9770,5.0370,-0.3520,1.2400,-137.2270,-1.6110,-1.0310,0.5170,2.7170,8.5430,4.4560,-5.4630,11.2250,87.9100,-2.8450,-1.6830,0.2840,-0.8380,8.7460,4.4770
240,-0.1510,-0.1310,0.0000,-1.1790,-1.2450,-0.2890,9.0450,1.3670,-3.7710,0.1410,-4.2380,123.1180,0.0650,0.9990,-0.4960,2.2390,8.5660,4.6730,0.0810,-2.1840,-1.8860,5.9040,-1.1400,-0.5160,-2.5120,8.3530,4.4680,-0.2940,1.3760,-137.2270,0.6800,0.5110,-0.3680,2.5020,8.8800,4.0340,-5.3590,11.2880,87.9100,0.2690,1.1410,-0.1890,-1.1780,9.0690,4.2230
280,-0.1470,-0.1900,0.0000,-2.1100,-0.8940,-2.0600,9.0380,1.4870,-4.0080,0.0930,-4.1690,123.1180,1.5150,0.9070,0.1450,2.5430,8.7080,4.5350,0.1400,-2.5360,-1.8860,-3.9120,1.6540,1.1630,-2.5500,8.0110,5.1160,-0.2290,1.2480,-137.2270,-2.0260,0.9820,0.6720,2.4950,8.6480,4.3050,-5.3520,11.1200,87.9100,-2.4480,0.1950,0.7270,-1.0300,8.7840,4.4080
320,-0.1400,-0.0260,0.0000,1.8140,0.9690,-2.3200,9.0210,1.3620,-3.8670,0.1050,-4.0960,123.1180,2.4920,3.1520,0.0080,2.5950,8.6530,4.5780,0.1810,-2.5140,-1.8860,1.2480,1.9750,0.6590,-2.4660,8.1090,4.7670,-0.2020,1.3910,-137.2270,-1.1710,1.1190,0.5500,2.5880,8.8780,3.8520,-5.3460,11.4000,87.9100,0.6660,1.2180,0.7270,-0.9650,9.2850,3.8330
360,-0.0130,0.0930,0.0000,4.1500,1.9460,-3.6790,8.8820,1.5230,-3.9670,0.3350,-4.2060,123.1180,0.7370,6.4490,-0.0530,2.3510,8.5020,4.7790,0.2780,-2.2750,-1.8860,1.3090,5.1050,1.6370,-2.3560,8.3920,4.3910,-0.0110,1.4200,-137.2270,-3.6750,6.0960,2.2290,2.6290,8.8630,3.8830,-5.2170,11.5210,87.9100,-2.4640,5.1870,1.6890,-0.9070,9.1940,3.8670
