timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-0.1260,-15.6180,0.3560,0.5580,-1.7150,-0.4780,4.6900,8.4230,-2.7890,-1.3550,-1.9040,-22.1930,0.6370,-0.0060,-0.8590,2.3060,8.6530,4.5250,-0.7960,13.4820,-14.7810,0.8850,0.4070,-0.1670,-0.4070,8.3050,4.8360,-2.4790,-1.1610,-180.0000,1.1480,1.6370,-1.2350,2.4440,8.5310,4.6930,-6.2360,-0.2800,-178.7390,0.7090,1.7350,-0.1920,-2.1930,7.7280,5.8420
40,-0.0590,-15.6320,0.3560,0.3910,0.4530,-1.5160,4.3380,8.2500,-2.7610,-1.3040,-1.6300,-22.1930,1.1410,0.2530,0.0410,2.1840,8.9210,4.0490,-0.8600,13.4660,-14.7810,0.8960,-1.0910,1.2080,-0.0720,8.4040,5.0180,-2.7200,-1.3770,-180.0000,-2.1350,-1.9050,0.7650,2.9380,8.1520,4.9780,-6.4980,-0.3280,-178.7390,-0.9550,-3.4250,0.5110,-1.8460,7.5730,5.8180
80,-0.0560,-15.6040,0.3560,0.0390,-0.6310,0.6520,4.4680,8.3700,-2.9160,-1.4050,-1.6620,-22.1930,-0.4770,-1.2280,-0.3250,2.4060,8.6930,4.5110,-0.9980,13.5650,-14.7810,1.5530,-1.7630,1.4520,0.0430,8.4400,4.8080,-2.8990,-1.2220,-180.0000,1.5300,-1.9820,0.2760,2.8510,8.4900,4.6140,-6.5020,-0.2380,-178.7390,1.0750,-0.3260,-0.7570,-2.1640,7.7620,5.7990
120,-0.1290,-15.5740,0.3560,0.1310,-0.9480,-0.6490,4.5900,8.2960,-2.8900,-1.4850,-1.7160,-22.1930,-0.1260,-0.8000,-0.8140,2.4160,8.6840,4.5990,-0.9800,13.7210,-14.7810,0.7130,-0.0220,-0.5320,-0.1410,8.5900,4.6520,-2.8540,-1.1600,-180.0000,-1.2490,0.6900,-0.1510,2.5980,8.5780,4.6110,-6.5020,-0.2380,-178.7390,1.0750,-0.3260,-0.7570,-2.1640,7.7620,5.7990
160,-0.1490,-15.6280,0.3560,-0.0220,0.3950,-0.1150,4.5590,8.2790,-2.7250,-1.4390,-1.8770,-22.1930,-1.5610,0.0850,-0.4170,2.1930,8.5780,4.6850,-0.8610,13.0980,-14.7810,-5.6110,-0.8160,-0.8050,-0.4310,7.9440,5.6550,-2.8450,-1.4890,-180.0000,-2.7300,0.6600,-1.0980,2.6530,8.1310,5.2050,-6.3970,-0.5360,-178.7390,-1.2910,-0.4780,-0.2680,-2.0780,7.3380,6.0760
200,-0.2060,-15.6750,0.3560,-0.5410,-1.6370,-0.0380,4.4630,8.2650,-2.7680,-1.4540,-1.8590,-22.1930,0.6220,-1.8990,-0.6610,2.1740,8.7220,4.5370,-1.0010,13.4330,-14.7810,3.6100,-1.7010,0.4780,0.0570,8.6450,4.5730,-2.7690,-1.3040,-180.0000,-0.2720,1.3310,-1.4640,2.5690,8.6290,4.4650,-6.3620,-0.4490,-178.7390,0.8920,0.3000,0.2970,-2.2050,7.7240,5.7890
240,-0.2660,-15.6900,0.3560,-0.4030,-1.0270,-0.7860,4.5510,8.2770,-2.8230,-1.4180,-1.7260,-22.1930,0.7130,0.2840,0.1030,2.2310,8.7650,4.2760,-0.9160,13.4610,-14.7810,-4.7110,0.9700,-1.6600,-0.2040,8.5590,4.4800,-2.4350,-1.2920,-180.0000,-7.8600,2.9340,1.6350,2.1070,8.8080,4.2710,-6.3760,-0.5520,-178.7390,-7.0060,-0.4650,0.5090,-2.1640,7.8700,5.6070
280,-0.3290,-15.6950,0.3560,1.1540,-1.6830,0.3130,4.5660,8.4130,-2.7650,-1.3730,-1.7500,-22.1930,-2.0690,1.0000,0.2390,2.2720,8.7290,4.3770,-1.1340,13.2920,-14.7810,-17.6110,0.1000,-4.1630,0.3810,8.8820,3.9650,-2.4730,-1.3600,-179.6560,-29.0510,2.0180,8.5970,2.9040,9.5050,2.8750,-6.6790,-1.0320,-178.7390,-21.3260,-6.3580,1.4710,-2.0280,8.1690,5.4420
320,-0.3200,-15.5770,0.3560,-0.3120,-4.2480,3.7180,4.1850,8.3440,-3.1220,-1.5680,-2.1850,-22.1930,-7.8400,-2.9390,-0.5390,2.5520,8.7510,4.9010,-1.0030,11.4840,-15.5890,-59.4740,10.4360,-20.1940,0.4690,8.6430,4.1490,-1.7920,-4.3010,-178.5560,-88.9590,12.2320,27.5130,1.9700,8.4420,4.1010,-7.9590,-3.2200,-178.9860,-56.5780,-19.2590,-6.1630,-0.9100,8.2310,6.8040
360,-0.5410,-15.5460,0.5690,-0.4030,-5.9890,5.3210,4.7600,8.6670,-3.0670,-1.4760,-3.0630,-22.3970,-21.4280,5.4120,-5.0890,2.6190,8.7360,4.8150,-0.0400,7.0220,-17.3110,-120.9090,27.2300,-43.0340,-0.0340,7.8290,5.0210,-2.4980,-8.6910,-176.9950,-117.2490,23.5760,39.0090,5.6120,6.6820,4.5630,-8.1250,-6.3330,-179.4970,-78.1960,-3.6100,-12.7730,-2.7130,3.5890,6.2680
