timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-0.4170,8.6340,-25.8220,-1.1480,0.4500,-1.0010,2.4680,7.9540,-5.2270,2.4000,2.8210,-7.4190,-3.9420,1.5720,-0.5430,0.3620,8.0730,5.7290,-2.4230,10.5700,-61.3350,-4.8810,2.3270,-1.9660,-0.2830,8.2360,5.1620,9.0740,5.2300,-129.1370,-0.9980,1.0470,1.4260,1.6810,8.4730,5.0800,13.8830,9.3620,-46.5830,-2.9310,2.2960,0.0710,-3.5960,7.5630,5.1830
40,-0.5160,8.6180,-25.8220,-0.0490,0.6180,-1.4590,2.7220,8.0370,-5.3010,2.5390,2.7820,-7.4190,-1.6060,2.4570,-0.7870,0.5360,8.5380,5.1980,-2.2800,10.5940,-61.3350,-1.6130,0.1890,1.1790,-0.5390,8.4440,4.7090,9.0740,5.2300,-129.1370,-0.9980,1.0470,1.4260,1.6810,8.4730,5.0800,13.8830,9.3620,-46.5830,-2.9310,2.2960,0.0710,-3.5960,7.5630,5.1830
80,-0.4720,8.5530,-25.8220,-0.9190,0.5570,-0.2990,2.3850,7.9560,-5.1950,2.4530,2.8080,-7.4190,-1.9570,-0.1690,-0.1760,0.8070,8.6530,5.0710,-2.2740,10.5480,-61.3350,-2.3000,-0.3600,1.5910,-0.2990,8.4750,4.8430,9.1140,5.1670,-129.1370,-2.1120,1.3520,-0.3750,1.4050,8.5310,5.0350,14.0310,9.1520,-46.5830,-1.3890,1.6540,-1.9750,-3.8240,7.5300,5.2220
120,-0.6320,8.4310,-25.8220,-0.7970,-0.6340,1.9450,2.7560,7.9820,-5.0370,2.2400,2.7270,-7.4190,-0.8580,-2.4890,0.5720,0.9220,8.5430,5.4090,-2.3810,10.3510,-61.3350,-3.4300,0.0370,0.2480,-0.0170,8.3750,5.0780,8.8550,5.1310,-129.1370,-0.3260,-1.9610,1.5640,2.1930,8.4710,4.9150,13.7820,9.4230,-46.5830,1.4360,-1.1240,0.7420,-3.2730,7.9700,4.4990
160,-0.6070,8.4080,-25.8220,0.3020,1.5340,-1.4900,2.6100,8.0880,-5.2290,2.4480,2.8470,-7.4190,-1.7590,3.2970,-0.9860,0.4690,8.6910,4.8910,-2.2970,10.4070,-61.3350,-2.5140,1.2120,-1.2640,-0.3300,8.5310,4.6420,8.9950,4.9700,-129.1370,-2.3570,2.1160,-0.5130,1.6500,8.4950,5.0710,13.9770,9.4970,-46.5830,0.6720,2.4020,-2.7390,-4.0320,7.8650,4.8100
200,-0.6000,8.3560,-25.8220,-0.7210,0.0530,1.1660,2.4950,7.9300,-5.1430,2.4500,2.6040,-7.4190,-3.1330,-0.9020,-2.0080,0.5580,8.3800,5.5260,-2.1940,10.1460,-61.3350,-3.4450,-1.1390,-0.1950,-0.5750,8.1980,5.1710,9.0470,4.9650,-129.1370,-0.6930,0.7420,-0.2230,1.6900,8.5430,4.8820,13.9140,9.4800,-46.5830,-0.4570,0.4020,-0.1890,-3.5910,7.7640,4.8600
240,-0.5870,8.3250,-25.8220,0.8060,0.8620,-0.8640,2.6050,8.0760,-5.1310,2.3840,2.6720,-7.4190,-1.3930,-0.2300,0.1900,0.7730,8.6620,5.0850,-2.3630,10.2930,-61.3350,-0.0260,-0.8950,1.0870,0.0360,8.5860,4.7170,8.9020,4.8060,-129.1370,-2.1430,-0.3420,1.5640,2.0350,8.4490,5.0970,13.9360,9.3590,-46.5830,-3.2950,0.3390,-0.5700,-3.7590,7.6780,4.8080
280,-0.5650,8.2910,-25.8220,0.3780,0.0380,0.4490,2.5120,8.0010,-5.1090,2.5750,2.6480,-7.4190,-4.2320,2.4720,-1.9170,0.4210,8.6050,5.0180,-2.2680,9.8950,-61.3350,-8.1020,1.6550,-2.6990,-0.3180,8.2620,5.1480,8.8530,4.7460,-129.1370,-1.4710,-1.2740,0.9530,1.7360,8.5380,4.9850,13.9610,9.3570,-46.5830,1.4230,0.4310,-1.1350,-3.8020,7.6810,4.9680
320,-0.6370,8.2840,-25.8220,0.5140,-2.6040,1.4700,2.5210,7.9680,-5.1330,2.4430,1.9550,-7.4190,-15.5760,-1.0850,-3.7340,0.8400,8.4300,5.5980,-2.1950,9.6860,-61.3350,-6.4680,-0.1770,-1.4470,-0.4310,8.3130,4.9180,8.8810,4.6800,-129.1370,-5.1350,1.5510,1.6090,1.7860,8.6330,4.7210,13.9230,9.3770,-46.5830,0.3390,0.7520,0.9110,-3.5410,7.5610,4.7380
360,-0.9970,8.2480,-25.5770,0.2080,-8.9090,6.1260,2.7130,8.0760,-5.1520,2.7540,1.2030,-7.6280,-26.4310,6.1210,-5.2300,0.4450,8.6530,4.9610,-2.3900,9.4370,-61.3350,-11.8420,-1.0320,3.1330,0.0790,8.4750,4.6540,9.5910,4.4000,-129.1370,-30.8300,16.1310,3.0900,1.3810,8.9590,3.1290,13.6280,8.9430,-46.5830,-3.0200,2.4310,0.4840,-2.8630,7.3170,5.3850
400,-1.8080,8.1980,-25.1970,0.2080,-17.9170,9.5000,3.1680,8.3290,-5.2670,2.9950,-0.8230,-7.8950,-52.1250,8.3050,-6.6800,0.7420,8.2050,5.7340,-2.2820,7.9610,-61.3350,-37.7660,8.6170,-3.2330,0.2230,8.1450,5.2150,10.2680,2.0510,-128.4510,-61.8530,30.1310,17.1510,2.4900,8.0640,5.0250,14.4670,8.3110,-46.5830,-11.1730,22.9350,-2.3870,-3.7300,7.4240,5.2620
440,-2.7940,7.1540,-24.8890,-23.5930,-26.0690,7.6990,3.0070,8.4130,-5.0040,4.5440,-4.0370,-8.3080,-67.0410,28.0910,-10.3290,-0.6420,7.2760,7.3500,-1.5600,5.5200,-61.6110,-72.9420,17.3650,-6.8970,-0.4380,8.1330,4.6520,14.7640,-2.7740,-128.6660,-120.3870,107.8870,-5.3830,2.0090,7.8050,1.1010,15.0940,8.2280,-46.5830,-1.5090,14.7520,3.4150,-4.1160,10.0100,4.7960
480,-4.9360,6.0480,-24.3950,-27.5780,-49.1080,12.3400,3.7370,7.8750,-4.6970,3.3010,-5.0380,-8.1030,-49.2700,-5.4970,5.1370,2.8730,9.2920,4.9510,-0.3160,0.7180,-61.9600,-120.5910,24.2050,-8.7140,-1.1830,7.4840,6.3250,20.7090,-8.4170,-127.9640,-140.8300,144.1160,17.5480,-3.5430,6.5460,8.9520,14.1390,8.4150,-46.7880,-17.8750,-9.7680,-5.1190,-2.7960,8.5780,3.6320
520,-4.3940,6.0650,-24.0710,-13.6540,-13.9020,8.0960,1.0750,7.6710,-5.9090,6.7480,-8.2430,-9.2480,-113.6220,67.5110,-28.6340,-1.4650,7.5320,3.8710,-0.0310,-3.1340,-61.9600,-126.7740,11.4870,-1.5230,-0.2630,7.8790,4.4940,20.5610,-13.6460,-126.3580,-105.2420,27.2910,40.1590,1.9130,5.3750,9.1890,14.7370,6.2090,-47.5440,-27.8600,-3.0650,-18.9210,-5.3820,5.8350,6.4120
560,-4.0980,6.0400,-23.3800,-3.6540,-17.1840,17.2710,1.3650,8.2840,-5.1830,7.5130,-14.0820,-10.4100,-115.4380,11.2210,-29.0310,-1.0010,4.8310,10.0480,-0.0300,-9.9260,-62.4330,-147.6440,-5.7340,-11.8290,-1.1610,4.6930,8.9040,20.7510,-15.5050,-124.7130,-67.2270,11.2610,41.1210,-0.0740,6.9670,6.2870,14.3850,7.1440,-47.5440,-4.3180,-11.5390,-1.9590,-4.2380,8.6720,3.4480
600,-5.0400,5.9990,-22.7590,-2.0510,-34.5580,15.5460,2.8010,8.4520,-5.0710,6.9700,-16.9410,-10.6520,-80.7510,-10.3520,-6.0690,0.1460,6.3880,6.9860,-0.1830,-14.1200,-62.4330,-96.3620,-7.6880,3.2860,-0.9290,4.9660,8.4230,21.4320,-17.9930,-122.1250,-100.0510,18.7110,64.6930,-0.5270,7.3500,5.6340,13.7440,5.5710,-47.0520,-31.2190,-15.1720,12.3160,-3.6200,6.8400,5.7030
640,-6.3350,5.8260,-22.5340,-2.7080,-30.9550,5.6070,4.0680,8.1910,-4.6300,7.4810,-22.5870,-11.3670,-128.7670,-3.0390,-17.8560,-1.5870,4.5200,9.1750,-0.2640,-17.4970,-61.9510,-81.0330,-0.9560,12.0490,-0.5030,4.8840,8.5540,18.5540,-25.6950,-119.6710,-149.3490,-8.9230,61.3500,4.7570,1.6590,9.6560,12.6610,3.6380,-46.6950,-28.9740,-16.1950,8.9260,-2.6980,6.2440,6.6440
680,-5.9850,5.8920,-22.5340,-5.4860,-26.6500,0.3400,0.9030,7.9580,-5.3180,6.0600,-26.9460,-11.9890,-115.7890,-33.2680,-15.5500,0.2630,5.1330,8.4440,-0.3770,-20.9860,-61.9510,-86.1320,-5.0780,1.1480,-0.7280,4.3310,8.3560,17.5450,-29.6800,-117.7790,-129.4710,-4.2200,47.3190,1.2670,5.4540,7.0170,11.6290,3.6660,-46.6950,-11.4780,-30.6530,1.5980,-4.0700,8.1980,5.1360
720,-6.7660,5.9900,-22.1900,-4.8140,-47.1080,8.6150,1.8030,8.0660,-5.3990,4.4920,-31.5600,-12.8590,-136.2630,-38.2300,-21.7640,0.3880,5.0010,7.6040,-1.7130,-23.4650,-61.9510,-89.5520,-17.8110,-4.4240,0.8520,5.5280,6.8980,16.8500,-36.5710,-116.3510,-164.5400,6.3140,35.7010,1.7670,2.5120,9.9290,8.4460,1.7520,-46.6950,-16.3640,-44.3320,-4.6610,-0.1870,5.7600,8.0040
760,-7.2780,5.8470,-21.1060,-13.3340,-37.7640,27.0880,2.2150,8.0350,-5.5670,2.5420,-39.3130,-14.4630,-194.4770,-49.0240,-40.0850,0.2540,0.9650,11.8060,-2.5560,-29.8830,-62.9220,-161.5680,-20.7720,-24.2870,0.9790,3.7680,6.5960,17.2230,-44.2190,-114.6320,-191.3490,9.8560,42.9680,-1.0580,3.0310,4.3340,6.5450,1.5460,-47.3130,-3.9210,-47.1570,-15.4550,-5.4560,9.5500,2.7510
800,-7.6960,5.5220,-19.5960,-19.5930,-46.5120,37.7600,1.5060,8.4900,-5.9590,2.6020,-44.2290,-15.6670,-139.9270,-6.8250,-30.1150,0.0190,2.6120,8.0900,-2.9900,-40.6790,-64.3240,-251.3390,-14.5890,-35.0500,-0.4240,-0.0600,9.3690,17.1100,-57.1210,-111.1600,-322.7080,-2.2810,86.7850,2.9470,-2.8440,13.4150,6.2330,-2.0050,-46.4340,-57.6000,-49.0040,21.9800,-4.9580,4.1710,6.2900
840,-8.1460,5.1990,-18.8290,-14.3560,-32.6190,19.1640,2.7840,8.0540,-5.0450,-0.1060,-50.9890,-17.0530,-170.1560,-68.2600,-34.6340,1.3430,0.1410,11.5040,-3.9140,-50.0910,-65.5660,-228.7130,-27.3980,-31.0350,-0.3280,-0.7400,10.0530,19.9690,-66.1200,-109.4670,-225.1350,72.0240,42.3420,-0.3500,-2.0420,11.2930,5.1280,-2.2770,-46.0740,-9.7680,-46.6530,9.0030,-4.1200,7.5370,6.7060
880,-8.5670,4.6870,-18.2570,-13.4400,-34.7570,14.3090,2.4230,7.5560,-4.1440,-1.0180,-56.0760,-18.4950,-128.5220,-29.7260,-36.0540,0.8450,-0.2080,10.3260,-5.1160,-58.7350,-66.8130,-215.9950,-31.4750,-31.1720,0.1100,-1.5920,9.1720,22.4460,-74.6650,-109.0960,-220.5860,82.4210,9.2580,0.1240,-2.8320,8.7600,2.5140,-1.2840,-45.3610,-14.5010,-71.7680,17.8270,-2.3510,8.6140,3.9770
