timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-29.9970,-12.2910,18.0030,0.4500,-0.0810,-2.0420,6.4950,7.0920,2.9640,-0.5720,-22.7530,-5.2920,2.5380,0.4250,0.6670,-1.4870,6.8000,7.2090,-28.9770,-141.1430,-65.9520,0.5400,0.3660,0.5470,-0.1240,-9.9170,1.6860,37.0790,-172.3470,-12.2110,1.2760,-1.5020,-0.5280,-3.3040,-8.9500,-2.0250,41.2270,-151.6800,23.8170,1.0420,-1.2750,-1.0080,-4.7330,-8.3920,-0.6850
40,-29.9070,-12.2680,18.0030,0.1910,1.5840,-0.7750,6.3330,7.0770,2.9590,-0.5430,-22.6680,-5.2920,1.2250,0.7450,-0.1730,-1.6500,6.7520,7.1230,-28.9780,-141.0670,-65.9520,2.1410,-0.0170,0.4530,-0.1050,-9.7440,1.6880,37.0400,-172.2890,-12.2110,0.6650,-1.2280,-0.1920,-3.3110,-8.9040,-1.9560,41.1730,-151.5950,23.8170,0.5990,-0.9850,-0.5960,-4.7050,-8.4010,-0.5460
80,-29.8970,-12.1970,18.0030,0.7100,0.4540,-1.1720,6.4240,7.0960,2.9110,-0.6090,-22.6300,-5.2920,1.4700,0.2410,0.4680,-1.4990,6.7420,7.2810,-28.9430,-141.0520,-65.9520,0.6900,0.2880,0.8190,-0.1580,-9.7780,1.6880,36.9880,-172.2410,-12.2110,0.8330,-1.5940,-0.3150,-3.2820,-8.8350,-1.9700,41.0960,-151.5390,23.8170,0.6900,-1.3210,-0.6870,-4.6280,-8.3250,-0.5940
120,-29.9020,-12.1720,18.0030,0.2210,0.1330,-0.6070,6.3570,7.0030,2.9140,-0.5640,-22.5230,-5.2920,0.8130,0.5160,-0.5700,-1.6970,6.7900,7.0170,-28.9340,-140.9800,-65.9520,1.4540,0.2270,0.3000,-0.1050,-9.6680,1.7380,36.9620,-172.1430,-12.2110,0.7110,-0.4030,-0.2840,-3.2470,-8.9110,-1.8630,41.0550,-151.4980,23.8170,0.5220,-0.1760,-0.5500,-4.6280,-8.3820,-0.6110
160,-29.8810,-12.1900,18.0030,-0.3450,-0.2950,-0.8790,6.2940,7.0560,2.9740,-0.6080,-22.5310,-5.2920,-0.3930,-0.5520,-0.7990,-1.6110,6.7640,7.2020,-28.9400,-140.9540,-65.9520,0.9350,0.2570,0.2540,-0.0690,-9.7080,1.6930,36.9850,-172.1120,-12.2110,0.3410,0.5610,-0.2520,-3.2940,-8.9520,-1.9750,41.0730,-151.4500,23.8170,0.3210,0.6490,-0.4710,-4.6970,-8.3940,-0.5770
200,-29.8380,-12.2140,18.0030,-0.3280,0.0270,-0.4160,6.3210,7.1230,3.0140,-0.6350,-22.4020,-5.2920,2.4010,0.1800,-0.5550,-1.5750,6.7920,7.1250,-28.9130,-140.9300,-65.9520,0.2780,0.2420,0.1170,-0.1410,-9.7320,1.7550,37.0420,-172.0370,-12.2110,1.0260,0.0080,-0.0070,-3.4000,-8.8850,-1.9180,41.1330,-151.3410,23.8170,1.1750,0.3860,-0.6210,-4.7520,-8.2620,-0.5100
240,-29.8170,-12.2630,18.0030,-0.2040,0.2250,-0.9490,6.3330,7.0270,3.0310,-0.5820,-22.4000,-5.2920,-0.1940,0.5010,-0.9520,-1.7310,6.7590,7.1630,-28.8170,-140.9080,-65.9520,1.2540,1.5850,0.0400,-0.1870,-9.6990,1.6640,37.0570,-172.0340,-12.2110,0.3240,-0.0220,0.0700,-3.3060,-8.8660,-2.0020,41.1380,-151.3480,23.8170,0.3200,-0.0410,-0.1940,-4.6950,-8.3100,-0.6610
280,-29.8630,-12.3170,18.0030,-0.5080,-0.2950,0.0790,6.4400,7.0010,3.0120,-0.6520,-22.5050,-5.2920,0.6300,-0.7200,-0.1730,-1.5710,6.5860,7.4340,-28.8160,-140.9060,-65.9520,0.3070,-0.3240,0.9100,-0.1440,-9.6730,1.6970,37.1210,-172.0190,-12.2110,0.0780,0.0690,-0.5410,-3.4140,-8.8750,-1.9560,41.2240,-151.2720,23.8170,-0.0330,0.4480,-0.8340,-4.8460,-8.3150,-0.4790
320,-29.8000,-12.3480,18.0030,0.4560,0.6380,-1.3720,6.2490,7.0150,3.0450,-0.6580,-22.3730,-5.2920,2.2910,-0.2130,0.7900,-1.6540,6.8070,7.1060,-28.7750,-140.9530,-65.9520,0.5210,0.7910,-0.8000,-0.1410,-9.8520,1.5990,37.0910,-171.9750,-12.2110,1.2690,-1.1060,-1.0580,-3.3110,-8.8900,-1.9920,41.1680,-151.2350,23.8170,0.9290,-1.0200,-1.4860,-4.6970,-8.4160,-0.6200
360,-29.7440,-12.2690,18.0030,0.8070,-0.1860,-1.7380,6.2300,7.1490,2.9210,-0.8000,-22.2770,-5.2920,1.8180,-0.9920,0.4540,-1.4080,6.8070,7.1400,-28.7850,-140.8880,-65.9520,1.7120,-0.1860,0.5440,-0.1080,-9.6580,1.7170,37.1020,-171.9010,-12.2110,0.9630,0.0230,-1.3170,-3.3210,-8.9610,-1.9110,41.1230,-151.2060,23.8170,0.4860,0.1250,-1.5930,-4.6090,-8.4230,-0.6010
