timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-3.6500,1.9530,-94.7310,1.0540,-3.7490,5.8850,3.8140,8.6170,-3.2850,-8.2770,-3.7370,-91.4170,0.3070,0.2060,-0.1950,1.5950,9.5890,2.5640,-11.6820,158.8120,-35.6950,-2.5800,-0.2900,-2.4490,-1.8670,9.3350,2.2700,-7.7650,2.6940,-118.8170,-3.8090,1.7050,-0.5800,3.5190,8.9970,1.6280,-16.1470,-2.3010,68.3060,0.3980,-0.9940,-1.0190,1.3500,9.2320,3.7230
40,-4.4720,1.8820,-94.4640,0.2450,-11.4130,6.6790,4.1400,8.4400,-3.0050,-8.3590,-3.6890,-91.4170,-0.5040,0.6170,-0.4080,1.9300,9.4810,2.9830,-11.7870,158.5970,-35.6950,-4.6710,0.6110,-1.1050,-1.6230,9.3130,2.5980,-8.1660,2.7840,-118.8170,-4.5420,-6.4930,1.0080,4.0050,9.0550,0.8910,-15.8680,-2.2340,68.3060,-0.2890,5.3880,-0.5920,1.4510,9.1580,3.5510
80,-4.2330,1.9140,-94.1870,-3.6480,1.6400,6.9230,2.9400,8.5470,-3.6150,-8.0350,-3.4420,-91.4170,-1.6640,2.9530,-2.3320,1.1680,9.4310,2.4230,-11.7750,158.5260,-35.6950,-3.8620,-2.7170,-1.2120,-2.0970,9.2010,2.3490,-7.6680,2.7750,-118.8170,-2.2060,5.2470,-0.8700,3.0020,9.2180,1.3100,-15.9580,-2.1240,68.3060,-0.2590,-2.0780,-1.2180,1.6110,9.2850,3.5100
120,-5.4250,2.1220,-93.4780,3.2530,-20.8330,17.7330,4.3570,8.7150,-3.5220,-8.3180,-3.5530,-91.4170,-2.3510,-3.2150,-0.0870,2.0250,9.4240,3.1940,-11.9120,158.1840,-35.6950,-6.3660,-1.8780,-1.2890,-1.7000,9.2850,2.7990,-7.6120,2.7940,-118.8170,-3.3810,-3.9130,0.5500,3.1720,9.3060,1.1850,-15.9750,-2.0720,68.3060,-1.8620,0.8840,-0.8510,1.7140,9.4120,3.5650
160,-5.3200,2.0460,-93.2390,-7.3580,4.2970,5.9770,3.5000,8.4370,-3.7130,-8.1220,-3.4330,-91.4170,-3.0230,4.4490,-2.0720,1.5990,9.5500,2.6650,-11.7140,157.7820,-35.6950,-8.4880,0.6260,-3.0600,-2.1280,8.9300,2.7100,-7.8810,2.8240,-118.8170,-3.0760,-0.6770,2.9320,4.1850,9.1750,1.1850,-15.7910,-2.2300,68.3060,-1.6480,4.0440,-0.7900,1.4630,9.0170,3.9550
200,-5.7840,2.1640,-92.8300,2.3060,-9.5960,10.2210,3.5870,8.6620,-3.4330,-8.1160,-3.2850,-91.4170,-0.9930,-1.3830,-2.0570,1.4990,9.5070,2.7770,-12.1980,157.5850,-35.6950,-4.4420,-5.8780,-2.5250,-1.2260,9.4450,2.8080,-7.5260,2.6740,-118.8170,-1.8390,2.9270,-1.8930,3.0020,9.1080,1.6640,-15.8130,-1.8670,68.3060,-0.1670,-0.6730,-1.7820,1.4840,9.3800,3.0190
240,-6.2900,2.1370,-92.3540,2.2300,-6.4510,11.8850,3.9260,8.5980,-3.1320,-8.0780,-3.3910,-91.4170,-7.0540,6.3880,-3.4460,2.1120,9.5790,2.8710,-12.0620,156.8080,-36.3560,-21.8160,10.5650,-16.5250,-1.1730,9.5170,2.7250,-7.6480,2.8030,-118.8170,-8.0070,1.1710,0.2910,3.9380,9.2920,0.6390,-15.6950,-1.9530,68.3060,-10.7630,12.9450,0.2480,2.2310,9.0240,3.0120
280,-5.6810,2.1800,-91.5630,-6.0600,6.5560,19.7780,2.6220,8.8130,-4.1230,-7.2730,-3.8200,-91.9410,-13.4660,20.0370,-13.0950,1.4720,9.5240,3.1080,-11.5880,155.6420,-37.6330,-41.6640,17.3440,-31.9300,-1.3840,9.6030,2.1000,-6.9600,2.1480,-118.8170,-31.3050,25.5070,-4.5030,4.1610,9.3420,0.4930,-14.4930,-2.3410,68.0150,-27.6630,44.6860,-7.2940,2.4610,9.5650,2.4900
320,-6.6690,1.6570,-89.3820,-15.0380,-11.2000,54.5420,4.3600,8.0850,-3.2820,-6.0640,-4.5780,-92.6990,-29.0690,30.6930,-18.9580,1.3120,9.7400,2.6840,-10.8270,153.1510,-39.6780,-66.6560,18.0920,-51.1210,-1.9700,8.8990,3.0570,-4.5860,0.2240,-119.1360,-64.8470,61.4610,-7.9840,3.2440,9.7440,0.7370,-11.7090,-4.5220,66.7160,-59.8310,86.1210,-32.4540,1.9870,8.7750,3.7590
360,-8.1000,0.8030,-87.3550,-14.2280,-4.8940,50.6790,6.3400,8.3990,-2.5640,-5.4040,-6.8780,-93.7630,-57.2520,27.4110,-26.6060,2.1210,9.4090,3.9770,-10.8270,153.1510,-39.6780,-66.6560,18.0920,-51.1210,-1.9700,8.8990,3.0570,-1.8810,-3.8170,-119.1360,-105.6870,78.9420,-4.9000,3.3020,8.8150,2.2740,-7.0030,-6.8390,65.3000,-69.4650,116.3040,-35.4010,-0.3140,8.9590,3.7450
