timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,25.7070,11.0300,38.1250,6.9640,-10.0440,3.0100,1.8320,10.1130,-1.9970,9.9380,0.1940,25.3370,-7.8120,-3.2520,-2.4780,-0.5340,9.7680,1.9030,-9.2080,-7.8050,38.6640,-11.3110,-0.7740,-2.9720,-2.9710,8.9350,2.3060,8.2230,0.8650,14.6770,-2.7520,4.9830,6.9000,2.7410,9.4830,1.2350,-2.7510,-5.3540,20.6480,-5.3020,5.6680,-0.3760,0.2870,9.5940,3.0650
40,25.3050,11.0260,38.1250,0.0480,-12.1970,3.9260,0.5910,9.5500,-2.0160,10.1570,0.1660,25.3370,-7.4000,3.8010,1.1560,-0.6560,9.8160,1.3310,-9.3840,-7.8610,38.6640,-8.8830,-2.5450,1.6390,-2.4950,9.4430,1.4870,8.4960,0.8670,14.6770,-6.5230,5.0440,4.8080,2.4680,9.7080,1.1520,-2.2620,-5.6670,20.6480,-5.8970,8.8740,4.8300,0.0070,9.2300,3.6560
80,22.3980,10.1800,38.6380,-4.0130,-41.9530,12.8420,3.5980,8.9850,-0.4810,10.1030,-0.0030,25.3370,-9.8270,-1.0690,1.3390,-0.5120,9.9650,1.5300,-9.4210,-8.9440,38.3610,-23.5090,-4.8810,-7.5820,-2.9070,8.9450,2.5140,8.4930,0.4970,15.1760,-14.5080,6.6930,12.4880,3.0930,9.4710,1.3410,-2.0700,-5.8970,20.6480,-12.2180,6.9360,3.8530,0.3900,9.5620,3.1080
120,21.0410,10.3120,38.6380,4.9800,-33.1890,-3.2960,1.5300,10.8480,-2.1190,9.6400,-0.8950,25.3370,-22.6670,-7.5880,-2.3710,-0.1440,10.0480,2.2170,-9.6000,-10.2860,37.8070,-37.2650,0.8740,-13.8420,-2.2070,9.5720,2.3390,9.9890,-1.1230,16.0280,-38.6910,39.1060,21.2820,2.4400,9.8880,2.3490,-1.9080,-6.5760,21.0010,-24.1870,14.7070,8.8150,1.0370,9.6130,3.2390
160,18.4640,8.2230,41.9760,-61.6160,-88.0600,83.4370,-8.3560,10.1870,-8.3610,9.0260,-3.4320,24.3540,-68.2700,-11.4350,-24.5690,-0.0740,10.3690,2.3970,-7.9350,-13.5190,36.1770,-86.0590,12.5690,-40.7580,-4.9780,7.9850,2.3650,10.6780,-3.0890,16.8010,-56.1870,27.1360,19.3430,2.7530,9.2030,1.8270,1.4500,-9.0200,21.7450,-53.1640,73.7140,18.6010,-1.3890,8.6620,4.7380
200,8.7430,7.6520,47.5070,-14.1960,-239.6930,138.2770,3.1220,8.4250,-1.4370,9.9590,-4.9880,23.2810,-63.4300,-1.4510,-26.8130,-2.6000,9.4670,0.8930,-8.9540,-14.6010,35.5420,-41.8750,-18.6830,-15.8880,-1.9970,9.0090,2.1260,10.6990,-5.0020,17.1840,-58.5380,17.4570,9.5570,3.0720,8.6330,1.7840,0.6530,-10.2520,21.7450,-37.0880,-16.1480,3.7770,-0.1030,9.1630,3.9190
240,3.2050,8.8400,50.4410,20.5980,-161.2200,73.3610,5.4970,10.1010,-3.6030,8.4710,-6.3620,22.6360,-42.4070,-42.0310,-16.1420,-0.6560,9.1530,2.4900,-9.6350,-15.2030,35.2020,-31.7990,-12.4540,-8.4830,-2.1520,9.3370,2.2220,12.9620,-5.8000,18.0620,-32.8440,85.1210,21.9540,3.7040,9.0070,1.8750,-1.6470,-10.1130,22.1800,-35.9890,-36.9580,10.8760,1.7910,10.6760,1.3790
280,-0.6440,9.8500,54.6590,-8.2720,-157.2660,105.4520,0.2590,8.1330,-4.0030,7.9250,-9.1480,22.1260,-60.3310,-19.2980,-12.7520,-0.6680,8.8660,4.4480,-8.9430,-18.1600,34.4410,-77.7990,6.7980,-19.0330,-3.4310,8.3920,3.5600,15.9140,-7.8490,18.8460,-42.9660,82.0060,19.6180,1.4960,9.1840,4.1490,-0.8180,-13.3910,23.3700,-93.1340,28.2940,29.7610,0.3110,8.9590,4.1800
320,-7.8970,10.2310,58.2370,-0.3330,-205.2660,89.4370,8.0350,9.4240,1.4530,7.3690,-10.4860,21.5270,-59.6590,-24.7180,-14.9660,-1.0060,9.6920,1.8720,-9.3880,-20.7960,33.4420,-62.1810,-25.1260,-24.9870,-3.4740,7.6090,4.3050,14.8530,-10.7360,19.5480,-73.4690,10.2200,17.5410,3.8280,8.4110,3.5100,-1.8810,-18.9880,23.3700,-111.8670,-24.1180,0.4940,0.0120,6.4930,7.6850
360,-9.1120,11.0050,58.9200,17.9110,-91.2960,17.0860,1.8170,8.6240,-2.1430,4.7040,-14.8050,20.5690,-82.5600,-70.7020,-23.9580,0.0240,7.6730,6.5770,-9.4400,-23.3290,32.8480,-79.5090,-4.3010,-14.8490,-2.7270,8.7100,3.6220,16.0800,-12.8050,20.2030,-64.0650,65.8080,16.3660,3.3090,8.5860,3.0530,-4.2680,-21.6850,24.5850,-98.9050,-39.6900,30.3570,1.7720,8.6670,3.7900
