timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-1.4650,-1.1500,-1.3040,-5.7650,-4.6180,2.3680,5.3730,7.9150,-2.2480,-7.6820,-3.4410,-79.7740,-3.0480,-2.8610,-6.8340,1.6810,8.8440,4.3450,0.7750,-1.1000,-1.9220,-2.5810,-2.2730,-7.0510,-2.1740,8.6360,3.6270,-2.8000,-3.3870,-121.2480,-4.3530,-7.5800,-5.3070,1.5440,8.7600,4.0650,-3.4020,-2.3440,94.8520,0.1340,-5.6830,-7.2080,-2.7370,8.7460,2.8830
40,-1.2350,-1.5150,-1.3040,-6.1470,3.5190,2.2610,5.0520,7.8290,-2.1280,-7.5240,-3.4380,-79.7740,-2.4070,1.7500,-3.8720,1.4560,9.0500,4.1350,0.9400,-1.0550,-1.9220,-2.9930,-1.3720,-4.5630,-2.4250,8.7530,3.4760,-2.4460,-3.5070,-121.2480,-4.5970,1.6570,-4.8490,0.7590,8.8350,4.6280,-2.8170,-2.3780,94.4730,-4.0340,5.0350,-9.4670,-4.0650,8.8270,3.2440
80,-1.1960,-1.6900,-1.3040,-4.1320,2.4660,4.4750,5.5950,8.0520,-2.3730,-7.5120,-3.9120,-79.7740,-4.2850,0.1460,-2.4220,1.6420,8.6810,4.9970,1.0010,-1.5180,-1.9220,-5.5270,-1.8610,-3.6930,-2.2580,8.4230,4.3050,-2.2460,-3.8530,-121.2480,-5.8640,0.5120,-2.1310,0.9700,8.6740,5.0350,-2.6370,-2.5550,94.2610,-5.0110,-0.6440,-5.2990,-3.6580,8.7270,3.4640
120,-1.2610,-1.8080,-1.3040,-1.0330,3.6870,2.6270,5.9020,7.9580,-2.2100,-7.3010,-4.2060,-79.7740,-1.7660,4.7720,-0.9410,1.5710,8.7390,4.8750,1.0740,-1.7420,-1.9220,-3.7260,0.5670,-1.3570,-2.1090,8.6450,4.0680,-2.0060,-4.0470,-121.2480,-3.6350,2.4970,-0.7420,1.0180,8.7390,4.9460,-2.3830,-2.7500,94.2610,-4.4920,1.8900,-2.0320,-3.6180,8.6480,3.5480
160,-1.0460,-1.7550,-1.3040,0.0360,7.8550,-0.4570,5.5020,7.8310,-2.4180,-6.9920,-4.3380,-79.7740,-0.5290,7.1390,-0.4060,1.4940,8.7650,4.6350,1.2500,-2.1100,-1.9220,-5.3900,4.2610,0.2460,-2.0250,8.4640,4.2110,-1.7120,-4.3180,-121.2480,-3.9860,5.4740,0.9070,1.0920,8.5330,5.0280,-2.0580,-3.1170,94.2610,-5.7130,3.6760,1.2660,-3.6730,8.5310,3.8260
200,-1.0160,-1.7790,-1.3040,0.3570,3.8090,-0.5020,5.5500,7.8890,-2.2700,-6.9990,-4.3870,-79.7740,1.4100,2.9100,0.3420,1.8200,8.8180,4.6520,1.4350,-2.1520,-1.9220,-2.5350,4.4440,0.1090,-2.0690,8.6720,3.8430,-1.5820,-4.3830,-121.2480,-0.9330,2.3740,0.8460,1.1640,8.6930,4.9250,-1.9600,-3.2850,94.2610,-2.8280,1.4620,2.5790,-3.3520,8.5430,3.6700
240,-0.9410,-1.8010,-1.3040,0.6770,6.2520,-1.5100,5.6260,7.8530,-2.2410,-6.5050,-4.4530,-79.7740,1.0430,8.6350,-0.2080,1.1320,8.7510,4.6330,1.7430,-2.3560,-1.9220,-2.3670,4.7040,0.6590,-2.3490,8.4540,4.1540,-1.2850,-4.4190,-121.2480,-0.7800,5.6720,0.7540,1.0250,8.6530,4.8510,-2.2650,-2.9840,94.5720,-1.2250,-3.4080,7.7850,-2.9760,9.2300,3.0120
280,-0.8100,-1.7600,-1.3040,2.5250,3.7630,-2.2120,5.2620,7.9490,-2.2600,-6.4500,-4.3470,-79.7740,3.6240,2.9710,1.4100,1.5900,8.8750,4.5110,1.8790,-2.2880,-1.9220,0.6410,2.1090,1.1320,-2.2190,8.5740,3.8570,-0.9970,-4.4500,-121.2480,0.4870,3.7180,1.6400,0.8310,8.6310,4.9510,-2.4830,-3.0650,94.8600,-1.3920,-1.4990,7.2050,-2.8370,8.5400,3.5870
320,-0.7600,-1.7640,-1.3040,0.9520,3.5500,-1.8310,5.3630,7.8430,-2.2670,-6.2910,-4.2660,-79.7740,1.1500,4.8790,0.2650,1.4750,8.8320,4.3020,2.0250,-2.2390,-1.9220,-1.0690,2.0170,0.4750,-2.2630,8.5690,3.7450,-0.8820,-4.3780,-121.2480,0.1820,2.5420,1.5330,1.0730,8.7050,4.7000,-2.2970,-3.0750,94.8600,-1.2400,4.6530,-0.1240,-3.2440,8.6380,3.4910
360,-0.6830,-1.7560,-1.3040,0.9370,3.6110,-0.6550,5.3530,7.9510,-2.3270,-6.2360,-4.2880,-79.7740,1.2720,3.4290,0.7230,1.5920,8.9140,4.6060,2.0780,-2.3180,-1.9220,-2.2600,2.0930,0.4300,-2.1140,8.6670,3.9840,-0.8010,-4.3990,-121.2480,-1.0550,2.1300,1.3800,1.0890,8.6690,4.7910,-2.1040,-3.1130,94.8600,-2.3540,4.5920,-2.1540,-3.3380,8.7290,3.5030
