timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,10.9470,14.0780,-161.5380,-0.7230,1.5550,2.1570,6.2400,7.6380,-2.0270,11.1270,-19.2000,163.8480,-2.1380,0.2960,1.8030,2.6290,8.1740,5.5930,-11.2130,-17.0700,101.8910,-5.6350,-0.7500,-0.3080,-3.4280,7.3550,5.4610,4.1470,-28.0360,80.6840,-5.5140,10.2170,-7.3720,2.7940,7.6690,5.7390,3.1890,-35.2130,80.5360,-4.3580,-1.9940,2.8190,-4.0200,7.1830,5.0350
40,10.8480,14.3580,-161.5380,-0.3870,-0.7810,2.6000,6.3660,7.5230,-1.6990,11.0810,-19.6590,163.8480,-4.0000,-1.2310,-2.0900,1.7960,7.7020,5.8710,-11.3890,-17.2490,101.8910,-1.8800,0.0440,-2.7510,-4.1280,7.1730,4.7290,6.4830,-28.4930,79.8900,-4.9340,35.0420,-19.8450,-1.3100,8.3840,6.0140,2.7350,-35.4550,80.5360,-6.4340,-6.5280,0.8960,-4.4480,7.3380,4.8480
80,11.0070,14.5770,-161.5380,2.6360,6.4250,-1.7360,6.4720,7.7130,-1.4720,11.2390,-19.5610,163.8480,2.2900,5.0440,-0.5640,1.8480,8.3390,5.6240,-11.6770,-17.1410,101.8910,0.9140,2.4260,-0.7510,-3.8070,7.6710,4.7520,6.5670,-28.9040,79.8900,-4.5060,5.4690,-1.4030,0.9770,8.0660,5.9060,2.5700,-35.9090,80.5360,-5.6560,0.4340,0.5290,-4.5730,7.0940,5.4590
120,11.0870,14.8350,-161.5380,1.4150,-0.3990,1.5770,5.9060,7.7080,-1.6700,11.7180,-19.8610,163.8480,-3.4360,7.8380,-2.1360,1.1780,7.7600,5.8200,-11.3250,-17.4890,101.8910,-5.4670,4.0440,-4.7970,-4.9060,6.8860,4.8530,6.5960,-28.9830,79.8900,0.4400,-0.0420,-2.0590,0.5650,8.1280,5.7320,2.8320,-36.4780,80.5360,-5.9000,5.2280,-4.1120,-5.1210,6.6870,5.6190
160,10.8500,14.9980,-161.5380,4.0410,0.0740,1.8970,6.6220,7.5250,-1.3360,11.3700,-19.8250,163.8480,0.9920,-3.8570,2.5200,1.9800,8.1620,5.7990,-11.7730,-17.2210,101.8910,0.4260,-2.0630,3.5700,-3.7900,7.6850,4.5970,6.8250,-29.0030,79.8900,-4.4450,7.8050,1.2540,0.7300,8.5310,5.4710,2.4370,-36.0560,80.5360,0.9400,-2.9550,-0.1580,-4.3310,7.5010,4.6140
200,11.1280,15.5180,-161.5380,6.7730,4.6850,1.2560,5.9230,7.8150,-1.9050,11.5780,-20.1630,163.8480,-4.6570,7.8680,4.0620,1.6450,7.8340,6.1240,-11.5580,-17.9220,101.8910,-12.1240,4.3040,-2.7660,-4.6640,6.8910,5.3610,7.1520,-29.5460,79.8900,-2.5830,8.4160,0.1240,0.4570,7.5680,6.5820,2.7200,-36.1400,80.5360,-10.6630,5.8690,-1.8370,-5.1160,7.2400,4.7020
240,10.7090,15.6420,-161.5380,3.9800,-1.6210,0.6300,6.7760,7.4090,-1.3670,11.1460,-20.2580,163.8480,0.0760,-2.2840,3.4670,2.1500,7.8720,6.1320,-11.8010,-18.0700,101.8910,-5.4980,0.0750,4.9890,-4.0100,7.2620,5.0920,6.5540,-29.3120,79.8900,0.4100,-3.9200,3.2230,1.4290,8.3530,5.4780,2.7580,-35.8850,80.5360,4.0700,2.5100,0.9110,-4.9730,7.0630,5.2340
280,10.7720,16.0970,-161.5380,13.4300,6.0740,-2.0260,6.2200,7.4270,-1.3750,10.9810,-20.3100,163.8480,-1.9240,5.4870,3.7570,2.1760,7.9770,5.9950,-12.0600,-18.0750,101.8910,-6.0170,2.0600,0.1040,-3.7710,7.4220,4.9390,6.2920,-29.4840,79.8900,-11.4380,11.8510,0.1390,1.9630,8.0420,5.2670,2.5280,-35.7560,80.5360,-3.4880,4.6780,3.7350,-4.1490,7.2330,5.0570
320,11.0400,16.7850,-161.5380,20.8040,8.5630,-2.5450,5.9230,7.5330,-1.4100,11.0650,-20.2850,163.8480,-7.5880,11.0590,3.4210,1.9610,8.1240,5.4280,-11.7570,-18.4340,101.6750,-20.4600,8.4410,-5.3920,-4.2950,7.1590,4.4630,7.6130,-29.5160,79.8900,-20.8730,37.9880,-1.3260,0.5510,8.5980,4.5060,2.6190,-35.8130,80.5360,-20.6330,10.8000,2.6820,-4.1320,7.1950,4.1080
360,11.3480,17.5020,-161.5380,31.0940,19.1580,-1.9350,6.4860,7.2040,-0.8740,11.6740,-20.9140,163.8480,-41.7100,19.6240,0.7650,1.2640,8.0280,3.9890,-11.3320,-18.9930,101.1320,-50.4290,16.6400,-13.5910,-3.8470,7.7380,2.9980,10.7120,-30.2710,80.2430,-74.0790,74.7820,8.8420,-0.6250,9.1340,1.9940,2.7040,-35.4510,80.5360,-42.0070,11.0900,1.6440,-4.5590,8.7840,2.3460
