timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,6.6560,13.0000,-6.0470,-0.8210,-3.8180,0.7530,3.4140,8.8320,-3.5480,-5.3810,8.1540,3.3040,-0.9160,-0.4090,-1.3350,1.0610,9.4950,2.5620,8.2810,-7.5990,10.0740,0.0080,0.2210,-2.2900,-4.2980,8.4750,2.4110,1.5550,-1.2070,-8.2060,-0.9580,-4.1730,0.3050,0.6780,9.1220,3.9430,0.4530,7.8270,-4.9990,1.6600,-1.0070,-0.9530,-3.8810,9.2320,1.5630
40,6.8030,13.0300,-6.0470,-1.3710,0.4260,-0.3770,2.8830,8.7030,-3.9100,-5.4330,8.2060,3.3040,-0.1370,-0.5160,-0.2820,1.2810,9.4910,2.3440,8.4080,-7.6780,10.0740,-1.1370,0.7400,-1.6640,-4.1060,8.3270,2.6020,1.7230,-1.4740,-8.2060,-1.3850,0.8340,1.3130,0.1150,8.6930,4.7690,0.6980,7.5960,-4.9990,-2.1270,1.5880,-2.0830,-4.1780,8.6650,2.1140
80,6.9420,13.0650,-6.0470,-1.2950,0.0600,-0.2240,2.8730,8.7680,-3.9430,-5.5850,8.2240,3.3040,-1.9840,-2.4830,0.2390,1.3580,9.5720,2.2820,8.4140,-7.7220,10.0740,-1.2900,-0.4350,-1.3590,-4.0010,8.4730,2.5760,1.3390,-1.4360,-8.2060,-1.6750,-5.0130,3.7860,0.8430,8.8710,4.1040,0.5800,7.8270,-4.9990,0.3470,-0.2280,-0.6940,-3.6700,9.2370,1.4700
120,6.6600,12.9150,-6.0470,-0.2570,-2.5820,0.1580,3.5630,8.7580,-3.4190,-5.6490,8.1350,3.3040,-1.4500,0.0210,-1.0290,1.3890,9.4860,2.5550,8.3780,-7.6700,10.0740,0.0540,-1.2600,-1.4350,-4.0150,8.5930,2.5210,1.6180,-1.3550,-8.4580,-1.1410,3.4150,-6.2910,0.1200,9.1600,4.1800,0.3630,8.2240,-4.9990,2.6350,-1.3110,-1.0420,-3.5770,9.4380,1.2980
160,6.6750,12.9030,-6.0470,-1.1120,-0.6580,-0.3460,3.0910,8.7290,-3.7850,-5.6590,8.1710,3.3040,1.0850,-0.8190,-0.1890,1.2070,9.5380,2.5090,8.4840,-8.0420,10.0740,-3.6250,0.0530,-2.7630,-4.1660,8.2550,3.0170,1.5930,-1.6270,-8.4580,-3.1110,-0.2800,-0.8100,0.4530,8.6550,4.6300,0.6720,7.7730,-4.9990,-3.5480,2.4900,-1.9580,-4.2090,8.5230,2.3800
200,6.7060,12.8200,-6.0470,-0.6540,-0.2920,-1.3840,3.0550,8.7150,-3.5700,-5.6030,8.1340,3.3040,0.3820,0.5250,-0.5710,1.1610,9.4310,2.5810,8.4690,-8.0750,10.0740,-1.3960,-0.9850,-0.4120,-3.9980,8.4470,2.5860,1.7440,-1.5920,-8.4580,0.1570,1.6280,-1.7710,0.2250,8.9660,4.3600,0.6190,7.8180,-4.9990,0.2840,-0.1970,-0.2020,-3.7680,9.0380,1.8080
240,6.7480,12.8400,-6.0470,-0.8670,-1.7720,-0.9260,2.8830,8.5950,-3.7660,-5.6020,8.3300,3.3040,2.8080,-0.9740,-0.0330,1.1610,9.5700,2.2910,8.5940,-8.2660,10.0740,-4.2510,0.5110,-2.5340,-4.1590,8.3250,2.6650,1.7280,-1.7650,-8.4580,-0.4540,0.1630,0.3510,0.4550,8.6360,4.6520,0.8070,7.7040,-4.9990,-0.5120,1.5140,-0.5520,-4.1180,8.7940,2.0230
280,6.9620,12.8690,-6.0470,-0.7910,0.5330,-1.6280,2.7320,8.7530,-3.8520,-5.5640,8.2820,3.3040,1.6780,1.6370,-0.7970,1.2950,9.4430,2.6930,8.4630,-8.0620,10.0740,-3.0450,-1.4430,-1.0840,-3.8120,8.6670,2.0610,1.3300,-1.5980,-8.4580,-0.5280,-2.1590,1.8760,1.1320,9.0260,4.0150,0.7890,7.5860,-4.9990,-1.4890,0.5370,0.4710,-3.7280,8.8060,1.9680
320,6.9650,12.9810,-6.0470,0.4760,-1.4520,-3.9950,3.0330,8.7320,-3.9310,-5.1590,8.1910,3.3040,3.8160,8.5530,-4.2010,1.0340,9.3730,2.9570,7.3900,-7.6360,9.5050,-27.3810,-16.2830,-14.2440,-2.9860,9.2180,-0.2060,1.7900,-1.6090,-8.7520,-4.9250,9.3980,-7.3610,0.2130,9.2750,4.1440,0.8510,7.6790,-4.9990,1.2440,1.9420,0.3950,-3.8590,8.9950,1.7910
360,7.0270,13.0970,-6.0470,-1.6610,-3.1010,-3.1860,2.8080,8.8350,-4.1920,-4.2950,7.8110,2.9810,-7.0850,21.9270,-8.0640,1.0010,9.0290,2.5930,6.4260,-11.7230,7.4530,-104.2970,-29.3970,-51.2980,-3.9100,7.9340,2.9880,3.1870,-2.0560,-9.2060,-19.3980,28.0700,-11.3460,-0.4380,9.4860,4.0030,1.0020,7.6880,-4.9990,-6.9390,8.9950,0.9590,-3.5150,9.2300,1.3530
