timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,6.6970,14.5240,40.8290,1.0890,-4.9260,-0.6140,4.1200,8.8370,-1.6660,-2.4260,7.7220,171.7200,0.4140,4.4870,-0.5830,1.3720,9.4450,2.3850,-12.4640,7.6760,178.5850,-2.7250,-0.8860,-3.4400,-3.4020,9.0840,0.6660,0.5920,17.3710,115.5500,-0.9700,-0.3550,-0.4140,2.0210,9.6200,1.0750,-15.4690,12.3610,180.0000,0.0660,-1.5520,1.7530,0.0170,10.0680,1.0630
40,7.1350,14.5580,40.8290,1.5320,7.3790,-2.0190,3.4210,9.0260,-2.3700,-2.4800,8.1290,171.7200,4.4750,-0.4290,-0.4300,1.3500,9.8190,1.6570,-12.1210,7.8630,178.5850,0.2830,2.4730,-2.2800,-3.8570,8.9520,0.4190,0.6750,17.1970,115.5500,1.4120,2.5770,-2.2610,1.6070,9.4210,1.8340,-15.2730,12.1490,180.0000,1.5930,3.9590,-1.3760,-0.7950,9.5290,2.1840
80,6.4420,14.0920,40.8290,-1.5060,-9.0640,0.8660,4.3620,8.7100,-1.5540,-2.5740,7.4560,171.7200,-5.4790,1.4640,0.5010,1.5540,9.1840,3.0890,-12.4820,7.6920,178.5850,-4.9840,-6.3060,-1.0740,-3.1080,9.2920,0.7660,0.4420,17.5980,115.5500,-0.5880,-3.9580,-0.1240,1.8200,10.0940,0.4620,-15.6290,12.7280,180.0000,4.4780,-2.1630,0.4400,-0.1220,10.5060,0.7450
120,6.7130,13.9600,40.8290,2.1890,6.9210,-0.7210,3.6850,9.0740,-2.0540,-2.3390,7.4730,171.7200,0.9480,4.7010,-1.2390,1.0750,9.4710,2.2340,-11.9580,7.5810,178.3280,-5.7170,1.6480,-6.4180,-4.1990,8.7200,0.5720,0.5030,17.2470,115.5500,-2.0380,4.5920,-1.3450,1.7720,9.3470,1.8940,-15.6360,12.4400,180.0000,-2.4070,4.1270,-1.0560,-0.3450,9.5670,1.9460
160,6.5990,13.6750,40.8290,-0.1470,0.6000,0.1180,3.8160,8.7960,-1.9060,-2.3690,7.6550,171.7200,2.3370,1.4340,0.0890,1.3840,9.7830,2.0520,-11.5260,7.1940,178.3280,-6.5570,1.2970,-4.1430,-4.0440,8.6720,1.0820,0.5530,17.0810,115.5500,0.3430,0.8970,-0.2150,1.4840,9.6290,1.7720,-15.7340,12.5270,180.0000,2.2800,1.0740,-0.4600,-0.4260,9.9000,1.5710
200,6.2090,13.2290,40.8290,0.2660,-2.3490,-0.3860,4.1990,8.8990,-1.5870,-2.2610,7.4490,171.7200,-1.7540,3.7550,-0.4610,1.2090,9.3850,2.4880,-11.5300,7.5100,178.3280,-0.6640,-4.7790,0.3760,-3.7110,9.0760,0.1820,0.6090,17.2080,115.5500,1.4870,1.1220,0.4120,1.4750,9.8500,1.2500,-15.7300,12.4970,180.0000,0.1270,2.4930,0.3030,-0.5460,9.9020,1.6300
240,6.1850,12.9560,40.8290,1.6860,1.7270,-1.3940,3.7250,8.9850,-1.8700,-2.6810,7.4140,171.7200,4.0630,-2.2450,1.7990,1.8960,9.5070,2.6600,-11.1270,6.4640,178.3280,-8.5720,1.0220,-4.8450,-4.0050,8.4780,2.2550,0.2360,16.8460,115.5500,-0.1470,-2.4810,1.0680,2.0490,9.3250,2.0970,-15.8610,12.4760,180.0000,4.0350,0.1120,0.4250,-0.4450,9.6320,1.8820
280,5.4630,12.5060,40.8290,0.5100,-6.1960,0.3010,4.5610,8.7800,-1.5800,-2.5170,7.7210,171.7200,2.7950,6.8080,-1.1930,1.3620,9.7320,1.8220,-11.1450,6.9080,178.3280,1.7330,2.1670,3.2770,-3.1910,9.4520,0.2040,0.3110,17.1720,115.5500,2.8610,4.7250,0.4730,1.7360,9.9570,0.9410,-16.1330,12.0550,180.0000,-3.6900,1.1190,3.3870,-0.0480,9.5620,2.1070
320,5.7400,12.4200,40.8290,1.6400,5.6510,-3.4240,3.3660,8.9450,-2.3030,-2.5170,7.7210,171.7200,2.7950,6.8080,-1.1930,1.3620,9.7320,1.8220,-10.5300,6.5130,178.0010,-5.8240,2.4120,-8.1730,-4.3020,8.4710,1.2260,0.3110,17.1720,115.5500,2.8610,4.7250,0.4730,1.7360,9.9570,0.9410,-16.1330,12.0550,180.0000,-3.6900,1.1190,3.3870,-0.0480,9.5620,2.1070
360,5.7400,12.4200,40.8290,1.6400,5.6510,-3.4240,3.3660,8.9450,-2.3030,-2.5170,7.7210,171.7200,2.7950,6.8080,-1.1930,1.3620,9.7320,1.8220,-10.7130,6.6280,178.0010,-2.4190,-1.9090,2.3760,-3.1270,9.2250,0.5770,0.3110,17.1720,115.5500,2.8610,4.7250,0.4730,1.7360,9.9570,0.9410,-16.1950,12.1170,180.0000,2.2490,1.1350,0.3340,-0.5080,9.8350,1.6040
