timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,6.8130,25.1900,89.3890,2.0250,4.4530,0.6700,4.9460,8.2240,-2.6430,7.3190,7.5320,-134.1280,-4.3950,1.9380,-0.4540,0.5790,9.1340,4.4650,9.4970,21.2910,-113.6110,-7.4000,4.3310,-1.8990,-2.9330,8.7050,3.3160,8.4630,-32.8390,140.3340,-4.6820,2.4380,2.4580,3.6030,8.8630,3.1580,15.9870,-42.3600,140.9150,-7.1900,0.8980,0.9310,-2.0930,8.3080,5.1640
40,7.2170,25.1840,89.3890,1.2770,7.6740,3.1280,4.5470,8.1210,-2.8230,7.5140,7.0760,-134.1280,-5.8450,6.1210,0.0190,0.6580,9.2300,4.0920,9.7560,20.9190,-113.6110,-3.7350,4.3770,0.3460,-3.4790,8.5470,3.0330,9.0200,-32.7340,140.3340,-6.6970,14.8960,1.0380,2.8970,8.8150,3.6610,16.2470,-42.6030,140.9150,-21.2510,9.7680,0.1220,-2.3920,7.8580,5.7050
80,6.8910,24.7410,89.3890,0.1320,-1.9750,4.3340,5.1520,8.0060,-2.0880,7.6420,6.6430,-134.1280,-4.1050,4.0600,-0.4230,0.5720,9.1550,4.1830,9.5180,19.8690,-113.6110,-10.4990,0.9420,1.6280,-2.7680,8.4540,3.9460,8.9730,-32.5240,140.7240,-16.9720,4.4990,9.7710,3.2590,9.1000,2.8040,16.0470,-42.6460,140.9150,-27.4640,-0.6590,1.2520,-2.3100,8.2940,5.1280
120,7.1320,24.7090,89.6500,4.5140,6.4680,6.5480,4.5990,8.0920,-2.6480,8.0250,5.7140,-134.1280,-10.0590,7.4030,0.5080,0.2230,8.8850,4.7720,9.7050,19.6940,-113.6110,-7.8120,6.7280,4.1930,-3.1790,8.7720,2.4160,9.5950,-32.5130,141.2070,-22.1470,21.2020,12.0610,3.0550,9.0140,2.9540,15.7970,-43.0590,140.9150,-53.7390,2.9740,1.6640,-1.8960,8.8560,4.1680
160,7.1320,24.7090,89.6500,4.5140,6.4680,6.5480,4.5990,8.0920,-2.6480,8.4130,5.2370,-133.9010,-13.0210,9.7550,5.6680,0.3180,9.2300,3.6250,9.5730,18.4020,-113.6110,-29.3840,1.9340,2.9560,-2.8540,8.4130,2.9690,10.3910,-32.9610,142.3080,-69.9950,19.1870,27.5260,2.4230,9.9690,0.3900,15.7040,-45.3100,140.9150,-107.0520,-0.9040,-3.3130,-2.5910,8.7890,4.1680
200,7.1320,24.7090,89.6500,4.5140,6.4680,6.5480,4.5990,8.0920,-2.6480,8.7650,3.7230,-133.6710,-28.5470,16.2430,5.7450,0.8570,8.8300,4.6450,9.2590,16.2870,-113.6110,-46.9570,2.6210,-2.3720,-2.5380,8.6860,3.6200,10.5410,-35.5460,144.4750,-95.4910,25.6290,54.1670,3.9240,8.2620,2.9860,16.0950,-54.3780,141.3020,-180.3650,0.8830,9.6640,-2.5330,4.7190,5.5620
240,6.3720,25.2340,92.1300,-24.9520,-49.5470,27.7080,3.0810,10.2810,-5.9710,9.6150,1.5000,-133.6710,-43.5400,21.6630,2.1420,0.0790,8.6810,5.2030,9.9390,13.8140,-113.8490,-57.4910,29.7050,-5.9450,-2.5280,8.6430,3.8360,12.4790,-41.2060,146.7400,-142.9110,65.0950,56.6250,2.9710,6.5170,5.6290,15.8270,-58.6520,142.1160,-164.6710,-7.8650,20.3660,-2.3920,6.0480,5.1910
280,4.7930,23.2860,95.6900,-79.1960,-64.7840,89.0060,4.7020,5.5230,-1.4390,11.2100,-0.5930,-133.9510,-49.2190,49.0520,-7.0040,0.5200,8.8940,4.8030,11.7940,11.5560,-114.4470,-63.4610,63.5830,-14.9520,-2.4350,8.5570,3.1770,14.5350,-45.2810,148.9090,-116.4370,100.0570,54.2440,5.1930,6.4760,5.2910,16.0340,-66.2330,144.0460,-198.9000,12.2720,48.2440,-2.0540,2.8230,8.2070
320,2.3570,20.8500,99.0350,-62.6920,-47.2110,83.6170,6.1270,8.0160,-3.1270,13.4480,-2.5330,-134.1770,-49.7080,66.8230,-5.6450,0.2150,8.6620,4.6040,14.5970,9.1720,-115.2730,-67.2770,76.3010,-20.6620,-3.6560,7.8340,3.2060,19.4740,-49.5940,150.4970,-104.9260,135.9960,39.6940,1.4960,5.9950,7.8960,17.3570,-72.4450,146.1400,-171.7240,47.2490,52.3510,-1.8990,2.4490,8.9110
360,-0.6950,16.2340,101.6340,-79.9440,-42.8140,64.9750,6.3610,6.0380,-0.1440,15.7240,-4.6400,-134.5910,-59.7230,75.9840,-10.3470,0.4570,8.7840,4.5010,16.9070,6.1790,-116.0330,-78.9110,93.4310,-18.9830,-1.9660,8.4750,4.2780,21.9820,-52.2710,152.3550,-78.5290,113.9190,46.4580,4.0150,5.8350,6.7230,19.3420,-76.9190,148.2330,-146.0900,44.0430,52.3200,-4.0850,3.0500,9.2180
400,-1.4180,14.2400,103.6850,-29.5470,-2.7680,51.2810,5.6600,6.9190,-0.7590,18.3320,-7.7960,-135.0540,-75.4480,102.8690,-11.5680,1.5750,8.5260,6.0310,21.0150,3.0490,-117.7980,-84.0560,127.4150,-44.1430,-3.3210,7.3140,4.0340,25.7800,-54.5150,154.2630,-66.4370,157.0950,47.6940,3.8570,5.0730,6.6510,20.3720,-80.0490,152.3580,-131.2350,7.8450,103.1140,-4.9150,3.3780,8.0090
440,-1.4400,12.8920,106.7300,-3.9440,31.7510,76.1210,7.0010,6.7320,-0.1440,22.4530,-11.5040,-135.9230,-87.8300,125.9380,-21.7360,-0.5650,7.6180,6.2660,25.8070,0.7290,-120.2500,-79.7350,144.3010,-61.2880,-4.0510,7.2980,3.1530,31.9260,-56.2290,155.9300,-64.2540,206.0260,41.6640,1.8580,5.2740,6.2350,20.3080,-85.2520,158.0150,-150.2430,34.2720,141.4350,-0.7330,0.2440,9.0380
