timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,24.5950,-34.1540,-25.4810,-0.6110,-1.7590,0.2630,1.8960,9.3540,-2.4440,-2.2620,-4.1070,39.0380,-1.8730,0.9290,-2.5220,0.5120,9.2130,3.9150,4.1350,0.8960,179.7700,-3.3250,1.1040,-2.6640,-4.4010,8.4370,2.0020,8.5360,-12.3070,-180.0000,-1.6280,0.4930,-0.2850,1.5080,8.6170,4.8050,18.7390,-6.8850,-159.5500,-0.5070,0.5960,-0.3530,-2.9230,7.7000,5.3610
40,24.6830,-34.1510,-25.4810,-2.3520,-0.0790,-0.0120,1.6160,9.2390,-2.6890,-2.1470,-4.2090,39.0380,-0.9570,2.3340,-1.3010,0.5360,9.1050,3.9480,4.0940,0.9900,179.7700,-0.5920,-0.2540,0.3130,-4.2400,8.6720,1.6280,8.7920,-12.3400,-180.0000,-0.7430,4.1570,0.5550,1.3770,8.5280,5.0780,18.8420,-7.0620,-159.5500,-2.1230,3.6770,1.0380,-3.0050,7.5820,5.6620
80,24.4330,-34.1080,-25.4810,0.5640,-3.1020,1.3160,2.1600,9.3830,-2.5470,-2.3290,-4.1160,39.0380,0.1880,-2.5820,2.0730,0.7920,9.3180,3.6820,3.9920,0.9400,179.7700,-2.6810,-1.5360,-2.4820,-4.1680,8.6310,1.7310,8.8020,-12.3880,-180.0000,-2.0560,1.0280,1.1200,1.6160,8.5380,5.0060,18.6160,-7.0790,-159.5500,-1.2830,-1.0250,0.1980,-2.6620,7.7070,5.4370
120,24.5320,-34.1070,-25.4810,-1.6500,0.8670,0.3080,1.7360,9.3180,-2.6100,-2.2570,-4.3720,39.0380,-3.7200,2.4410,-2.2320,0.6610,9.0380,4.0580,4.1090,0.7130,179.7700,-3.1540,0.2510,-2.3450,-4.4340,8.4200,2.0040,8.6310,-12.6780,-180.0000,-5.4140,0.0960,1.4860,1.9060,8.2740,5.1710,18.6400,-7.3240,-159.5500,-2.5200,2.5930,-1.3290,-2.9020,7.4440,5.7290
160,24.5360,-34.0640,-25.4810,-0.3210,-1.5600,0.1560,1.7690,9.4330,-2.6000,-2.2980,-4.3570,39.0380,0.6010,-0.2770,-0.8270,0.6870,9.2100,3.9050,4.1140,1.0270,179.7700,1.6550,-0.7870,-0.8330,-4.2980,8.6600,1.3340,8.7660,-12.6750,-180.0000,-0.0250,2.0960,-0.6820,1.4080,8.5260,5.1330,18.7590,-7.3610,-159.5500,-0.2910,3.5090,-0.5040,-3.0810,7.6400,5.5740
200,24.5000,-34.0720,-25.4810,0.1520,-0.5370,0.1560,1.9510,9.3900,-2.4210,-2.2330,-4.3570,39.0380,-0.6970,-0.5360,-0.0490,0.4310,9.2010,3.8210,4.2580,0.9720,179.7700,-2.3900,-1.6730,-0.2070,-4.6140,8.4160,1.6830,8.8380,-12.6490,-180.0000,-1.7350,1.6540,-0.9260,1.4700,8.5660,4.9340,18.7490,-7.2790,-159.5500,-0.6570,1.2650,-0.7330,-3.0140,7.8360,5.3650
240,24.6910,-34.0040,-25.4810,-1.0240,0.5650,0.2470,1.5320,9.2390,-2.6340,-2.3070,-4.3740,39.0380,-2.8610,0.3670,-0.0480,0.8210,9.2460,3.6940,4.1400,0.6160,179.7700,-3.4900,-2.2530,1.9300,-4.1080,8.4900,2.2220,8.8250,-12.6780,-180.0000,-2.6210,0.2340,1.9740,1.5200,8.5640,4.9970,18.8150,-7.3990,-159.5500,-2.3370,1.8450,-0.4890,-3.1200,7.5850,5.5450
280,24.6200,-33.9290,-25.4810,-1.1620,-3.4510,3.0400,1.8220,9.4640,-2.7130,-2.3890,-4.4070,39.0380,0.1000,-0.8540,-0.2470,0.7540,9.1940,3.9940,4.4400,0.5960,179.7700,1.7320,2.1900,-1.1390,-4.5780,8.3270,1.9200,8.7650,-12.6200,-180.0000,-1.4300,-0.0100,0.0050,1.5900,8.5780,4.9060,18.7340,-7.3320,-159.5500,-1.6500,1.1580,-0.2140,-2.8710,7.8220,5.3080
320,24.3990,-33.9350,-25.4810,-0.8720,-3.6340,2.7050,2.1720,9.4550,-2.4880,-2.3010,-4.3360,39.0380,0.6040,-0.2390,0.0600,0.4290,9.1820,3.7850,4.3530,0.4940,179.7700,-0.3140,-2.3600,2.5250,-4.1950,8.5830,1.9750,8.7380,-12.7430,-180.0000,-3.9490,1.2410,1.0430,1.6210,8.5310,5.1090,18.6460,-7.2820,-159.5500,-4.4590,1.0820,-1.1760,-2.8730,7.9630,5.1710
360,24.4600,-33.9100,-25.4810,-1.4980,-0.4740,1.8650,1.8170,9.3370,-2.5620,-2.2080,-4.5580,39.0380,-2.7120,0.6170,0.3190,0.4860,9.0620,4.1490,4.5470,0.6830,179.7700,1.1210,4.3120,1.9760,-4.1920,8.5660,1.4890,8.2920,-12.9860,-180.0000,-8.7890,-1.7050,3.8220,2.2940,8.4370,4.9270,18.7380,-7.5700,-159.5500,-15.1760,4.4250,-1.5120,-2.9980,8.0130,5.0570
400,24.6020,-33.8560,-25.4810,-0.5660,1.4650,1.1010,1.8150,9.4160,-2.5550,-2.2070,-4.4700,39.0380,0.3720,1.7310,0.9600,0.7900,9.3090,3.8070,4.6280,0.7910,179.7700,-1.8560,4.5260,-1.8110,-3.9480,8.6450,1.4130,8.6620,-12.7600,-180.0000,-18.9720,14.5540,-3.6290,1.8870,9.4570,3.3690,19.2430,-9.3110,-159.5500,-31.6800,7.2960,-0.2290,-3.6770,6.6920,6.3780
440,24.9990,-33.7640,-25.4810,-3.6350,3.6940,3.8190,1.4050,9.2510,-2.8470,-2.1140,-4.5400,39.0380,-3.4450,3.5330,0.9140,0.7180,9.1630,3.7800,4.9920,0.3730,179.7700,-5.0620,3.9450,-4.8790,-4.6730,8.4200,2.1720,10.4240,-14.5720,-180.0000,-36.8950,32.0510,-8.3460,0.0770,8.1240,6.2680,19.2590,-10.0000,-159.5500,-17.1920,2.7310,-2.1680,-3.0480,7.3550,5.8390
480,24.7100,-33.7190,-25.1990,-0.5510,-5.2680,7.0400,2.2340,9.6320,-2.5690,-2.1420,-4.9280,39.0380,-5.3080,-3.4590,1.3570,0.4020,9.1080,4.3980,5.3520,0.3330,179.7700,0.6170,6.0980,-4.2380,-4.5010,8.4830,1.8840,9.8830,-16.0010,-180.0000,-44.4070,8.6610,-10.0100,2.9740,8.1040,4.8200,18.6290,-10.2610,-159.7670,-19.4510,-3.9710,-5.4360,-2.1690,8.0060,5.0920
520,24.6850,-33.7280,-24.9530,-3.1920,-0.1380,6.1700,2.0900,9.5000,-2.6260,-2.5280,-5.2980,39.0380,-5.0940,-5.8560,3.6620,1.0410,9.1100,4.4410,5.4760,0.5160,179.5300,-1.5350,5.3650,-5.9940,-4.0850,8.7030,1.3070,11.1820,-16.9700,-180.0000,-63.8880,35.3030,-11.5520,1.0940,9.1870,2.8040,18.6320,-10.6050,-160.7950,-53.3750,11.4180,-25.6950,-2.2910,9.2420,2.9470
560,25.0400,-33.7300,-24.4980,-2.7190,6.4270,11.3760,1.7480,9.3110,-2.5280,-2.3980,-5.5340,39.0380,-6.3610,4.9070,2.3800,0.8070,9.0190,4.0080,6.1800,-0.0810,179.1100,-7.3520,9.9760,-10.4980,-4.9060,8.0760,2.2740,15.0530,-21.7720,-179.3680,-114.7580,82.8750,15.7910,-0.9150,6.8350,6.5890,20.3570,-16.8580,-162.1060,-159.1460,42.3800,-32.7790,-2.8730,5.7410,5.0490
600,25.0680,-33.8280,-24.0360,-5.1470,-2.5040,11.5290,1.6860,9.2800,-2.4880,-2.4570,-5.5990,39.0380,-3.7660,-1.0170,0.5020,0.7250,9.1430,3.9290,6.4770,0.5940,178.7710,-0.6040,-1.2610,-8.4980,-5.0730,8.4560,0.4190,18.0420,-27.3130,-178.2730,-117.8270,70.5090,27.3790,-0.6750,5.7680,8.8110,22.6760,-23.1670,-163.3790,-143.4970,44.4710,-31.8320,-4.2350,3.9790,6.5240
640,24.6070,-33.8280,-23.5460,-1.1770,-5.9240,12.2620,2.4920,9.1720,-2.3180,-2.5580,-5.4060,39.0380,-0.3000,-7.2460,4.4870,0.3110,9.3040,3.6970,6.5520,-0.0230,178.7710,-11.9020,-2.2840,-4.4670,-4.6690,8.3010,2.0300,19.9110,-33.6140,-177.7740,-158.1780,43.0740,12.4780,1.0220,7.3290,1.2670,23.8850,-29.7940,-165.0770,-167.9550,29.0670,-42.4430,-4.0770,5.5550,4.0510
680,24.8080,-33.7020,-22.8660,-1.0700,5.3130,16.9950,2.0160,9.1630,-2.5740,-2.7270,-5.9360,39.0380,-11.9340,-0.2380,4.2730,1.0940,9.0620,4.3020,7.1880,-0.3070,178.7710,-9.3060,6.3880,-2.8790,-5.0760,8.0560,1.5900,25.7250,-44.9660,-178.0030,-284.4530,141.6990,-5.7200,0.2040,1.2210,11.3890,25.8250,-38.8810,-166.0150,-229.4360,47.3720,-23.4510,-4.7600,-0.0530,10.5150
