timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,32.4330,-7.3880,-60.4170,0.7170,-1.0340,0.0220,0.5870,9.9600,-0.9480,18.3520,2.9020,180.0000,1.2070,1.1370,0.3810,-1.5680,9.5150,2.5280,17.6900,208.9730,179.7480,1.1700,0.3410,-0.2600,-4.1250,8.8630,0.0020,9.2820,-0.8250,180.0000,1.1250,-0.0330,0.0180,2.5280,9.7540,1.2160,4.2860,-6.6090,167.4670,2.9660,-0.7380,0.4790,0.8930,9.7160,3.0330
40,33.4690,-7.6540,-60.4170,-2.3360,2.2950,1.9300,-0.2710,9.5190,-0.6460,18.7550,2.1530,180.0000,-4.0910,1.7940,-1.2070,-1.3550,9.3540,2.5470,17.7400,208.1450,179.7480,-3.0440,-1.7820,-3.0080,-3.8240,8.9180,-0.1240,10.1510,-1.4890,180.0000,-4.5390,4.5470,-0.8680,1.9320,9.1240,2.6980,4.4210,-7.9560,167.4670,-8.1790,-6.1420,2.6620,0.7760,8.2820,4.9110
80,34.0690,-7.6050,-60.4170,-1.0690,-1.1250,3.2890,0.1560,9.8670,-1.2330,19.1490,1.3010,180.0000,-1.3430,-1.6110,-0.2600,-1.7290,9.1840,3.0860,18.2540,207.0990,179.7480,-2.1890,-0.4380,-0.7330,-4.6590,8.4680,0.4190,10.2640,-1.4880,180.0000,1.3230,-3.3920,1.6670,2.8490,9.5050,1.9030,4.2510,-8.0560,167.4670,3.4240,-7.8830,2.3570,1.2860,9.3760,3.6850
120,34.6070,-7.6010,-60.4170,0.2290,-0.1630,-1.5810,0.1720,9.9890,-1.0250,19.2750,0.7960,180.0000,0.2140,0.2980,1.6020,-1.1250,9.8160,2.7270,18.1670,206.3860,179.7480,-0.3420,-0.0410,2.0150,-3.6320,9.2940,-0.0120,10.7220,-1.7900,180.0000,-0.6310,2.5160,-0.6540,2.4280,9.2800,2.3940,5.0840,-8.3990,167.4670,0.8440,5.5830,0.3260,0.0890,9.2010,4.0530
160,35.0120,-7.6370,-60.4170,-0.9930,0.5240,-0.4060,0.3260,9.6940,-0.9960,19.8120,0.2920,180.0000,0.2750,1.8550,-0.8400,-1.9200,9.2080,2.6430,18.7090,205.6500,179.7480,-0.2650,1.6990,-2.1530,-4.6730,8.4970,0.0840,11.0130,-1.9060,180.0000,2.0260,-2.0640,0.2160,2.2910,9.3520,2.2790,5.0730,-8.5820,167.4670,2.9510,-5.5470,2.6930,0.8790,9.0980,3.9170
200,35.1630,-7.6930,-60.4170,3.2520,-3.9190,-1.6120,0.3540,9.8880,-0.6030,19.8020,-0.0930,180.0000,2.3060,-3.9620,0.6710,-1.3500,9.5790,2.7320,18.5220,205.2140,179.7480,3.3530,-2.5910,2.3200,-3.6870,9.1270,-0.1990,11.5290,-1.9710,180.0000,1.2320,3.0050,0.0790,2.0830,9.3230,2.1280,5.7710,-8.8540,167.4670,0.4620,6.3000,1.1810,0.2080,9.0600,3.9790
240,35.8070,-7.7030,-60.4170,-1.2980,3.9890,-2.1160,-0.2270,9.5910,-1.0460,20.4320,-0.4820,180.0000,1.5430,3.2290,1.0680,-2.1550,9.0860,2.6000,19.2990,204.4030,179.7480,-1.9600,5.4550,-1.0080,-4.9270,8.3050,0.1700,11.7310,-1.8730,180.0000,4.3010,-3.0870,2.4610,2.1740,9.4980,2.0880,6.2240,-8.5860,167.4670,6.5990,-2.0510,2.4640,-0.1010,9.5980,3.5310
280,35.8220,-7.6510,-60.4170,3.9390,-5.0950,-1.0930,0.2150,9.8280,-0.7640,20.0530,-0.4070,180.0000,1.4510,-4.7250,2.7930,-0.7830,10.1490,1.8440,18.7110,204.4930,179.9800,4.3600,-4.2700,5.8010,-3.2150,9.5910,-1.1850,11.6580,-2.0560,180.0000,-5.1800,2.2420,1.3160,2.9900,8.9140,1.8200,6.2310,-8.7110,167.4670,-6.6370,2.2550,2.5550,1.1090,9.0480,3.1240
320,36.4000,-7.8790,-60.4170,-2.7480,10.3710,2.0670,0.1170,9.5220,-0.6730,20.7030,-0.8440,180.0000,-4.8090,10.2370,-0.9470,-1.7570,9.1650,2.2940,19.4460,203.5160,179.9800,-8.8760,9.6230,-4.7330,-4.4940,8.2220,0.0340,12.4380,-1.8540,180.0000,0.6060,10.6690,0.1710,1.8480,9.5910,1.6330,6.8550,-8.7220,167.4670,-3.2480,10.1940,3.4410,0.3420,9.4140,3.3780
360,36.9460,-7.9670,-60.4170,-1.0230,10.2180,2.1440,-0.0290,9.6770,-0.8140,21.1280,-1.1120,180.0000,-8.2740,8.2370,-0.3210,-1.6380,9.6770,1.8270,19.6130,203.2250,179.9800,-6.1430,4.4170,-1.5120,-4.1040,8.9140,-1.0440,12.8720,-1.5160,180.0000,-10.2640,10.9290,1.7280,2.4590,9.6490,0.4570,7.4700,-8.4130,167.4670,-12.4080,14.3160,4.1740,0.5430,9.7730,2.0060
