timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-7.0090,12.2630,45.3550,-1.6860,-5.0310,-0.7240,4.2260,8.7770,-2.3390,-18.8250,-6.6670,-174.8090,0.9330,-1.3650,-2.9280,1.6860,9.6970,2.3850,-3.2140,-38.9190,-104.4380,-1.1200,0.3890,-7.8880,-3.1410,9.0070,2.0470,-3.7100,-44.2190,-179.2440,-1.8610,3.7800,-4.0110,1.7690,9.2270,3.4690,5.6390,-45.9020,-179.7660,3.9150,4.6120,-1.8590,-2.6580,7.9800,5.3700
40,-6.1590,12.4020,45.3550,-5.3510,4.9390,-2.4950,3.3730,8.4850,-2.6790,-18.9560,-6.2830,-174.8090,5.8490,5.4750,-0.6990,1.1800,9.7560,1.9440,-3.7350,-39.7640,-104.7040,-3.9290,-0.1150,-6.6660,-3.4240,8.7170,2.3560,-3.8580,-45.4820,-179.2440,-4.6090,-1.2730,-1.7670,2.0730,8.7100,3.7780,5.9990,-47.4000,-179.7660,-1.8410,11.8330,-0.1040,-2.9930,7.6930,5.6960
80,-5.7570,12.5160,45.3550,-4.0680,-1.0310,0.6190,3.7230,8.5020,-2.5670,-19.1990,-6.7820,-174.8090,-2.2730,1.6430,-2.4850,1.1520,8.9810,3.0650,-4.2290,-39.7130,-104.7040,0.4830,4.9380,-1.1700,-3.0120,9.2340,1.2070,-3.4600,-46.0100,-179.2440,-1.8460,8.3910,-1.0800,1.7620,9.4710,3.0140,5.6220,-48.4900,-179.7660,-2.0240,-0.8230,-1.6460,-2.4060,7.8960,5.2670
120,-5.3290,12.7320,45.3550,-2.3280,-1.2900,1.4590,3.7520,8.9970,-2.8420,-19.5420,-6.2820,-174.8090,4.3830,2.3600,0.1100,1.6500,10.0170,1.7290,-4.4130,-40.2860,-104.7040,-3.7310,5.9460,-2.9110,-3.3830,8.6670,2.2340,-3.2530,-46.9690,-179.2440,-5.4790,7.0320,-1.1710,1.9390,8.7460,3.7490,5.5040,-49.7170,-179.7660,-2.9860,5.6500,1.5760,-2.4040,7.5680,5.7580
160,-5.1540,12.6380,45.3550,-6.0830,-2.3440,4.5280,3.9360,8.5740,-2.3990,-19.8120,-7.4840,-174.8090,-8.4110,-0.6930,-4.1190,1.2500,8.5660,4.1180,-5.0390,-40.0020,-104.7040,1.0940,3.4120,-1.4150,-2.7150,9.5740,1.2140,-3.1870,-47.1800,-179.2440,-4.0290,2.3600,-1.1710,1.9230,9.5620,2.8060,5.1030,-50.7140,-179.7660,-3.6580,-1.7540,-4.5920,-2.3340,7.5490,5.5470
200,-4.6990,12.9730,45.3550,0.8940,0.8780,1.3830,3.6870,8.9780,-2.9020,-19.9160,-6.8860,-174.8090,3.0250,2.0850,-0.0120,1.3240,10.1180,1.6110,-4.8460,-40.6570,-104.7040,-4.8910,7.9150,-4.5900,-3.8160,8.4560,2.6340,-2.8040,-47.8930,-179.2440,-4.2430,7.1080,-1.9810,1.5680,8.9760,4.0410,5.3010,-51.3970,-179.7660,-0.6810,7.8790,-0.1190,-2.9310,7.8750,5.6910
240,-4.8030,12.9490,45.3550,-0.2970,-3.7020,4.3600,4.2950,8.6330,-2.1950,-20.2050,-7.3580,-174.8090,-2.9140,-0.1440,-0.8360,1.5750,9.1310,3.3160,-5.4310,-40.6920,-104.7040,-0.7080,-1.5810,-1.8570,-2.9980,9.2370,2.0970,-2.8050,-48.8260,-179.2440,-11.4790,0.2840,-0.7290,1.7930,8.7700,4.1780,4.5990,-52.2660,-179.7660,-5.8870,-5.9070,-2.5310,-1.9320,7.2500,5.5950
280,-4.8030,12.9490,45.3550,-0.2970,-3.7020,4.3600,4.2950,8.6330,-2.1950,-20.2900,-7.0300,-174.8090,2.7800,1.0010,-1.0350,1.3650,9.7470,2.2480,-5.5170,-41.2220,-104.7040,-6.7380,2.6020,-3.9790,-3.4570,8.5190,2.6620,-2.8050,-49.3220,-179.2440,-4.1360,-2.1130,0.6910,1.5990,8.8010,4.1750,4.5990,-52.2660,-179.7660,-5.8870,-5.9070,-2.5310,-1.9320,7.2500,5.5950
320,-4.4710,13.0350,45.6760,-4.4040,-3.8400,8.0090,3.5980,8.8800,-2.7580,-20.2870,-6.8090,-174.8090,-4.0750,2.8030,-3.4160,1.4220,9.9360,1.9610,-5.9010,-41.1010,-104.7040,-3.6540,0.7860,-3.4450,-2.9980,9.1870,1.9250,-2.7900,-49.1780,-179.2440,-3.3420,2.0700,-0.2100,1.9440,9.2800,3.2250,4.4930,-52.7330,-179.7660,-6.1310,5.0550,-0.9130,-2.4970,8.0330,5.2460
360,-4.4830,12.7930,46.6420,-12.4960,-14.7250,24.1460,3.1220,8.9780,-2.8800,-20.1810,-7.7160,-175.2370,-31.3570,1.3370,-10.6990,1.1520,10.0510,2.3100,-5.8450,-41.4180,-105.0990,-14.9830,3.5490,-9.8730,-3.5650,8.8540,2.0470,-2.4530,-49.5010,-179.2440,-15.5250,9.9330,-1.0490,1.8600,9.1550,3.4380,4.8310,-52.8940,-179.7660,-20.0850,12.3830,1.0570,-2.7170,8.5090,4.2880
400,-4.6010,11.5220,48.3040,-43.4570,-13.2440,41.5660,3.7710,9.6220,-3.3350,-20.3910,-12.3140,-176.2420,-135.1740,4.3910,-25.1110,2.2890,10.2810,2.2700,-5.6870,-42.7860,-106.3350,-59.5020,2.7090,-30.8950,-3.9260,9.2850,1.0970,-0.9290,-51.1790,-178.8040,-58.9150,42.7420,10.9970,1.8650,9.2920,3.2060,6.5870,-56.0720,-179.2590,-86.4210,49.6960,12.7210,-2.6960,7.1590,5.2720
440,-5.6830,10.2610,49.2150,-43.9150,-47.1370,22.7720,7.9180,8.8800,-0.1770,-18.5530,-20.6520,-178.4370,-182.0750,39.9790,-54.8670,0.5290,6.7590,6.4380,-5.9130,-49.9280,-109.1010,-194.6160,-5.3980,-69.1550,-3.3330,8.0130,2.8470,3.2850,-56.4700,-178.0360,-134.2890,98.4210,19.2100,0.1650,8.0540,5.2070,9.4880,-61.4760,-178.8850,-126.2230,68.8410,9.3620,-4.2950,6.0960,7.3550
