timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,23.1250,-6.0310,-180.0000,1.7110,0.2790,1.1290,-0.1560,9.8020,-0.0450,13.2200,-16.4780,-148.2650,1.9460,1.9030,-0.1370,-1.6640,9.2940,3.0380,1.8330,143.5390,-108.2870,0.6460,-0.7840,1.4360,-2.6700,8.6330,3.7760,-0.0870,-10.5690,-179.4160,-1.8550,0.9020,-0.8860,2.3460,8.8560,3.7230,-12.0160,-7.4160,-179.7930,0.2860,0.7250,0.9990,1.0610,9.0050,4.1490
40,22.8140,-5.7700,-180.0000,3.8490,-2.3930,0.2290,0.1290,10.1490,-0.4480,12.9720,-15.8880,-148.2650,1.6860,-1.0130,1.1000,-1.2690,9.4950,2.8850,1.6500,143.0350,-108.2870,-0.9720,-1.1960,0.8410,-2.4540,8.7150,3.6970,-0.1730,-10.4980,-179.4160,0.5110,-1.3880,0.9620,2.5810,9.0050,3.7060,-12.2820,-7.0940,-179.7930,0.3010,-3.6720,0.7700,1.3070,9.1430,3.8070
80,22.7490,-5.8660,-180.0000,-1.9380,1.0730,0.0760,-0.1530,9.7970,-0.1560,12.8720,-15.5500,-148.2650,0.0370,1.8880,-0.6870,-1.3220,9.1870,3.2230,1.5880,142.4930,-108.2870,-0.6970,-0.1580,-0.7170,-2.5690,8.4520,3.7250,-0.3520,-10.4380,-179.4160,-1.2140,-1.3120,1.0380,2.7410,8.9040,3.5340,-12.4510,-6.9120,-179.7930,-1.0730,-1.2900,-0.3300,1.2930,9.0020,3.9500
120,22.7590,-5.8170,-180.0000,0.0930,2.3400,-0.7490,-0.2630,9.7780,-0.2990,12.7630,-14.9560,-148.2650,1.7020,2.2850,-0.8090,-1.2810,9.3350,2.8420,1.5440,142.2310,-108.2870,0.4780,1.6280,0.4440,-2.5040,8.7820,3.3570,-0.4180,-10.4420,-179.4160,-0.3590,0.1840,-0.1380,2.5830,8.7700,3.7090,-12.5180,-6.5890,-179.7930,0.7590,0.4810,-0.3300,1.2040,9.0480,3.8000
160,22.8770,-5.8930,-180.0000,-2.8080,1.2870,0.1830,-0.6390,9.6150,-0.2680,12.7930,-14.5210,-148.2650,0.3280,2.4070,-1.0530,-1.5610,9.0930,2.9980,1.6030,141.6240,-108.2870,-1.9800,-0.7680,-1.3120,-2.8750,8.3460,3.7610,-0.4610,-10.1950,-179.4160,0.0390,0.7640,0.4130,2.5880,9.0550,3.2730,-12.5480,-6.5720,-179.7930,-1.7340,0.3870,-0.4350,1.0870,8.7750,4.1780
200,22.6390,-5.8040,-180.0000,4.5660,-1.3850,0.2740,-0.1440,10.0080,-0.0220,12.5180,-13.9170,-148.2650,2.3280,-1.1040,-0.1370,-1.2500,9.5740,2.9330,1.5050,141.3230,-108.2870,0.7680,-0.3720,0.7190,-2.6120,8.8680,3.5600,-0.4630,-10.2390,-179.4160,-0.9840,-0.3550,-1.1010,2.3650,8.8490,3.7640,-12.6510,-6.3400,-179.7930,0.5410,-0.3150,0.8170,1.1970,9.0860,4.0250
240,22.4220,-5.8460,-180.0000,-1.8920,1.8060,0.5950,0.0570,9.9720,-0.2920,12.4990,-13.6690,-148.2650,0.5570,3.0480,-0.9000,-1.4290,9.1410,3.4520,1.5370,140.6530,-108.2870,-1.1860,-0.0810,-1.5100,-2.7820,8.2940,4.0100,-0.6210,-10.1090,-179.4160,-0.4950,-1.2250,0.7920,2.6620,9.0910,3.5030,-12.7460,-6.4230,-179.7930,-1.6270,-0.4680,-0.7860,1.1440,8.7480,4.4340
280,22.1670,-5.8220,-180.0000,0.5660,-0.0110,-2.0770,-0.0360,9.9310,-0.2320,12.4150,-13.0060,-148.2650,4.4040,2.0100,0.6720,-1.4050,9.4520,2.9330,1.5370,140.5450,-108.2870,3.6080,1.5370,2.0160,-2.6600,8.8420,3.4170,-0.6750,-10.1300,-179.4160,0.6650,0.2410,-1.1620,2.5000,8.7960,3.8330,-12.8680,-6.1900,-179.7930,2.4040,0.6310,0.7870,1.2950,8.9730,4.1680
320,21.9360,-5.8510,-180.0000,-0.4870,-0.0720,-0.3520,-0.1100,9.8040,-0.2040,12.2090,-12.6550,-148.2650,1.3810,-0.3260,-0.2290,-1.3020,9.1360,3.2590,1.4440,140.1520,-108.2870,0.6920,-0.1270,0.0010,-2.5520,8.5520,3.6920,-0.8350,-9.8460,-179.4160,2.3290,-1.5760,0.7010,2.6100,9.1290,3.3950,-12.8750,-6.1410,-179.7930,-0.4210,0.5550,0.2980,1.0060,8.7410,4.2350
360,21.7420,-5.8090,-180.0000,1.1640,0.3560,-0.7620,-0.1750,9.9140,-0.2300,12.0850,-11.9970,-148.2650,2.3280,1.0640,-0.4120,-1.3930,9.5670,2.7580,1.4170,139.8490,-108.2870,-1.0830,2.2090,1.8480,-2.5550,8.8510,3.4840,-0.9470,-9.6370,-179.4160,1.2300,-0.1870,-0.6120,2.5740,8.9760,3.3850,-12.8930,-5.8220,-179.7930,0.8490,2.2620,1.8540,1.1830,9.2060,3.9120
