timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-3.5160,0.9500,-10.5310,1.3120,-1.0230,-0.6410,3.5120,9.0840,-1.9800,-1.6810,-14.4300,-15.4730,0.9680,0.2620,-0.4800,0.9100,8.6360,5.0450,-8.2080,-94.2790,20.0070,0.8570,1.1640,0.6340,-3.5390,8.8370,2.0590,2.3510,-9.2420,-39.4430,1.0370,0.8330,-0.1740,2.1140,8.9730,3.8790,2.0150,-5.0340,-127.2220,0.4430,1.0830,-0.1590,-0.6940,8.8660,4.6230
40,-3.4200,0.9070,-10.5310,-0.5200,0.4730,-0.0760,3.3900,8.9230,-1.9060,-1.6170,-14.4400,-15.4730,0.4800,0.3840,0.0700,0.8400,8.6100,4.9580,-8.0650,-94.3150,20.0070,-0.2420,0.8890,-0.8010,-3.8710,8.5950,2.2340,2.4020,-9.2540,-39.4430,0.4730,-0.4490,0.8950,1.9820,8.9230,4.0270,1.8350,-5.1610,-127.2220,-0.3510,-3.5730,2.0850,-0.3300,8.6170,4.9080
80,-3.4510,1.0190,-10.5310,1.4980,-1.9570,0.2300,3.5530,9.1220,-2.1160,-1.8470,-14.4420,-15.4730,0.7670,-2.7020,0.3290,1.2620,8.7320,5.0350,-8.2070,-94.3820,20.0070,-0.0280,-1.6610,2.1150,-3.5100,8.7460,2.3580,2.2600,-9.3370,-39.4430,0.0450,-1.8840,1.9020,2.2820,8.8010,4.1060,1.5420,-5.2550,-127.2220,-0.4430,-4.2760,2.7870,-0.1080,8.5900,4.8150
120,-3.4530,0.9880,-10.5310,-0.6540,-0.0490,-1.5260,3.5600,8.9090,-1.9510,-1.9270,-14.3700,-15.4730,1.6220,0.2140,-0.4800,1.1900,8.7820,4.9510,-8.2010,-94.3930,20.0070,0.4150,1.2100,1.2450,-3.6080,8.8130,2.3010,2.4360,-9.3020,-39.4430,1.5260,0.6960,0.7120,1.8150,8.9950,4.0490,1.5420,-5.2550,-127.2220,-0.4430,-4.2760,2.7870,-0.1080,8.5900,4.8150
160,-3.2830,0.9800,-10.5310,-0.9140,1.2340,-2.6400,3.2850,8.9570,-2.0250,-1.6210,-14.2690,-15.4730,2.2480,3.6490,-1.4420,0.5890,8.6620,4.8550,-8.1690,-94.5240,20.0070,-0.1200,1.7290,1.7640,-3.5820,8.6550,2.4710,2.3690,-9.1950,-39.4430,2.6560,-1.9600,1.3380,2.1070,8.9420,3.9430,1.0920,-5.2580,-127.0040,1.5570,-8.4890,5.4440,0.1200,8.4660,4.7980
200,-3.7290,1.0860,-10.5310,4.3530,-6.8270,-0.6100,4.1300,9.2250,-1.9080,-1.7820,-14.1380,-15.4730,3.1790,-1.4800,-0.6480,1.1900,8.7750,4.9110,-8.3410,-94.3450,20.0070,2.2010,-0.7600,2.3900,-3.3710,8.8820,2.0690,2.3200,-9.1170,-39.4430,0.4270,0.6200,0.8640,2.2910,8.9690,3.8070,1.6010,-5.2270,-127.0040,0.3210,0.6100,4.1160,-1.4250,8.8440,4.7170
240,-3.3500,1.0720,-10.5310,-4.1810,2.8220,-2.5940,2.9660,8.8870,-2.2790,-1.5700,-14.0480,-15.4730,1.6530,3.9400,-3.1670,0.8000,8.6860,4.7980,-8.2190,-94.2210,20.0070,0.4150,1.8360,0.3290,-3.7280,8.6670,1.9730,2.4640,-9.1630,-39.4430,0.1670,2.1460,0.3910,1.9680,8.8470,4.0200,0.9280,-5.5620,-126.1150,0.1370,-31.6190,22.2380,-1.5970,8.9540,5.7530
280,-2.9050,0.5690,-11.2560,-13.2190,9.2490,-18.1360,4.9250,10.8190,-4.1800,-1.5740,-14.2670,-15.4730,-0.8660,-2.4120,-1.5330,0.7330,8.5880,5.2940,-8.0830,-94.1070,20.0070,0.4300,1.5150,1.7790,-3.8000,8.6550,1.9800,2.2060,-9.1060,-39.4430,-0.5810,-1.4870,0.3150,2.5670,8.9640,3.7590,-1.1110,-5.1710,-124.9780,10.3970,-52.5810,28.4210,-1.1640,10.4460,5.3100
320,-1.6990,-0.8510,-13.7590,-29.7540,24.3790,-62.5640,2.7680,9.0140,-1.2710,-1.9230,-14.2550,-15.6810,-0.0570,-3.1140,-5.1820,1.4890,8.8680,4.9540,-7.9540,-94.2090,20.0070,-0.6080,0.6910,2.4200,-3.8830,8.5860,2.3200,2.1750,-8.8700,-39.4430,3.4800,-8.2200,1.6280,1.5060,9.0190,3.7110,-2.4870,-4.7950,-123.6930,10.1990,-31.7570,32.1310,0.5790,8.8110,4.7070
360,-0.4240,-2.5460,-16.9140,-30.6390,18.7760,-78.8690,1.9390,8.8030,-0.5720,-1.5030,-14.3530,-16.4510,8.9350,9.9240,-19.2580,0.8740,8.4590,5.9110,-8.3920,-94.0900,20.0070,3.7430,-3.0040,4.4360,-3.0450,9.0450,2.3220,1.4950,-9.1380,-39.4430,12.5950,-24.1130,-1.6850,1.8290,8.9540,5.8350,-4.4440,-4.8240,-123.0660,3.3890,-33.2530,15.6730,1.8600,8.2700,4.7050
400,0.8770,-3.6210,-19.6710,-23.3870,13.4480,-68.9450,1.4100,9.3450,-1.0650,-0.8060,-13.6790,-17.2840,15.6370,11.3290,-20.8310,0.2590,8.7360,4.6540,-8.2490,-93.6950,20.0070,5.5290,4.8130,-1.2900,-3.5650,8.8440,1.8080,0.7630,-8.3630,-39.4430,16.2440,-27.4260,-3.6090,1.6260,8.9830,3.4930,-5.9620,-4.7490,-122.4200,2.1220,-33.4360,16.1460,1.2590,8.6330,4.5470
440,0.9540,-4.4900,-22.3860,-14.3030,-0.3230,-67.8620,2.7560,9.4140,-0.6390,-0.0050,-13.0270,-18.1600,11.9430,8.2750,-21.9000,-0.3400,8.9540,4.3500,-8.1340,-93.2340,20.0070,10.2160,0.6300,-1.6860,-3.9000,8.8110,1.9730,-0.0290,-7.4210,-39.4430,15.7400,-31.2120,3.1850,1.6350,9.4090,3.0790,-6.8550,-4.2200,-122.0520,5.5270,-25.0390,9.1840,0.8670,9.2320,4.0410
480,2.0800,-4.3460,-24.9470,-7.2960,7.4930,-64.0290,1.2020,9.9310,-2.1950,0.4140,-12.3740,-18.8750,11.0120,9.3750,-17.8690,0.5100,9.0520,4.1970,-7.6880,-92.0660,20.2690,20.6280,10.3090,6.5270,-3.9820,9.2560,1.3000,-1.7940,-6.7520,-39.1180,18.6100,-43.0750,8.1310,2.9190,8.6840,3.5480,-8.8510,-4.3970,-121.5750,2.8550,-36.8560,11.9320,2.3580,8.0490,4.7880
520,3.4160,-4.8060,-27.3220,-10.1960,-2.2010,-59.3730,-0.2040,9.3060,-1.0250,0.6740,-11.6940,-19.8380,13.1340,8.1070,-24.0680,0.6940,9.1170,4.2470,-7.7430,-91.0170,20.6970,26.6130,6.2170,10.7100,-3.1600,9.0190,1.8080,-3.4090,-5.6390,-39.1180,19.7860,-41.6250,0.2690,3.0360,9.1030,2.6670,-10.1820,-3.3610,-120.9040,9.8470,-36.7180,16.7870,1.4600,10.1850,3.4960
