timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-6.0830,-11.4560,139.8840,-0.9330,-0.3800,1.6150,3.0360,9.0980,-1.7190,-4.8890,5.3570,-147.6890,1.3850,6.3140,-1.0900,1.9610,9.4210,2.2790,3.0570,2.4450,-59.3070,0.5040,2.2590,-0.1600,-3.0910,8.9470,2.1620,9.7320,-9.6680,-148.1200,0.1590,2.6690,-0.3670,0.5030,9.2920,3.7210,5.2470,0.9790,153.6200,-4.0780,6.1000,-2.3140,-3.0600,9.0930,3.2060
40,-6.0760,-11.4900,139.8840,-2.1540,1.3910,2.9890,2.9020,9.1790,-1.9820,-5.1200,5.1760,-147.6890,1.1250,0.8020,0.7420,2.3680,9.4280,2.6930,3.1000,2.4330,-59.3070,0.1530,0.4580,1.1830,-3.0290,8.9180,2.3700,9.5260,-9.6690,-148.1200,0.2510,0.2270,3.9990,1.0870,9.2100,3.7300,4.8920,1.2490,153.6200,-3.8040,-4.2350,2.8610,-2.4370,9.5580,2.3630
80,-6.1090,-11.4560,140.2620,-2.5510,0.4750,9.4470,2.9930,9.5170,-2.2360,-5.1630,5.0380,-147.6890,-0.1110,4.6650,0.6500,2.2290,9.3570,2.4850,2.9070,2.5210,-59.1050,1.3290,-0.9620,5.0610,-2.6670,9.0880,2.3030,9.4650,-9.4280,-147.9130,-2.2680,4.9140,5.1900,1.1540,9.5000,3.0360,4.5040,1.1210,153.6200,-18.2010,0.4060,1.1510,-1.9750,9.9930,2.1500
120,-5.9790,-12.0530,141.3400,-23.8030,-3.0220,26.9430,2.1600,8.9900,-2.4470,-4.8260,5.2210,-147.6890,-2.2950,8.9550,3.0010,1.7120,9.6800,1.6620,2.9330,2.5830,-59.1050,-2.2130,4.6260,3.2140,-2.6530,9.0500,2.0660,9.8900,-9.5220,-147.6150,-13.2300,16.3790,7.4340,0.9890,9.6460,2.9020,4.9700,0.4170,152.9730,-49.3760,35.9480,-16.1920,-0.8310,10.0050,0.8950
160,-7.2200,-12.3970,143.8930,-26.1390,-37.0370,63.8280,2.5120,9.3010,-3.1910,-5.0230,4.6940,-147.6890,-9.9890,7.3370,4.5580,2.7170,9.4020,2.5520,2.9970,2.5720,-59.1050,-5.4800,7.1750,4.8010,-2.6190,9.3280,2.0350,10.4620,-11.1020,-147.2900,-27.5660,25.0210,8.1210,1.2470,8.6020,4.8630,8.1070,-2.9440,151.5310,-83.4830,62.2680,-36.0390,-4.9730,8.6380,3.9480
200,-10.7880,-13.6730,147.5760,-48.6880,-76.2280,92.0730,4.8270,9.0910,-2.7890,-4.8610,3.7410,-147.6890,-11.6840,11.2300,-3.6710,2.1910,9.1360,3.3970,3.0880,1.9730,-59.1050,-10.1980,6.5340,1.4730,-2.7320,8.9540,2.8830,11.0980,-12.0100,-147.0210,-13.9170,23.6470,6.7320,0.8500,8.7820,4.8100,9.0280,-6.8390,151.0480,-79.1780,20.0090,-12.0850,-3.7090,7.3430,5.5310
240,-15.0000,-14.7530,151.0310,-59.4520,-96.7770,86.3930,4.6970,7.9080,-3.4020,-4.6600,3.7930,-147.6890,-2.9360,5.7340,-4.4800,1.5830,9.6320,2.0970,3.4500,1.7210,-59.1050,-7.3730,11.0680,-1.3510,-2.9950,9.0380,2.4710,11.5710,-11.6610,-146.7960,-9.2910,23.5400,5.6330,1.0940,9.9430,2.7390,9.3590,-7.6480,150.6510,-40.2460,33.1080,-9.9170,-1.4270,8.6550,3.0210
280,-19.6280,-16.3090,154.1050,-39.9860,-103.9990,76.8360,5.7440,8.3130,-0.9050,-5.4290,3.8270,-147.6890,-3.5010,-10.8920,1.7340,2.3200,9.4980,2.0640,2.9930,1.9550,-59.1050,0.4590,-0.4740,2.6640,-2.2580,9.4880,2.1980,11.8170,-12.6570,-146.5130,-34.6040,27.0050,7.0830,1.6810,8.9930,3.3950,12.2640,-8.7960,148.4980,-71.6050,77.5200,-53.8260,-3.6340,9.0090,1.5510
320,-23.6270,-17.3060,155.8680,-46.3220,-103.2350,44.0880,5.0490,8.1310,-2.1790,-5.8740,3.6510,-147.6890,-3.3480,-2.9840,-0.2960,2.3510,9.4280,2.5450,3.1460,1.9050,-59.4380,-7.2670,10.3350,-8.3280,-2.5690,9.0120,2.0710,12.7600,-13.5020,-146.5130,-29.3670,48.2270,-4.0770,1.7670,8.9160,3.6770,15.5510,-14.9310,146.1490,-150.9180,84.5430,-58.7110,-4.4150,6.0450,3.4980
360,-28.5670,-19.4660,158.1390,-60.5360,-107.0980,56.7600,7.6280,7.5300,-0.7160,-6.5310,3.3570,-147.6890,-5.5160,-11.1820,-3.1510,2.1810,9.4040,2.6530,3.1840,1.9440,-59.8140,0.3060,6.3200,-9.4120,-2.7030,8.9420,2.5020,15.1020,-14.8750,-147.3680,-38.9240,68.9140,-21.3750,0.1170,8.5500,4.1080,19.2780,-22.2170,142.8240,-179.6820,95.5510,-83.1390,-2.9230,4.7070,-1.5490
