timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,7.4540,2.9850,-90.0250,0.7930,0.5450,-3.4820,5.6890,7.4720,-2.4350,1.2750,-10.2810,11.8100,3.5900,3.7560,-0.2670,2.6980,8.2050,4.8940,9.3330,-9.7150,43.0170,5.6430,-1.7500,0.0640,-1.1680,8.4730,4.4050,0.9240,-9.7230,-28.3670,3.6980,0.8190,-0.6580,3.0720,8.0210,5.3630,1.0950,-4.2700,30.8590,3.3940,0.3990,1.3440,-1.2550,7.8820,5.8920
40,7.3990,3.0730,-90.0250,2.1510,-0.6300,-1.3910,5.8590,7.5820,-2.6340,1.0640,-9.8770,11.8100,2.8880,-0.6560,0.4360,2.7390,8.2940,4.7260,9.0950,-9.7690,43.0170,-2.8760,0.6170,1.3310,-0.9600,8.3080,5.0330,0.4930,-9.5480,-28.3670,-1.6460,-1.9300,1.7850,3.3710,7.9030,5.2100,0.5650,-3.9420,30.8590,-0.3160,-2.3490,1.4210,-0.9050,8.0060,5.6670
80,7.5330,3.1090,-90.0250,0.5790,2.7440,-0.2150,5.7270,7.6380,-2.6820,0.9010,-10.0270,11.8100,-2.3340,1.3900,0.2070,2.8110,7.8750,5.3320,8.8810,-9.5770,43.0170,-1.0290,0.3420,0.9650,-1.0080,8.4440,4.6810,0.3480,-9.3660,-28.3670,1.3470,0.6810,0.3950,3.0170,7.9270,5.4830,0.5020,-3.8020,30.8590,-0.3930,2.3070,0.6730,-1.5280,7.8390,6.0240
120,7.2790,3.1250,-90.0250,1.7390,-2.4620,-0.4290,6.1390,7.5420,-2.5350,0.6680,-9.5390,11.8100,2.9330,0.1080,0.1760,2.9110,8.4680,4.5900,8.5990,-9.5410,43.0170,1.9170,-1.0020,-1.2030,-0.9580,8.2290,5.2150,0.0150,-9.1970,-28.3670,-1.4470,-0.9680,0.3650,3.2940,7.9560,5.2410,0.0160,-3.6030,30.8590,-0.7590,-1.8910,0.1230,-0.9150,7.8790,5.8420
160,7.3200,3.1960,-90.0250,1.1440,1.8890,0.2580,5.9140,7.6520,-2.7320,0.3870,-9.3940,11.8100,0.2770,0.8560,0.5880,3.1100,8.2220,5.0040,8.5510,-9.6330,43.0170,-4.4490,1.8990,0.3390,-1.1900,8.2220,4.9270,-0.1350,-9.1430,-28.3670,-0.3630,0.8800,-0.2920,3.0890,7.8700,5.5710,-0.1310,-3.4380,30.8590,-0.3160,1.3300,-0.4420,-1.3670,7.8530,5.9470
200,7.2500,3.1250,-90.0250,-0.6730,0.0260,-0.5050,5.8540,7.4910,-2.5450,0.2140,-9.1360,11.8100,0.7500,0.6110,-0.9380,2.8400,8.2960,4.7860,8.1750,-9.4650,43.0170,1.7800,-2.4980,-0.7910,-0.8430,8.3890,4.9800,-0.4520,-8.9770,-28.3670,-0.1040,-2.5100,0.5480,3.1820,7.9540,5.3530,-0.4590,-3.1870,30.8590,1.1030,-1.7690,0.0620,-1.2160,7.9630,5.9180
240,6.8720,2.9290,-90.0250,-0.6700,-1.3020,0.5510,6.3660,7.2830,-2.2430,-0.1950,-9.2440,11.8100,-1.4790,-2.4270,-0.3430,3.1770,8.0520,5.3320,8.2740,-9.4230,43.0170,-1.2280,2.5400,-1.0660,-1.4100,8.1790,4.8700,-0.6770,-9.1150,-28.3670,-1.1420,0.5740,1.2810,3.2540,7.5800,5.7720,-0.6530,-3.1220,30.8590,-1.7820,1.1160,-0.4880,-1.2260,7.7690,5.9660
280,6.6810,2.7480,-90.0250,-1.9060,-1.0730,-0.1510,5.9500,7.3140,-2.3460,-0.3000,-9.0190,11.8100,1.4520,1.0080,-0.4960,2.7750,8.2290,4.8820,8.0240,-9.3970,43.0170,-1.5940,0.1740,1.1020,-0.8710,8.3270,4.9660,-0.8200,-8.8670,-28.3670,-0.2100,-0.7080,-0.4290,2.9780,8.0540,5.1950,-0.9300,-2.5090,30.8590,1.6840,-2.0900,0.8860,-1.3050,8.3920,5.2550
320,6.8500,2.7430,-90.0250,0.1700,5.0030,-0.8540,5.8130,7.5420,-2.5910,-0.4070,-8.7790,11.8100,1.1620,3.3750,0.1610,3.0120,8.3220,4.8390,7.9420,-9.2700,43.0170,-1.0140,4.4940,1.0870,-0.8640,8.4080,4.8170,-0.8330,-8.7890,-28.3670,-2.9570,3.5240,3.1300,3.0430,7.9440,5.2700,-1.1930,-2.2280,30.8590,-3.1260,-0.1970,3.2990,-1.1440,8.2240,5.4830
360,6.6570,2.7280,-90.0250,4.0780,5.1250,-0.2890,6.6390,7.3980,-2.2580,-0.3850,-8.7600,11.8100,-0.3190,7.5890,-0.5570,3.0860,8.1740,5.1450,8.1310,-9.2240,43.0170,-4.0830,16.9980,3.4840,-0.4530,8.6140,4.8390,-0.8330,-8.7890,-28.3670,-2.9570,3.5240,3.1300,3.0430,7.9440,5.2700,-1.1930,-2.2280,30.8590,-3.1260,-0.1970,3.2990,-1.1440,8.2240,5.4830
400,7.8060,3.3730,-90.0250,15.1010,27.0190,-1.1740,8.9610,6.8230,-1.4100,0.1080,-9.1640,12.0400,-1.1740,27.3600,5.7490,3.8930,8.0850,6.1510,9.8740,-10.3370,43.4330,-26.4640,69.4720,10.4150,0.3570,8.5310,5.6890,-0.8330,-8.7890,-28.3670,-2.9570,3.5240,3.1300,3.0430,7.9440,5.2700,-1.6850,-1.9080,31.1540,-12.1940,3.7580,7.3900,-0.2710,8.6740,4.7500
440,12.2180,4.6310,-90.4410,30.4290,108.5760,-10.3800,9.8690,6.8620,-1.6180,4.2090,-9.3520,12.6030,-4.5780,102.7030,14.0690,4.5180,7.8700,7.1470,14.5750,-12.5070,44.0610,-50.0980,148.2200,15.6820,-0.1440,8.3410,6.3330,-0.8330,-8.7890,-28.3670,-2.9570,3.5240,3.1300,3.0430,7.9440,5.2700,-1.3020,-1.9680,32.0470,-37.8890,40.6890,22.3210,0.8570,9.0840,3.5430
480,20.1640,7.0420,-91.5050,59.2390,196.9570,-26.6090,10.8220,6.9930,-1.6930,11.9700,-9.3080,13.6700,1.2080,194.1990,26.6800,4.5420,7.8000,7.6610,22.0930,-14.5500,44.8210,-61.3190,224.6620,18.9950,-1.0220,8.4250,5.3200,-0.8330,-8.7890,-28.3670,-2.9570,3.5240,3.1300,3.0430,7.9440,5.2700,2.7020,-3.2630,33.7040,-62.4080,130.9790,41.4360,0.0720,8.4440,4.1560
520,31.4650,10.1820,-93.1160,77.4680,280.8050,-40.2740,8.2910,7.1610,-3.0120,21.0510,-8.7790,14.9260,13.0250,284.5200,31.3820,2.9310,8.5190,5.4010,31.1590,-15.5550,45.5560,-59.2430,274.9070,18.4000,-1.6520,8.7680,3.5360,24.4290,-6.8330,-20.5420,-5.3390,330.3950,61.7110,0.4240,8.8010,3.7900,21.7610,-7.6360,39.2820,-110.2860,289.0550,74.1530,-4.4150,8.9140,2.0110
560,44.3140,13.7480,-94.4220,88.1390,319.5380,-32.6550,11.1570,6.2460,-1.9850,30.7170,-8.6650,16.4440,0.3070,324.2300,37.9620,2.9980,8.5710,5.2100,42.4750,-17.2700,46.0740,-76.4180,326.2200,12.9490,-3.6540,7.3770,3.3590,38.0910,-7.9060,-17.0620,-30.8810,375.5550,86.9930,-1.4700,7.7310,5.2340,34.1880,-11.5140,43.2810,-191.0800,318.4750,99.9860,-7.2760,7.7400,0.7350
600,53.0090,16.1490,-95.7000,90.9030,362.7440,-31.9380,5.4540,6.7160,-2.7990,42.2880,-8.6280,18.1790,-9.2960,363.8630,43.3820,0.1750,8.1380,4.3290,53.4150,-18.2300,46.0740,-74.7390,317.6240,0.6440,-5.3100,7.1160,2.2700,51.5240,-9.2270,-13.0440,-34.6370,381.0050,100.4430,-2.9500,7.5230,5.5930,46.6940,-20.3010,48.8070,-227.3850,315.6510,138.1380,-10.2400,1.6330,9.9360
640,59.7970,18.3830,-97.2560,106.3530,328.4690,-38.9150,5.6310,7.6020,-2.4730,52.5190,-8.4720,20.2950,-5.0970,342.3210,52.8940,-0.7130,7.8670,4.2660,62.3670,-19.3650,46.0740,-80.4340,281.1200,1.3000,-5.8730,6.9600,2.3850,65.2040,-10.2170,-8.6410,-27.2480,347.6010,110.0770,-5.2500,7.0370,7.3810,54.5710,-24.3950,54.8500,-134.9880,247.9410,151.0850,-7.7880,5.0730,6.0720
