timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-2.5340,-33.1820,39.9240,2.6260,-2.6200,2.3700,5.6290,8.4040,-0.8760,-2.9450,4.7890,18.2390,-3.6880,0.1490,0.3370,2.3370,9.1820,2.6310,4.1350,13.9750,52.8780,-5.0900,-5.7780,-0.9070,-2.7560,8.9760,2.6190,-1.4680,4.3600,8.5040,-1.7880,-2.6550,0.7720,2.6170,8.8900,3.5170,-8.4290,-5.8940,20.1130,0.4070,-2.0190,0.2550,-1.4990,8.5110,4.5630
40,-2.3200,-33.2440,39.9240,-1.8010,3.3800,-1.4930,5.2650,8.2070,-0.8520,-2.9030,4.8650,18.2390,1.2430,0.8970,-0.5940,2.6550,9.5150,2.0540,4.1060,13.9170,52.8780,-1.5330,-0.3280,0.0090,-2.5430,9.2870,2.0490,-1.2390,4.3530,8.5040,-1.3760,3.2080,-1.1360,2.2460,9.0550,3.4810,-7.9750,-5.9830,20.1130,-1.4250,4.6370,-1.8980,-2.4440,8.5450,4.7290
80,-2.3640,-33.2230,39.9240,1.2980,-1.3680,-0.3940,5.4350,8.2100,-0.7810,-2.7000,4.7210,18.2390,-0.6650,0.7290,-0.9300,2.2390,9.3400,2.3420,4.1990,13.7670,52.8780,-3.1970,-2.0680,-3.2580,-2.8950,9.0620,2.0640,-1.3060,4.1290,8.5040,-3.1920,-0.9900,1.0320,2.4950,8.8270,3.7490,-7.9460,-6.1310,20.1130,-1.4400,0.7900,-0.2950,-1.8390,8.4080,4.8150
120,-2.6850,-33.3620,39.9240,1.0840,-3.1700,0.0640,6.0690,8.2980,-0.5030,-2.6260,4.6580,18.2390,0.2360,-0.0650,-0.6250,2.4610,9.3880,2.2600,4.4910,13.6460,52.8780,-3.4410,-1.4420,-2.1750,-3.2630,8.9710,1.9730,-1.0500,4.2000,8.5040,-1.1620,2.4750,0.4360,2.0730,9.1360,3.3850,-7.5590,-6.1640,20.1130,-1.4100,4.7900,-0.4020,-2.3510,8.6000,4.6540
160,-2.7370,-33.3790,39.9240,-1.6180,-1.9790,1.1940,5.4200,8.1670,-0.8950,-2.5820,4.7870,18.2390,-0.5440,0.1340,0.4930,2.5450,9.4760,1.7930,4.3690,12.9590,52.8780,-7.4110,-2.0990,-3.4420,-2.9020,8.9450,2.4420,-1.0010,3.9350,8.5040,-5.0700,1.1930,1.1230,2.3680,8.8850,3.7330,-7.5590,-6.1640,20.1130,-1.4100,4.7900,-0.4020,-2.3510,8.6000,4.6540
200,-3.0160,-33.5160,39.9240,0.3660,-3.4600,-0.1190,5.9260,8.2310,-0.5320,-2.5330,4.6680,18.2390,0.0850,-0.3250,-0.5630,2.5000,9.3730,2.3630,4.3690,12.9590,52.8780,-7.4110,-2.0990,-3.4420,-2.9020,8.9450,2.4420,-0.9030,4.0130,8.5040,-3.3760,3.9260,-1.2580,2.4850,9.1750,3.2300,-7.6860,-6.5160,20.1130,-2.7070,0.3170,0.1480,-1.5900,8.5500,4.6470
240,-2.7400,-33.4120,39.9240,-1.4810,1.7460,-0.2260,4.9940,8.1880,-1.0940,-2.4700,4.7470,18.2390,-0.7100,1.0200,-1.0790,2.5790,9.4450,1.8840,4.4700,12.8180,52.8780,-6.0370,-3.1520,-3.2130,-2.9590,9.0600,1.9230,-0.6980,3.8030,8.5040,-7.6810,3.7270,0.4060,2.1840,9.0740,3.4930,-7.6030,-6.5170,20.1130,-7.5780,3.0340,-1.4090,-1.8240,8.7030,4.1370
280,-2.6660,-33.2040,39.9240,0.6570,-3.8110,3.3770,5.0730,8.3990,-1.1760,-2.4840,4.4080,18.2390,-4.0680,-1.4830,-1.3390,2.5210,9.2390,2.4850,4.3210,12.2190,52.8780,-11.8990,-7.6100,-3.2430,-2.8040,9.0810,2.4730,-0.3650,3.2500,8.5040,-24.4900,7.8190,4.8480,2.1930,9.2800,2.9620,-6.8310,-8.3830,20.1130,-72.0050,29.2780,3.4760,-1.1780,8.8250,3.0140
320,-2.3220,-32.4940,40.4590,2.9160,-8.5440,13.3620,4.2880,8.9020,-2.1400,-2.3600,4.3360,18.2390,-2.1300,0.4400,-0.8660,2.4520,9.6100,2.1840,3.2860,9.2270,51.3990,-61.1820,-19.7630,-27.1820,-2.4230,9.1150,1.4990,-0.3650,3.2500,8.5040,-24.4900,7.8190,4.8480,2.1930,9.2800,2.9620,-6.8310,-8.3830,20.1130,-72.0050,29.2780,3.4760,-1.1780,8.8250,3.0140
360,-4.3560,-33.1700,41.9970,-17.2370,-42.1160,38.4610,6.6370,7.9340,-0.7850,-2.4250,4.2350,18.2390,-10.7400,-2.9030,-2.1180,2.5640,9.6130,1.5420,1.9090,6.1780,49.5180,-85.9450,-35.5030,-47.0290,-2.1240,9.1630,2.4850,-0.3650,3.2500,8.5040,-24.4900,7.8190,4.8480,2.1930,9.2800,2.9620,-4.2770,-14.0670,18.6410,-158.5550,83.4310,-36.8140,-0.8120,7.6350,4.2690
