timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-6.7470,11.1490,-0.8470,-0.0740,-0.0730,-1.0140,3.8000,8.2980,-3.7110,-4.0930,-4.9970,-47.9480,-3.2740,0.6040,-0.7700,1.1920,9.8040,2.6600,-12.2800,4.4560,-58.5010,-4.4940,1.4250,-3.5460,-2.8010,9.1340,1.4720,3.9330,-4.6380,108.2950,-3.2060,-0.1810,0.9420,2.9860,8.9640,3.1240,-4.7490,-6.0490,-180.0000,-1.6840,-1.1960,0.2800,1.6230,8.3030,5.0210
40,-6.9260,11.0110,-0.8470,-0.3330,-2.3480,1.9630,4.3500,8.4780,-3.4240,-4.2380,-5.8360,-47.9480,-12.8770,-0.2660,-2.9840,1.4600,9.1460,4.0800,-12.4990,4.4250,-58.5010,-7.2260,-2.9720,-3.9280,-2.1910,9.5270,0.6200,3.7410,-4.9820,108.2950,-10.7320,1.6200,2.4680,3.1150,8.9110,3.1270,-4.5990,-6.0390,-180.0000,-4.7530,6.0100,-0.4070,1.1850,8.7170,4.6660
80,-6.8640,10.9650,-0.8470,-1.2490,0.7820,-0.7390,4.0080,8.2820,-3.6010,-4.2380,-5.8360,-47.9480,-12.8770,-0.2660,-2.9840,1.4600,9.1460,4.0800,-12.0370,4.1120,-58.7470,-9.7000,1.6390,-6.1570,-3.2250,9.1150,1.0030,4.0080,-5.4300,108.2950,-8.2900,7.8190,2.6670,2.6360,8.9710,3.6610,-3.9270,-6.2820,-180.0000,-4.5240,15.4750,-0.0710,0.7690,8.5950,5.2770
120,-6.9130,10.9150,-0.6230,-2.7760,-4.6230,5.5960,3.9600,8.6260,-3.8590,-4.1900,-6.7850,-48.3340,-31.3660,-2.3120,-9.6400,1.6780,9.9980,2.9210,-12.2370,3.9570,-58.7470,-12.7840,-4.2090,0.8050,-2.3970,9.6610,0.5170,4.1140,-5.4710,108.5030,-16.3960,3.6050,5.2010,2.6500,9.7180,2.3200,-3.9340,-6.3650,-180.0000,-8.2790,5.5670,2.0510,1.3580,8.8850,4.7000
160,-7.1660,10.3870,-0.3690,-14.5320,-3.6610,6.3290,4.3550,8.2240,-3.5670,-4.0320,-9.9080,-49.3230,-63.1670,7.0620,-24.7240,1.4100,8.5760,5.2740,-13.5080,1.3920,-59.7540,-60.2340,-22.7890,-25.1800,-1.5390,9.7800,2.0520,4.5700,-8.5020,109.0670,-69.6180,16.4140,14.0870,2.7460,8.4300,4.2900,-3.5280,-7.5940,-180.0000,-33.1340,16.3760,-1.2310,1.2690,8.4320,5.0610
200,-7.3220,10.0230,-0.3690,-11.3870,-6.9890,2.8020,3.9530,8.4320,-3.6660,-4.0320,-9.9080,-49.3230,-63.1670,7.0620,-24.7240,1.4100,8.5760,5.2740,-12.6400,-2.8960,-61.9870,-102.9820,5.3640,-55.8060,-3.5720,8.5430,2.4800,5.2220,-11.2680,109.8620,-75.6640,29.0710,19.8730,3.3180,8.8150,3.8430,-2.1910,-9.3700,-179.7960,-42.4170,34.7270,5.1050,0.6130,8.1810,5.6960
240,-8.8040,9.7690,0.4330,-5.1880,-33.2940,20.0540,5.2700,9.1960,-3.6300,-2.7310,-16.5870,-52.1410,-157.1820,15.4740,-42.8160,1.2210,10.1900,1.6590,-13.3650,-8.2690,-64.7290,-136.4940,-19.2310,-68.5540,-1.1590,10.8390,-4.3770,8.0350,-17.4050,111.2370,-155.1450,62.4910,34.3920,3.0480,11.1310,-1.6740,-0.8670,-11.0770,-179.3880,-68.2180,42.4370,10.2040,1.0920,9.6060,4.1420
280,-10.6160,8.7160,0.4330,-34.0280,-36.8820,-3.8850,5.3610,7.7840,-3.5840,-2.7310,-16.5870,-52.1410,-157.1820,15.4740,-42.8160,1.2210,10.1900,1.6590,-16.0800,-22.5210,-70.9050,-358.4480,-68.9870,-154.4010,-1.8600,4.9440,5.5830,12.8030,-32.1920,112.2760,-313.8620,141.2850,25.9640,2.7440,3.2250,10.1010,0.4770,-16.4340,-178.8150,-152.4630,49.3070,14.3260,1.1990,7.7310,4.9030
320,-10.8010,8.2610,-0.5080,-9.9820,-11.2030,-23.5180,4.4010,8.9260,-3.2080,-2.1540,-33.4880,-56.0150,-241.5030,-0.4650,-36.7550,1.2500,10.0290,0.9860,-18.1380,-37.9250,-78.1500,-387.2420,-52.5600,-181.1340,-4.0150,3.9000,4.6140,17.9360,-42.5100,112.2760,-291.6940,146.2010,3.7200,1.0510,6.1820,5.5810,2.2430,-23.8090,-177.8860,-212.2490,58.4370,23.2270,0.7160,7.0370,5.0250
360,-9.2780,7.2150,0.5450,-25.1580,37.2860,26.3290,1.2520,7.5030,-2.4730,-0.3500,-48.0490,-57.6130,-366.5110,46.4660,-39.9460,-2.1050,-0.7570,11.5520,-22.0060,-53.6200,-84.7370,-394.5240,-97.8270,-164.6760,-3.2150,2.0760,5.5640,23.9530,-58.8720,111.2840,-390.3510,153.0560,-24.7990,-1.1540,1.4720,10.9770,4.9050,-34.7030,-176.8200,-276.8440,64.5750,26.6310,-0.0190,6.1170,4.6090
