timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,3.6760,5.3340,122.4170,1.1430,-0.0910,-0.1880,3.3830,8.8540,-2.4610,-12.8270,2.2140,119.9650,3.2390,-0.1220,0.2710,2.3370,9.0690,3.4140,7.0030,163.9870,177.8090,0.4170,-0.8360,0.0960,-4.5920,8.3170,1.7210,-2.5080,2.6600,11.2940,-0.3380,-3.1990,1.3370,1.2570,9.0240,3.7680,-2.5740,-1.2070,-133.3590,-1.1980,-2.0480,0.2100,-3.2440,8.6770,3.2370
40,3.6990,5.3470,122.4170,1.5550,-0.3050,-0.4480,3.4450,8.8590,-2.4850,-12.8240,2.3310,119.9650,1.8650,0.0460,0.3320,2.3940,9.1120,3.1050,6.9510,164.1890,177.8090,1.4530,1.4120,2.7820,-4.3070,8.6290,1.1300,-2.4590,2.7430,11.2940,0.8830,-0.8470,0.2830,1.0320,9.1550,3.5960,-2.5410,-0.9610,-133.3590,1.3970,0.4720,0.8050,-3.4120,8.8870,2.9590
80,3.5890,5.3210,122.4170,1.5100,-0.9310,1.7050,3.7210,8.9040,-2.4180,-12.8540,2.2780,119.9650,0.4300,-0.7020,1.1410,2.4350,9.1310,3.3760,7.0000,164.1990,177.8090,0.1090,-0.9540,0.5530,-4.6710,8.4010,1.3580,-2.4030,2.6920,11.2940,-1.1780,-1.5340,0.8480,0.9550,9.1290,3.7110,-2.4880,-0.9640,-133.3590,-1.5490,-0.4290,-0.7980,-3.5310,8.7680,3.2010
120,3.4710,5.3400,122.4170,1.8150,0.7180,0.5600,3.8930,8.8590,-2.4760,-12.8410,2.2080,119.9650,1.7130,2.0460,0.4230,2.5760,9.0670,3.5120,6.7930,164.0600,177.8090,-0.5780,0.0230,1.7600,-4.1180,8.6930,1.6570,-2.4910,2.6160,11.2940,-1.6660,-0.7560,1.2600,1.3460,9.1310,3.7370,-2.6140,-1.0070,-133.3590,-2.2060,-1.2990,0.3320,-3.1720,8.7270,3.2230
160,3.6670,5.4130,122.4170,0.8070,2.7180,-1.1500,3.3180,8.7820,-2.6580,-12.8200,2.1690,119.9650,2.4000,-0.0760,-0.1570,2.3580,9.0260,3.4910,6.9420,163.8550,177.8090,-0.2110,2.8630,0.0650,-4.5750,8.3870,1.7720,-2.3440,2.4210,11.2940,0.1660,2.1300,0.2530,1.0700,9.0090,4.1540,-2.3380,-1.1630,-133.3590,-1.3660,3.0970,-0.7060,-3.7160,8.5830,3.5000
200,3.5250,5.4360,122.4170,1.4640,-1.2820,-0.0050,3.8140,8.9900,-2.5620,-12.8950,2.2420,119.9650,2.4450,0.0920,-0.5390,2.6170,9.1720,3.2920,6.7620,163.9150,177.8090,3.0100,-0.9390,1.7290,-4.2400,8.6530,1.5540,-2.4630,2.4850,11.2940,0.3340,-2.8320,0.6190,1.2310,9.1890,3.6370,-2.4660,-1.0960,-133.3590,-0.2670,-2.3070,0.3320,-3.2730,8.7390,3.1650
240,3.7670,5.5040,122.4170,0.7770,3.6490,-2.1580,3.2850,8.7840,-2.6580,-12.7920,2.4750,119.9650,3.1020,2.2900,-0.2790,2.3730,9.1820,2.9690,6.8020,164.0350,177.8090,0.1090,2.5270,-1.3550,-4.3810,8.5930,1.1950,-2.2670,2.5190,11.2940,-0.7500,2.1910,-0.6180,0.9550,9.1960,3.6060,-2.3140,-0.9900,-133.3590,-0.1140,3.2200,-0.9050,-3.4360,8.7720,3.0930
280,3.5830,5.4940,122.4170,2.9140,-3.4500,1.0180,3.6390,8.8800,-2.3510,-12.9460,2.3930,119.9650,1.2390,-3.1750,0.9580,2.5000,9.0600,3.4720,6.9230,164.2860,177.8090,1.5140,1.1680,0.8590,-4.6400,8.4640,1.0150,-2.1930,2.7850,11.2940,1.3260,-2.7250,0.6950,0.7970,9.3590,3.2900,-2.2760,-0.7230,-133.3590,1.3670,-0.8570,0.3620,-3.6010,8.9810,2.9110
320,3.8310,5.5600,122.4170,-0.0630,3.9540,-0.5400,3.3060,8.8030,-2.7370,-12.7630,2.4920,119.9650,1.1630,3.7560,-0.0350,2.3010,9.0480,3.0500,6.8140,164.2800,177.8090,0.0640,-0.1600,1.4850,-4.3020,8.6020,1.4100,-2.2290,2.9360,11.2940,-0.5520,0.0230,1.1530,1.2690,9.2870,3.3420,-2.3880,-0.8150,-133.3590,-2.4040,0.3950,0.4080,-3.0740,8.6790,3.2660
360,3.7050,5.6450,122.4170,1.5860,-0.2900,-0.0050,3.7920,8.8350,-2.6600,-12.9030,2.3280,119.9650,0.9340,-0.7020,0.2400,2.6790,8.9880,3.6130,6.8600,164.1020,177.8090,-2.3790,1.3210,0.3860,-4.4890,8.4870,1.5560,-2.2760,2.8400,11.2940,-1.8340,-0.1760,0.8020,1.2860,9.1650,3.7570,-2.4890,-0.9540,-133.3590,-2.2520,-0.9330,-0.0350,-3.2270,8.7080,3.4070
400,3.6700,5.6760,122.4170,0.3030,0.8090,-0.2190,3.6420,8.7270,-2.6220,-12.9190,2.2980,119.9650,1.0710,-0.1070,-0.3400,2.4490,9.0600,3.3590,6.9100,164.1860,177.8090,0.7960,1.2140,0.0950,-4.5300,8.5520,1.3020,-2.2450,2.8240,11.2940,-0.0330,-0.1300,0.2680,1.1110,9.1510,3.7350,-2.4310,-1.0010,-133.3590,-0.7100,1.2350,-0.8290,-3.4000,8.7200,3.3520
440,3.6000,5.6590,122.4170,1.4010,0.5610,-0.4930,3.8210,9.0500,-2.5230,-12.8970,2.2920,119.9650,1.3610,2.5500,-1.2100,2.6050,9.1000,3.3470,6.7900,164.2820,177.8090,2.0640,-1.5040,0.0950,-4.3930,8.6100,1.3720,-2.4730,2.7140,11.2940,-2.0170,-2.4500,0.7700,1.4960,9.0910,3.7590,-2.6800,-0.9750,-133.3590,-1.5030,-2.0930,-0.2030,-2.9540,8.7440,3.1320
480,3.5830,5.6770,122.4170,0.5160,-0.6140,-1.3480,3.4550,8.6720,-2.5590,-12.9970,2.2500,119.9650,2.9340,-2.8700,0.2400,2.4090,9.0070,3.5360,7.0890,164.1010,177.8090,-1.6160,3.4280,-1.4620,-4.7960,8.2500,1.5750,-2.1370,2.5760,11.2940,0.1810,2.3750,-1.7940,0.6610,9.0790,4.0410,-2.3150,-0.9850,-133.3590,0.5880,3.7690,-1.8510,-3.9190,8.7680,3.3970
