timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,7.3190,10.4820,3.9770,-1.5020,-1.8750,3.4150,6.0090,7.9080,-1.5420,-1.2620,-1.9840,-18.0890,-2.4660,-3.9560,-0.6310,0.6870,7.7790,6.1320,10.1360,-12.0000,-10.3030,-1.7000,-3.0680,-3.0060,-5.1000,7.1300,4.1130,3.1540,-8.6960,5.6810,0.3190,-3.3910,1.8340,-0.3210,8.4640,5.5160,1.9780,-0.6290,-29.9980,1.0340,-6.4650,-1.0340,-6.0090,6.6820,3.5840
40,7.3010,10.4600,3.9770,-0.4950,-3.3410,2.0560,6.0730,7.7360,-1.1500,-1.3990,-1.9620,-18.0890,1.7780,-2.4440,1.2320,0.9670,8.3220,5.5930,10.1120,-11.9210,-10.3030,0.2850,-0.6710,1.3140,-4.7910,7.3570,3.6630,3.0280,-8.9290,5.6810,0.2280,-3.6510,0.8270,-0.6940,8.3770,5.1450,2.0250,-0.8180,-29.9980,-1.5770,0.7110,1.0730,-6.1240,6.6440,3.8450
80,7.4650,10.5240,3.9770,0.9100,-0.2410,0.6360,5.9140,7.7880,-1.2250,-1.5960,-1.8220,-18.0890,0.6480,-2.8260,1.3840,1.0990,8.4640,5.2460,9.9540,-11.8300,-10.3030,1.4450,-2.2740,2.5200,-4.6350,7.4480,3.7420,3.0720,-8.8980,5.6810,0.4110,-1.2230,1.5140,-0.8380,8.2770,5.3030,1.8800,-0.7350,-29.9980,0.0270,-1.5330,1.0270,-5.8610,6.8950,3.5510
120,7.6190,10.5910,3.9770,-1.2120,-0.6690,2.6360,5.8950,7.8230,-1.3920,-1.7790,-2.1380,-18.0890,-3.4740,-1.7270,-0.0200,1.1970,8.0730,5.7940,9.8340,-11.9610,-10.3030,-2.7990,-0.9450,-1.7090,-4.5900,7.4560,3.8520,3.0160,-8.9970,5.6810,-3.0700,-1.6050,0.4140,-0.6340,8.2910,5.3060,1.6530,-0.7980,-29.9980,-1.4540,-2.6170,-1.3400,-5.7920,6.9480,3.7250
160,7.6760,10.6830,3.9770,-2.9830,-2.5620,2.7730,5.9750,7.8540,-1.5750,-1.9260,-2.1240,-18.0890,-2.4660,-0.0010,-1.7150,1.3140,8.5160,5.3440,9.7010,-11.6700,-10.3030,1.5210,1.5890,-0.1970,-4.3840,7.8460,3.4760,2.7890,-8.8010,5.6810,-1.4520,-2.3840,-0.4560,-0.2940,8.5350,4.8580,1.3890,-0.5690,-29.9980,-1.6380,-1.2130,-2.5150,-5.5690,7.3000,3.2800
200,7.9960,10.7790,3.9770,-3.0600,4.1100,1.8730,5.9970,7.9820,-1.6230,-1.7950,-2.1150,-18.0890,-7.1230,3.1890,-2.3260,0.9720,8.7150,5.0250,9.5760,-11.4730,-10.3030,-2.6470,1.9860,-3.8920,-4.4270,8.0920,3.4000,2.7920,-8.6280,5.6810,-5.0240,1.6010,-1.9220,-0.4430,8.8130,4.7090,1.3940,-0.6390,-30.2510,-6.2640,1.1540,-6.3320,-6.0930,7.3190,3.5030
240,8.4870,10.9150,4.2190,-4.9830,3.6520,6.0710,5.5760,8.1980,-1.8900,-1.7690,-2.1900,-18.0890,-8.8020,1.5560,-1.5620,1.0890,8.8920,5.2120,9.4830,-11.3170,-10.5370,-4.9830,1.5890,-5.8460,-4.5370,8.1860,3.3060,2.7380,-8.6720,5.6810,-8.9790,-0.7960,-2.8380,-0.5150,8.8370,4.8910,1.0480,-0.1740,-30.5090,-5.7750,-3.5790,-6.4390,-5.7890,7.9660,2.7150
280,8.9650,11.0500,4.4620,-4.2350,5.3460,6.0560,5.8370,8.4300,-1.8970,-1.7010,-1.6330,-18.0890,-7.1990,4.0750,3.2470,1.2230,9.5360,4.0700,9.5880,-10.8920,-10.5370,-6.7840,5.3900,-3.2350,-4.8030,8.6960,2.7390,2.8860,-8.6140,5.6810,-10.2000,3.0210,-0.4100,-0.6580,9.2970,4.7760,0.6850,0.3000,-30.5090,-9.5150,-0.9690,-2.5300,-5.8370,8.7290,2.5910
320,9.6590,11.7650,4.9200,-1.8080,3.9720,11.4600,5.1550,8.4130,-2.9200,-2.6540,-1.5410,-17.8400,-15.8710,-6.9480,6.2390,2.7030,9.3730,4.3240,8.7420,-10.7950,-10.5370,-11.0590,-2.6550,0.2300,-3.3900,9.1360,3.2180,2.8860,-8.6140,5.6810,-10.2000,3.0210,-0.4100,-0.6580,9.2970,4.7760,-0.5850,0.2260,-30.5090,-14.1570,-14.9840,-3.0040,-4.6690,8.4640,3.2680
360,10.1090,12.4620,5.7010,-8.6470,0.7200,19.5210,5.5670,8.5320,-3.5600,-3.3840,-2.0330,-17.8400,-25.1840,-4.3070,-4.7380,2.5860,9.2870,4.9510,7.6320,-11.1180,-10.7980,-14.7540,-2.5180,-6.5330,-2.6820,9.1480,3.9000,1.3360,-8.5620,5.6810,-21.1770,-9.6810,1.7430,1.3650,9.3780,4.3170,-1.5570,-0.3310,-31.1590,-15.8970,-13.3350,-16.2560,-4.8200,7.7050,3.8670
400,10.3020,12.0970,6.5410,-20.6020,7.3460,21.0020,6.5730,8.3730,-2.2350,-2.8240,-3.0830,-18.2970,-24.9700,8.4410,-11.4250,0.6560,8.1500,5.9420,8.2310,-11.7680,-11.6420,-12.7080,5.2380,-21.0980,-5.4490,7.4360,4.0560,1.3360,-8.5620,5.6810,-21.1770,-9.6810,1.7430,1.3650,9.3780,4.3170,-1.5200,-0.8140,-32.1160,-17.6380,-4.2820,-23.9200,-6.1700,7.3910,3.4880
440,10.5350,11.6660,7.0200,-17.9450,9.2390,11.9640,6.1160,7.8690,-1.7230,-3.1990,-3.4800,-18.5800,-13.8100,-0.8110,-7.0890,1.9230,8.1710,5.5070,8.4180,-12.3870,-12.2150,-9.8680,4.9320,-14.3190,-4.5230,7.4120,4.2860,1.3360,-8.5620,5.6810,-21.1770,-9.6810,1.7430,1.3650,9.3780,4.3170,-2.0150,-1.4680,-32.5560,-11.2560,-7.9300,-11.0040,-5.1000,7.0750,4.2400
480,10.3750,11.7510,7.3420,-19.9760,-8.6080,8.0710,5.5230,7.9140,-2.8120,-4.0100,-3.8810,-19.2560,-19.0770,-10.9480,-16.9060,2.0970,8.2550,5.1450,7.4160,-11.6220,-12.6480,4.4680,-1.6780,-10.8380,-2.5790,8.7120,3.0550,1.3360,-8.5620,5.6810,-21.1770,-9.6810,1.7430,1.3650,9.3780,4.3170,-2.7920,-1.1150,-33.4710,-1.8970,-15.1210,-22.8660,-4.8890,7.5110,3.1510
520,10.1160,10.9960,7.8330,-24.8000,6.4000,12.2540,6.7150,7.3370,-1.3970,-3.4780,-5.2240,-20.0030,-27.7330,11.9680,-18.6610,1.0460,7.0580,6.0360,7.7380,-12.2680,-13.7240,-7.2730,8.0160,-26.8840,-4.1640,6.8570,4.1830,-0.0090,-10.9860,3.5950,-24.3830,-7.0710,-21.4180,0.2800,7.7550,4.9780,-2.6380,-1.5880,-34.6230,-17.1800,0.8630,-28.8050,-5.2220,6.8190,3.2970
560,10.7600,10.9700,7.8330,-15.5940,17.8350,-3.9140,5.4620,7.3540,-1.9820,-2.7110,-5.8670,-20.8250,-17.9780,1.2960,-20.5550,-0.3500,7.2640,5.5450,8.7140,-12.1890,-14.5080,-0.4330,14.6120,-19.6170,-4.9200,6.8500,3.2870,0.7790,-11.7840,2.9400,-18.1540,11.5860,-16.3640,-0.8670,7.4530,5.7440,-1.5500,-3.7210,-35.6510,-13.8510,2.8630,-25.7060,-7.4720,4.7330,5.5210
600,10.0290,9.6860,8.1940,-21.4110,-5.4930,9.0330,5.9440,6.7030,-0.1570,-2.1660,-7.6360,-21.4570,-28.5880,-7.1920,-15.7910,-0.6300,6.3950,6.9910,8.9470,-12.2750,-15.2360,0.6810,-14.6250,-18.1970,-5.7100,6.4430,3.4480,1.4120,-12.2060,2.1200,-15.4670,-9.5140,-20.5170,-2.3890,7.8840,5.4640,-2.3950,-3.9930,-36.1860,-1.8210,-26.7400,-13.3700,-5.4560,6.4740,4.0960
